algo,env,raw,zscore,rank,clip_std
CRL,antmaze-medium,0.2602,0.1959,0.9242,0.342
GCIQL,antmaze-medium,0.1332,0.2083,0.9242,0.2891
GCIVL,antmaze-medium,0.4651,0.2104,0.9242,0.2592
QRL,antmaze-medium,0.5324,0.2781,0.9242,0.5366
CRL,antmaze-large,0.2745,0.2549,0.9242,0.3339
GCIQL,antmaze-large,0.1341,0.1578,0.9242,0.3068
GCIVL,antmaze-large,0.4564,0.2214,0.9242,0.271
QRL,antmaze-large,0.5925,0.2391,0.9242,0.5023
CRL,cube,0.3111,0.3535,0.9242,0.4137
GCIQL,cube,0.1454,0.2205,0.9242,0.2248
GCIVL,cube,0.5529,0.2504,0.9242,0.2303
QRL,cube,0.4539,0.0891,0.9242,0.2111
CRL,scene,0.3077,0.361,0.9242,0.4317
GCIQL,scene,0.1182,0.2959,0.9242,0.2413
GCIVL,scene,0.5118,0.165,0.9242,0.1839
QRL,scene,0.4575,0.139,0.9242,0.1232
