env,algo,config,norm,ess,top5_mass,saturation_mass
antmaze-medium,CRL,0,raw,0.4,0.125,1.0
antmaze-medium,CRL,0,zscore,0.4523,0.1582,0.0
antmaze-medium,CRL,0,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,0,clip_std,0.4523,0.1582,0.0
antmaze-medium,CRL,1,raw,0.0781,0.7147,0.4421
antmaze-medium,CRL,1,zscore,0.1575,0.3021,0.0486
antmaze-medium,CRL,1,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,1,clip_std,0.3088,0.292,0.0
antmaze-medium,CRL,2,raw,0.2361,0.2248,0.8883
antmaze-medium,CRL,2,zscore,0.1545,0.3013,0.0476
antmaze-medium,CRL,2,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,2,clip_std,0.335,0.2752,0.0
antmaze-medium,CRL,3,raw,0.2605,0.2017,0.912
antmaze-medium,CRL,3,zscore,0.1363,0.3125,0.0668
antmaze-medium,CRL,3,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,3,clip_std,0.3103,0.2885,0.0
antmaze-medium,CRL,4,raw,0.2753,0.1884,0.9281
antmaze-medium,CRL,4,zscore,0.1591,0.301,0.0484
antmaze-medium,CRL,4,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,4,clip_std,0.3169,0.2884,0.0
antmaze-medium,CRL,5,raw,0.2226,0.2427,0.8658
antmaze-medium,CRL,5,zscore,0.135,0.3132,0.0714
antmaze-medium,CRL,5,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,5,clip_std,0.3104,0.2872,0.0
antmaze-medium,CRL,6,raw,0.3177,0.1686,0.8826
antmaze-medium,CRL,6,zscore,0.3436,0.1884,0.0
antmaze-medium,CRL,6,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,6,clip_std,0.3436,0.1884,0.0
antmaze-medium,CRL,7,raw,0.2875,0.1799,0.9301
antmaze-medium,CRL,7,zscore,0.1398,0.3111,0.0576
antmaze-medium,CRL,7,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,7,clip_std,0.3094,0.2908,0.0
antmaze-medium,CRL,8,raw,0.2785,0.1858,0.9314
antmaze-medium,CRL,8,zscore,0.1633,0.3,0.0432
antmaze-medium,CRL,8,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,8,clip_std,0.3226,0.2833,0.0
antmaze-medium,CRL,9,raw,0.1463,0.4158,0.6951
antmaze-medium,CRL,9,zscore,0.1383,0.3116,0.0623
antmaze-medium,CRL,9,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,9,clip_std,0.3101,0.2899,0.0
antmaze-medium,CRL,10,raw,0.4,0.125,1.0
antmaze-medium,CRL,10,zscore,0.3891,0.1746,0.0
antmaze-medium,CRL,10,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,10,clip_std,0.3891,0.1746,0.0
antmaze-medium,CRL,11,raw,0.2763,0.1879,0.9285
antmaze-medium,CRL,11,zscore,0.1507,0.3057,0.0484
antmaze-medium,CRL,11,rank,0.9242,0.0772,0.0
antmaze-medium,CRL,11,clip_std,0.3047,0.2936,0.0
antmaze-medium,CRL,12,raw,0.2515,0.2097,0.9011
