algo,env,raw,zscore,rank,clip_std
CRL,antmaze-medium,0.249,0.2871,0.0772,0.2685
GCIQL,antmaze-medium,0.4755,0.2681,0.0772,0.2798
GCIVL,antmaze-medium,0.1499,0.2701,0.0772,0.2977
QRL,antmaze-medium,0.1115,0.1844,0.0772,0.1663
CRL,antmaze-large,0.2388,0.2789,0.0772,0.2716
GCIQL,antmaze-large,0.4873,0.2979,0.0772,0.2732
GCIVL,antmaze-large,0.1526,0.2686,0.0772,0.2931
QRL,antmaze-large,0.0993,0.1907,0.0772,0.1641
CRL,cube,0.2121,0.247,0.0772,0.2366
GCIQL,cube,0.4576,0.1915,0.0772,0.2481
GCIVL,cube,0.1326,0.2068,0.0772,0.2646
QRL,cube,0.1494,0.349,0.0772,0.3164
CRL,scene,0.2404,0.2447,0.0772,0.2312
GCIQL,scene,0.5461,0.1859,0.0772,0.2531
GCIVL,scene,0.1417,0.2337,0.0772,0.3005
QRL,scene,0.1509,0.2242,0.0772,0.3578
