env,agent,fr_auc,gap_mean,mrr,prec_at_1,prec_at_5,ess,saturation_mass,fraction_clipped,top5_mass,entropy,extractability_index
antmaze-medium,CRL,0.5297,0.1689,0.0217,0.0035,0.0136,0.3292,0.749,0.2077,0.2359,4.3291,
antmaze-medium,GCIQL,0.4712,-0.1023,0.0447,0.0178,0.0519,0.1404,0.7542,0.0894,0.4657,3.6139,
antmaze-medium,GCIVL,0.5637,0.1431,0.0775,0.0355,0.1002,0.4679,0.7925,0.3704,0.1416,4.8479,
antmaze-medium,QRL,0.5461,0.3585,0.0671,0.0314,0.081,0.543,0.8243,0.442,0.1052,4.9765,
antmaze-large,CRL,0.5272,0.1735,0.0186,0.0019,0.0102,0.3272,0.7983,0.2214,0.2145,4.3575,0.0509
antmaze-large,GCIQL,0.4721,-0.1006,0.0416,0.0153,0.0477,0.1441,0.7296,0.0855,0.488,3.6043,-0.08
antmaze-large,GCIVL,0.5752,0.1355,0.0841,0.0402,0.1067,0.4592,0.7779,0.3512,0.1442,4.8264,0.1406
antmaze-large,QRL,0.5818,0.6797,0.0732,0.0342,0.0888,0.6008,0.8416,0.5088,0.0933,5.0761,0.2506
cube,CRL,0.5619,0.8754,0.0221,0.0036,0.0148,0.4286,0.7268,0.2549,0.1891,4.5445,0.1644
cube,GCIQL,0.5311,-0.0385,0.0398,0.0103,0.0432,0.1586,0.7009,0.0909,0.4544,3.7303,-0.0284
cube,GCIVL,0.6444,0.1596,0.0641,0.0205,0.0755,0.5591,0.7834,0.444,0.1254,5.0166,0.1246
cube,QRL,0.5225,0.1672,0.0892,0.0506,0.1111,0.4695,0.796,0.3751,0.1398,4.8556,0.1078
scene,CRL,0.5552,0.6955,0.0222,0.0037,0.0158,0.4463,0.7175,0.2501,0.1796,4.5633,0.1549
scene,GCIQL,0.4106,-0.1923,0.0411,0.0152,0.0496,0.1341,0.6618,0.0648,0.5327,3.5654,-0.1754
scene,GCIVL,0.6716,0.185,0.1337,0.0619,0.1936,0.5243,0.7515,0.3917,0.1335,4.9713,0.1782
scene,QRL,0.5799,0.3792,0.1143,0.0696,0.1435,0.4694,0.7777,0.3644,0.1421,4.8564,0.1599
