env,algo,metric,mean,ci_lo,ci_hi
antmaze-medium,CRL,ess,0.326,0.2992,0.3564
antmaze-medium,GCIQL,ess,0.1402,0.1294,0.1522
antmaze-medium,GCIVL,ess,0.4682,0.4523,0.4838
antmaze-medium,QRL,ess,0.5429,0.5324,0.5541
antmaze-medium,CRL,top5_mass,0.2357,0.2193,0.2527
antmaze-medium,GCIQL,top5_mass,0.4657,0.4458,0.4857
antmaze-medium,GCIVL,top5_mass,0.1419,0.1306,0.1536
antmaze-medium,QRL,top5_mass,0.1053,0.1,0.111
antmaze-medium,CRL,saturation_mass,0.7492,0.7146,0.7817
antmaze-medium,GCIQL,saturation_mass,0.7543,0.7291,0.7782
antmaze-medium,GCIVL,saturation_mass,0.7933,0.7642,0.821
antmaze-medium,QRL,saturation_mass,0.8246,0.7926,0.8551
antmaze-medium,CRL,fraction_clipped,0.2078,0.187,0.2309
antmaze-medium,GCIQL,fraction_clipped,0.0894,0.0837,0.0951
antmaze-medium,GCIVL,fraction_clipped,0.3703,0.3509,0.3893
antmaze-medium,QRL,fraction_clipped,0.442,0.4215,0.4622
antmaze-medium,CRL,ess_per_batch,0.329,0.3201,0.3381
antmaze-medium,GCIQL,ess_per_batch,0.1404,0.1366,0.1442
antmaze-medium,GCIVL,ess_per_batch,0.4679,0.4627,0.473
antmaze-medium,QRL,ess_per_batch,0.543,0.5393,0.5469
antmaze-large,CRL,ess,0.3275,0.3027,0.3545
antmaze-large,GCIQL,ess,0.1439,0.1303,0.1596
antmaze-large,GCIVL,ess,0.4592,0.4428,0.4753
antmaze-large,QRL,ess,0.6007,0.5888,0.6121
antmaze-large,CRL,top5_mass,0.2145,0.2002,0.2294
antmaze-large,GCIQL,top5_mass,0.4882,0.4671,0.5101
antmaze-large,GCIVL,top5_mass,0.144,0.1331,0.1555
antmaze-large,QRL,top5_mass,0.0933,0.0886,0.0984
antmaze-large,CRL,saturation_mass,0.7985,0.767,0.8287
antmaze-large,GCIQL,saturation_mass,0.7292,0.7034,0.7536
antmaze-large,GCIVL,saturation_mass,0.778,0.7466,0.8068
antmaze-large,QRL,saturation_mass,0.8407,0.8074,0.8717
antmaze-large,CRL,fraction_clipped,0.2212,0.2032,0.2412
antmaze-large,GCIQL,fraction_clipped,0.0855,0.079,0.0918
antmaze-large,GCIVL,fraction_clipped,0.3516,0.3318,0.37
antmaze-large,QRL,fraction_clipped,0.5084,0.4851,0.5305
antmaze-large,CRL,ess_per_batch,0.3272,0.3195,0.3351
antmaze-large,GCIQL,ess_per_batch,0.1441,0.1391,0.1492
antmaze-large,GCIVL,ess_per_batch,0.4592,0.454,0.4646
antmaze-large,QRL,ess_per_batch,0.6009,0.5966,0.605
cube,CRL,ess,0.429,0.3966,0.462
cube,GCIQL,ess,0.1588,0.1446,0.1736
cube,GCIVL,ess,0.5592,0.5411,0.5779
cube,QRL,ess,0.4695,0.4545,0.4842
cube,CRL,top5_mass,0.1889,0.1718,0.2074
cube,GCIQL,top5_mass,0.4544,0.4317,0.4768
cube,GCIVL,top5_mass,0.1253,0.1144,0.1368
cube,QRL,top5_mass,0.1396,0.1285,0.1509
cube,CRL,saturation_mass,0.7274,0.6846,0.7686
cube,GCIQL,saturation_mass,0.7005,0.6738,0.7258
cube,GCIVL,saturation_mass,0.7831,0.7543,0.8126
cube,QRL,saturation_mass,0.7963,0.7671,0.8227
cube,CRL,fraction_clipped,0.2547,0.2296,0.2813
cube,GCIQL,fraction_clipped,0.091,0.0834,0.0983
cube,GCIVL,fraction_clipped,0.4439,0.4189,0.4682
cube,QRL,fraction_clipped,0.3754,0.3562,0.3953
cube,CRL,ess_per_batch,0.4285,0.4186,0.4389
cube,GCIQL,ess_per_batch,0.1587,0.1538,0.1637
cube,GCIVL,ess_per_batch,0.5591,0.5531,0.5654
cube,QRL,ess_per_batch,0.4695,0.4644,0.4746
scene,CRL,ess,0.4425,0.4098,0.4773
scene,GCIQL,ess,0.1343,0.119,0.1512
scene,GCIVL,ess,0.5242,0.5046,0.5419
scene,QRL,ess,0.4696,0.4538,0.4853
scene,CRL,top5_mass,0.1793,0.1633,0.197
scene,GCIQL,top5_mass,0.5328,0.5115,0.5547
scene,GCIVL,top5_mass,0.1336,0.1231,0.1448
scene,QRL,top5_mass,0.1423,0.1314,0.1541
scene,CRL,saturation_mass,0.7175,0.6744,0.7598
scene,GCIQL,saturation_mass,0.6612,0.6333,0.6855
scene,GCIVL,saturation_mass,0.7517,0.7208,0.7804
scene,QRL,saturation_mass,0.7775,0.7457,0.8072
scene,CRL,fraction_clipped,0.25,0.2253,0.2754
scene,GCIQL,fraction_clipped,0.0649,0.0596,0.0704
scene,GCIVL,fraction_clipped,0.3918,0.3695,0.4147
scene,QRL,fraction_clipped,0.3643,0.3437,0.3848
scene,CRL,ess_per_batch,0.4464,0.4358,0.4578
scene,GCIQL,ess_per_batch,0.1342,0.1291,0.1393
scene,GCIVL,ess_per_batch,0.5243,0.5181,0.5303
scene,QRL,ess_per_batch,0.4694,0.4641,0.4746
