algo,env,phase,rho09,rho09_lo,rho09_hi,rho08,rho08_lo,rho08_hi,mean_success,mean_lo,mean_hi
CRL,antmaze-large,1,0.081,0.0312,0.1562,0.1309,0.0625,0.2188,0.085,0.0584,0.1125
CRL,antmaze-large,2,0.1313,0.0156,0.375,0.4684,0.3125,0.6875,0.3288,0.2909,0.3649
CRL,antmaze-large,3,0.226,0.125,0.3281,0.6091,0.4844,0.7188,0.3419,0.3009,0.3801
CRL,antmaze-large,4,0.2445,0.1406,0.3594,0.5966,0.4844,0.7188,0.3611,0.3166,0.4005
CRL,antmaze-medium,1,0.0789,0.0312,0.1562,0.098,0.0312,0.1719,0.1585,0.1085,0.2158
CRL,antmaze-medium,2,0.572,0.4219,0.7188,0.7672,0.6562,0.875,0.6331,0.5633,0.6997
CRL,antmaze-medium,3,0.5845,0.4375,0.7344,0.7665,0.6562,0.8594,0.6154,0.5366,0.6878
CRL,antmaze-medium,4,0.5922,0.4531,0.7344,0.7734,0.6719,0.875,0.6352,0.5562,0.7017
CRL,cube,1,0.0336,0.0156,0.0938,0.0709,0.0156,0.1562,0.0607,0.0442,0.0773
CRL,cube,2,0.0967,0.0312,0.2031,0.2381,0.1406,0.3438,0.1292,0.1064,0.1517
CRL,cube,3,0.0727,0.0156,0.1719,0.1751,0.0938,0.2656,0.12,0.0983,0.1417
CRL,cube,4,0.0861,0.0312,0.1719,0.1948,0.1094,0.2969,0.1205,0.0978,0.1413
CRL,scene,1,0.0422,0.0156,0.1094,0.0684,0.0156,0.1406,0.0185,0.0114,0.0262
CRL,scene,2,0.2663,0.1562,0.375,0.565,0.4375,0.6875,0.1028,0.0881,0.1173
CRL,scene,3,0.1489,0.0312,0.3438,0.3463,0.1719,0.5781,0.1007,0.0858,0.1158
CRL,scene,4,0.1656,0.0625,0.3594,0.4809,0.3594,0.6094,0.1029,0.0869,0.1175
GCIQL,antmaze-large,1,0.0407,0.0156,0.0938,0.0688,0.0156,0.125,0.0493,0.0364,0.0626
GCIQL,antmaze-large,2,0.1681,0.0781,0.2656,0.3212,0.2031,0.5156,0.1556,0.1377,0.1722
GCIQL,antmaze-large,3,0.0473,0.0156,0.125,0.1351,0.0469,0.4219,0.1527,0.1346,0.1692
GCIQL,antmaze-large,4,0.1576,0.0781,0.2656,0.3935,0.2656,0.5312,0.1563,0.1388,0.1738
GCIQL,antmaze-medium,1,0.0435,0.0156,0.125,0.0614,0.0156,0.2188,0.1554,0.1253,0.1871
GCIQL,antmaze-medium,2,0.0359,0.0156,0.0785,0.0519,0.0156,0.2656,0.2957,0.265,0.3254
GCIQL,antmaze-medium,3,0.0511,0.0156,0.2031,0.1535,0.0469,0.4688,0.4349,0.3894,0.4789
GCIQL,antmaze-medium,4,0.0601,0.0156,0.2031,0.2019,0.0781,0.4531,0.4414,0.3929,0.4846
GCIQL,cube,1,0.0933,0.0312,0.2188,0.31,0.2027,0.4375,0.3566,0.2842,0.4252
GCIQL,cube,2,0.2628,0.1406,0.4219,0.488,0.3281,0.6719,0.5506,0.4843,0.6133
GCIQL,cube,3,0.3489,0.2344,0.4688,0.6266,0.5,0.75,0.535,0.4693,0.5936
GCIQL,cube,4,0.2733,0.1719,0.3906,0.5587,0.4375,0.6875,0.5275,0.4629,0.5867
GCIQL,scene,1,0.0473,0.0156,0.1254,0.1298,0.0625,0.2188,0.1424,0.1081,0.1789
GCIQL,scene,2,0.1537,0.0469,0.3125,0.5456,0.4062,0.7344,0.4683,0.4151,0.5161
GCIQL,scene,3,0.3223,0.2031,0.4531,0.6721,0.5469,0.7812,0.6221,0.5527,0.6869
GCIQL,scene,4,0.4773,0.3594,0.6094,0.6579,0.5469,0.7656,0.6384,0.5692,0.7046
GCIVL,antmaze-large,1,0.0334,0.0156,0.0938,0.0586,0.0156,0.1719,0.0079,0.0057,0.0103
GCIVL,antmaze-large,2,0.0389,0.0156,0.1094,0.072,0.0156,0.2031,0.043,0.0374,0.0488
GCIVL,antmaze-large,3,0.0973,0.0312,0.2031,0.2639,0.1562,0.3906,0.0894,0.0821,0.0969
GCIVL,antmaze-large,4,0.0578,0.0156,0.1406,0.1399,0.0625,0.25,0.0886,0.0806,0.0965
GCIVL,antmaze-medium,1,0.0495,0.0156,0.125,0.1086,0.0312,0.2188,0.2197,0.1841,0.2578
GCIVL,antmaze-medium,2,0.2528,0.1562,0.3594,0.516,0.3906,0.6406,0.4972,0.4692,0.5225
GCIVL,antmaze-medium,3,0.5946,0.4688,0.7188,0.7248,0.6094,0.8438,0.6204,0.5826,0.6533
GCIVL,antmaze-medium,4,0.5805,0.4531,0.7031,0.7336,0.625,0.8438,0.6304,0.5951,0.662
GCIVL,cube,1,0.0414,0.0156,0.0938,0.0833,0.0312,0.1562,0.1321,0.0919,0.1763
GCIVL,cube,2,0.2418,0.1094,0.4062,0.4867,0.375,0.6094,0.6087,0.5491,0.6658
GCIVL,cube,3,0.5306,0.4062,0.6562,0.7039,0.5938,0.8125,0.701,0.6334,0.7599
GCIVL,cube,4,0.5687,0.4531,0.6875,0.6743,0.5469,0.7816,0.7017,0.6311,0.762
GCIVL,scene,1,0.1132,0.0469,0.1875,0.1792,0.0938,0.2812,0.194,0.1536,0.2388
GCIVL,scene,2,0.3694,0.1406,0.7188,0.753,0.625,0.8594,0.4783,0.4336,0.5169
GCIVL,scene,3,0.453,0.3281,0.5625,0.6426,0.5312,0.7656,0.5542,0.5036,0.5983
GCIVL,scene,4,0.4593,0.3281,0.5938,0.6572,0.5312,0.7812,0.5451,0.4956,0.5939
QRL,antmaze-large,1,0.0662,0.0156,0.1406,0.1175,0.0469,0.2031,0.0973,0.0761,0.1206
QRL,antmaze-large,2,0.2577,0.1562,0.3754,0.46,0.3281,0.5938,0.3183,0.2861,0.3494
QRL,antmaze-large,3,0.3292,0.2188,0.4531,0.5971,0.4688,0.7188,0.3707,0.3314,0.4073
QRL,antmaze-large,4,0.2643,0.1406,0.4375,0.5917,0.4688,0.7188,0.381,0.3402,0.4213
QRL,antmaze-medium,1,0.0915,0.0312,0.1719,0.1838,0.0938,0.2812,0.2981,0.2362,0.3585
QRL,antmaze-medium,2,0.437,0.3125,0.5781,0.7194,0.609,0.8281,0.5978,0.5485,0.6428
QRL,antmaze-medium,3,0.5513,0.3906,0.7188,0.7566,0.6406,0.8594,0.6463,0.6027,0.6871
QRL,antmaze-medium,4,0.5786,0.4531,0.7031,0.7799,0.6719,0.875,0.6426,0.5929,0.688
QRL,cube,1,0.0342,0.0156,0.0938,0.067,0.0156,0.1406,0.0447,0.0364,0.0537
QRL,cube,2,0.0802,0.0156,0.1562,0.1734,0.0938,0.2812,0.0713,0.0608,0.0817
QRL,cube,3,0.0453,0.0156,0.0938,0.0774,0.0312,0.1562,0.07,0.0581,0.0822
QRL,cube,4,0.0529,0.0156,0.125,0.1092,0.0312,0.2188,0.0691,0.0582,0.0804
QRL,scene,1,0.0597,0.0156,0.125,0.0779,0.0156,0.1562,0.0467,0.0346,0.0601
QRL,scene,2,0.1269,0.0469,0.25,0.3381,0.234,0.4531,0.1283,0.1151,0.1409
QRL,scene,3,0.0726,0.0156,0.1406,0.2088,0.1094,0.3281,0.1298,0.1167,0.1423
