algo,env,R2_lr,R2_lr_lo,R2_lr_hi,R2_alpha,R2_alpha_lo,R2_alpha_hi,dR2_lr,dR2_lr_lo,dR2_lr_hi,dR2_alpha,dR2_alpha_lo,dR2_alpha_hi,dR2_inter,dR2_inter_lo,dR2_inter_hi
CRL,antmaze-large,0.6646,0.5526,0.7607,0.0172,0.0,0.0931,0.6534,0.5342,0.7543,0.0059,0.0,0.0297,0.0112,0.0,0.05
CRL,antmaze-medium,0.4894,0.3435,0.6229,0.0097,0.0,0.0488,0.4859,0.3419,0.6197,0.0061,0.0,0.033,0.0099,0.0,0.0493
CRL,cube,0.872,0.8002,0.9252,0.0202,0.0,0.0917,0.859,0.7677,0.9257,0.0072,0.0,0.0243,0.0013,0.0,0.0064
CRL,scene,0.677,0.5541,0.781,0.0148,0.0,0.069,0.6685,0.541,0.7767,0.0063,0.0,0.0306,0.0072,0.0,0.0344
GCIQL,antmaze-large,0.609,0.4757,0.724,0.0175,0.0,0.0856,0.6107,0.4735,0.7262,0.0192,0.0,0.0815,0.0113,0.0,0.0516
GCIQL,antmaze-medium,0.6368,0.4836,0.7585,0.0378,0.0001,0.1412,0.6389,0.5082,0.7502,0.0399,0.0001,0.1434,0.0117,0.0,0.057
GCIQL,cube,0.6736,0.5566,0.7866,0.0312,0.0001,0.1367,0.6609,0.5228,0.7781,0.0184,0.0001,0.0627,0.016,0.0001,0.061
GCIQL,scene,0.6641,0.5759,0.7502,0.0144,0.0,0.0756,0.6578,0.5655,0.7462,0.008,0.0,0.0356,0.007,0.0,0.0341
GCIVL,antmaze-large,0.2652,0.0831,0.4585,0.0339,0.0,0.1412,0.2656,0.0885,0.4593,0.0343,0.0001,0.1441,0.0262,0.0,0.1154
GCIVL,antmaze-medium,0.5459,0.4078,0.6605,0.1089,0.0028,0.2693,0.516,0.3605,0.6458,0.079,0.0187,0.1748,0.0144,0.0,0.0753
GCIVL,cube,0.5493,0.4197,0.668,0.0312,0.0001,0.1331,0.5562,0.4388,0.6631,0.0381,0.0001,0.1385,0.0157,0.0,0.0739
GCIVL,scene,0.6699,0.5907,0.7423,0.0253,0.0,0.1195,0.6532,0.5499,0.7376,0.0086,0.0,0.039,0.0066,0.0,0.0375
QRL,antmaze-large,0.6806,0.5827,0.7607,0.0109,0.0,0.0546,0.6744,0.5688,0.7583,0.0047,0.0,0.0224,0.0065,0.0,0.0336
QRL,antmaze-medium,0.519,0.4118,0.6207,0.0476,0.0001,0.2033,0.4984,0.3692,0.6126,0.027,0.0,0.0934,0.021,0.0001,0.079
QRL,cube,0.7858,0.704,0.8591,0.0195,0.0,0.098,0.7724,0.6688,0.8493,0.0062,0.0,0.0298,0.0083,0.0,0.0321
QRL,scene,0.6381,0.5095,0.745,0.0112,0.0,0.0569,0.6313,0.5025,0.7401,0.0044,0.0,0.0205,0.0054,0.0,0.0293
