env,method,metric,pearson,spearman,n
cube,pooled,fr_auc,0.464,0.434,256
cube,CRL,fr_auc,0.792,0.822,64
cube,GCIQL,fr_auc,-0.554,-0.577,64
cube,GCIVL,fr_auc,0.737,0.012,64
cube,QRL,fr_auc,-0.738,-0.772,64
cube,pooled,gap_mean,-0.229,-0.064,256
cube,CRL,gap_mean,0.28,0.469,64
cube,GCIQL,gap_mean,-0.589,-0.538,64
cube,GCIVL,gap_mean,0.901,0.875,64
cube,QRL,gap_mean,-0.459,-0.499,64
cube,pooled,mrr,-0.079,-0.118,256
cube,CRL,mrr,-0.298,-0.658,64
cube,GCIQL,mrr,-0.225,-0.371,64
cube,GCIVL,mrr,-0.086,-0.353,64
cube,QRL,mrr,-0.623,-0.548,64
cube,pooled,ess,-0.075,-0.069,256
cube,CRL,ess,-0.707,-0.6,64
cube,GCIQL,ess,-0.125,-0.293,64
cube,GCIVL,ess,0.223,0.125,64
cube,QRL,ess,-0.075,-0.027,64
cube,pooled,top5_mass,0.149,0.016,256
cube,CRL,top5_mass,0.144,0.148,64
cube,GCIQL,top5_mass,0.046,0.188,64
cube,GCIVL,top5_mass,-0.184,-0.168,64
cube,QRL,top5_mass,0.07,0.034,64
scene,pooled,fr_auc,-0.236,-0.069,256
scene,CRL,fr_auc,0.765,0.464,64
scene,GCIQL,fr_auc,-0.709,-0.455,64
scene,GCIVL,fr_auc,-0.55,-0.726,64
scene,QRL,fr_auc,0.863,0.758,64
scene,pooled,gap_mean,-0.409,-0.416,256
scene,CRL,gap_mean,0.505,0.615,64
scene,GCIQL,gap_mean,-0.483,-0.228,64
scene,GCIVL,gap_mean,-0.112,-0.24,64
scene,QRL,gap_mean,0.882,0.605,64
scene,pooled,mrr,0.11,0.29,256
scene,CRL,mrr,-0.32,-0.749,64
scene,GCIQL,mrr,0.435,0.518,64
scene,GCIVL,mrr,-0.119,-0.314,64
scene,QRL,mrr,0.532,0.157,64
scene,pooled,ess,-0.329,-0.324,256
scene,CRL,ess,-0.848,-0.469,64
scene,GCIQL,ess,-0.08,-0.254,64
scene,GCIVL,ess,-0.015,-0.013,64
scene,QRL,ess,0.104,0.207,64
scene,pooled,top5_mass,0.426,0.288,256
scene,CRL,top5_mass,0.152,0.182,64
scene,GCIQL,top5_mass,0.13,0.199,64
scene,GCIVL,top5_mass,-0.018,0.018,64
scene,QRL,top5_mass,-0.026,-0.181,64
