algo,env,rf_r2,mdi_lr,mdi_alpha,perm_lr,perm_alpha,pd_range_lr,pd_range_alpha,linear_R2_lr,linear_R2_alpha,linear_R2_main
CRL,antmaze-large,0.9908,0.8564,0.1436,1.7055,0.0416,0.4309,0.1068,0.7767,0.0007,0.7774
GCIQL,antmaze-large,0.9817,0.8368,0.1632,1.6386,0.0695,0.188,0.0318,0.7834,0.0047,0.7867
GCIVL,antmaze-large,0.9173,0.6737,0.3263,1.2061,0.3445,0.0997,0.0379,0.5046,0.0046,0.511
QRL,antmaze-large,0.991,0.8558,0.1442,1.7771,0.0347,0.421,0.0617,0.8305,0.0006,0.8328
CRL,antmaze-medium,0.9858,0.8948,0.1052,1.681,0.017,0.732,0.0668,0.7684,0.0009,0.7688
GCIQL,antmaze-medium,0.9864,0.8253,0.1747,1.6286,0.122,0.5414,0.1908,0.7784,0.0014,0.7793
GCIVL,antmaze-medium,0.9769,0.7568,0.2432,1.4673,0.2083,0.3686,0.1194,0.8032,0.0789,0.8799
QRL,antmaze-medium,0.9882,0.7958,0.2042,1.5721,0.0563,0.6086,0.1783,0.9574,0.0105,0.9588
CRL,cube,0.9833,0.8383,0.1617,1.6788,0.0534,0.2255,0.0301,0.4245,0.0022,0.4277
GCIQL,cube,0.9888,0.8465,0.1535,1.7059,0.0613,0.6546,0.1636,0.755,0.0071,0.7562
GCIVL,cube,0.9878,0.8353,0.1647,1.6442,0.0532,0.7531,0.1581,0.8699,0.0078,0.8792
QRL,cube,0.9757,0.8284,0.1716,1.6655,0.0742,0.1202,0.0189,0.3405,0.0001,0.3411
CRL,scene,0.988,0.8721,0.1279,1.7959,0.0346,0.138,0.017,0.61,0.0004,0.6102
GCIQL,scene,0.9937,0.8606,0.1394,1.6828,0.0278,0.7361,0.1015,0.8262,0.005,0.8272
GCIVL,scene,0.987,0.8457,0.1543,1.6956,0.0296,0.5821,0.0792,0.9007,0.0012,0.9064
QRL,scene,0.9695,0.7991,0.2009,1.5336,0.1033,0.1493,0.0227,0.7741,0.0002,0.7754
