algo,env,phase,n_configs,mean_success,max_success,rho_0.9,rho_0.8
CRL,antmaze-large,1,64,0.0847,0.328,0.0781,0.125
CRL,antmaze-large,2,64,0.3295,0.516,0.0469,0.4062
CRL,antmaze-large,3,64,0.342,0.5,0.2188,0.6094
CRL,antmaze-large,4,64,0.3607,0.532,0.2344,0.5938
GCIQL,antmaze-large,1,64,0.0494,0.184,0.0312,0.0625
GCIQL,antmaze-large,2,64,0.1556,0.24,0.1562,0.2969
GCIQL,antmaze-large,3,64,0.1527,0.272,0.0312,0.0938
GCIQL,antmaze-large,4,64,0.1566,0.24,0.1406,0.375
GCIVL,antmaze-large,1,64,0.0079,0.04,0.0156,0.0156
GCIVL,antmaze-large,2,64,0.043,0.112,0.0156,0.0312
GCIVL,antmaze-large,3,64,0.0894,0.14,0.0781,0.25
GCIVL,antmaze-large,4,64,0.0886,0.156,0.0312,0.1094
QRL,antmaze-large,1,64,0.0967,0.308,0.0469,0.1094
QRL,antmaze-large,2,64,0.3179,0.46,0.2344,0.4375
QRL,antmaze-large,3,64,0.3704,0.524,0.3281,0.5938
QRL,antmaze-large,4,64,0.3806,0.548,0.2344,0.5781
CRL,antmaze-medium,1,64,0.159,0.7,0.0781,0.0938
CRL,antmaze-medium,2,64,0.6327,0.836,0.5312,0.7656
CRL,antmaze-medium,3,64,0.6151,0.852,0.5469,0.7656
CRL,antmaze-medium,4,64,0.6344,0.84,0.5625,0.7656
GCIQL,antmaze-medium,1,64,0.1551,0.476,0.0312,0.0312
GCIQL,antmaze-medium,2,64,0.2957,0.66,0.0312,0.0312
GCIQL,antmaze-medium,3,64,0.4344,0.756,0.0312,0.0938
GCIQL,antmaze-medium,4,64,0.4407,0.752,0.0312,0.1406
GCIVL,antmaze-medium,1,64,0.2196,0.56,0.0312,0.0781
GCIVL,antmaze-medium,2,64,0.4975,0.644,0.25,0.5
GCIVL,antmaze-medium,3,64,0.6207,0.748,0.5781,0.7188
GCIVL,antmaze-medium,4,64,0.6302,0.752,0.5781,0.7344
QRL,antmaze-medium,1,64,0.2977,0.752,0.0781,0.1719
QRL,antmaze-medium,2,64,0.5976,0.76,0.4062,0.7031
QRL,antmaze-medium,3,64,0.6456,0.808,0.5,0.75
QRL,antmaze-medium,4,64,0.6436,0.788,0.5781,0.7812
CRL,cube,1,64,0.0609,0.228,0.0156,0.0469
CRL,cube,2,64,0.1291,0.308,0.0625,0.2188
CRL,cube,3,64,0.1197,0.292,0.0469,0.1719
CRL,cube,4,64,0.1207,0.28,0.0625,0.1875
GCIQL,cube,1,64,0.3564,0.808,0.0625,0.2969
GCIQL,cube,2,64,0.5504,0.82,0.2188,0.4375
GCIQL,cube,3,64,0.5357,0.768,0.3281,0.625
GCIQL,cube,4,64,0.5277,0.776,0.2656,0.5469
GCIVL,cube,1,64,0.1319,0.608,0.0312,0.0625
GCIVL,cube,2,64,0.6085,0.872,0.1875,0.4688
GCIVL,cube,3,64,0.7004,0.912,0.5156,0.7031
GCIVL,cube,4,64,0.7004,0.904,0.5625,0.6719
QRL,cube,1,64,0.0448,0.136,0.0156,0.0469
QRL,cube,2,64,0.0713,0.156,0.0781,0.1719
QRL,cube,3,64,0.0699,0.196,0.0312,0.0625
QRL,cube,4,64,0.0691,0.18,0.0312,0.0781
CRL,scene,1,64,0.0186,0.116,0.0312,0.0625
CRL,scene,2,64,0.1027,0.164,0.2656,0.5625
CRL,scene,3,64,0.1008,0.18,0.0781,0.2656
CRL,scene,4,64,0.1029,0.172,0.1406,0.4688
GCIQL,scene,1,64,0.1422,0.46,0.0312,0.125
GCIQL,scene,2,64,0.4681,0.68,0.1094,0.5
GCIQL,scene,3,64,0.624,0.864,0.2969,0.6719
GCIQL,scene,4,64,0.6381,0.868,0.4688,0.6562
GCIVL,scene,1,64,0.1936,0.528,0.1094,0.1719
GCIVL,scene,2,64,0.4791,0.64,0.2188,0.7344
GCIVL,scene,3,64,0.5541,0.724,0.4531,0.6406
GCIVL,scene,4,64,0.5454,0.728,0.4375,0.6406
QRL,scene,1,64,0.0466,0.172,0.0469,0.0781
QRL,scene,2,64,0.1285,0.196,0.1094,0.3281
QRL,scene,3,64,0.1299,0.216,0.0625,0.1875
QRL,scene,4,64,0.1348,0.208,0.125,0.3438
