algo,env,mean_success,max_success,rho_0.9,rho_0.8
CRL,antmaze-large,0.3607,0.532,0.2344,0.5938
GCIQL,antmaze-large,0.1566,0.24,0.1406,0.375
GCIVL,antmaze-large,0.0886,0.156,0.0312,0.1094
QRL,antmaze-large,0.3806,0.548,0.2344,0.5781
CRL,antmaze-medium,0.6344,0.84,0.5625,0.7656
GCIQL,antmaze-medium,0.4407,0.752,0.0312,0.1406
GCIVL,antmaze-medium,0.6302,0.752,0.5781,0.7344
QRL,antmaze-medium,0.6436,0.788,0.5781,0.7812
CRL,cube,0.1207,0.28,0.0625,0.1875
GCIQL,cube,0.5277,0.776,0.2656,0.5469
GCIVL,cube,0.7004,0.904,0.5625,0.6719
QRL,cube,0.0691,0.18,0.0312,0.0781
CRL,scene,0.1029,0.172,0.1406,0.4688
GCIQL,scene,0.6381,0.868,0.4688,0.6562
GCIVL,scene,0.5454,0.728,0.4375,0.6406
QRL,scene,0.1348,0.208,0.125,0.3438
