algo,env,phase_from,phase_to,top_k,jaccard,centroid_drift,n_stable
CRL,antmaze-large,1,2,7,0.0769,0.1902,1
CRL,antmaze-large,2,3,7,0.0769,0.1904,1
CRL,antmaze-large,3,4,7,0.0,0.1306,0
CRL,antmaze-medium,1,2,7,0.0,0.3198,0
CRL,antmaze-medium,2,3,7,0.0769,0.1313,1
CRL,antmaze-medium,3,4,7,0.1667,0.1433,2
CRL,cube,1,2,7,0.0,0.3549,0
CRL,cube,2,3,7,0.4,0.0235,4
CRL,cube,3,4,7,0.4,0.1336,4
CRL,scene,1,2,7,0.0,0.482,0
CRL,scene,2,3,7,0.1667,0.1485,2
CRL,scene,3,4,7,0.4,0.0499,4
GCIQL,antmaze-large,1,2,7,0.0,0.4137,0
GCIQL,antmaze-large,2,3,7,0.0769,0.0692,1
GCIQL,antmaze-large,3,4,7,0.0,0.1082,0
GCIQL,antmaze-medium,1,2,7,0.4,0.2008,4
GCIQL,antmaze-medium,2,3,7,0.1667,0.4507,2
GCIQL,antmaze-medium,3,4,7,0.5556,0.1071,5
GCIQL,cube,1,2,7,0.0,0.3779,0
GCIQL,cube,2,3,7,0.1667,0.2428,2
GCIQL,cube,3,4,7,0.1667,0.0413,2
GCIQL,scene,1,2,7,0.5556,0.0958,5
GCIQL,scene,2,3,7,0.0,0.2646,0
GCIQL,scene,3,4,7,0.0,0.3728,0
GCIVL,antmaze-large,1,2,7,0.0769,0.1513,1
GCIVL,antmaze-large,2,3,7,0.0,0.3696,0
GCIVL,antmaze-large,3,4,7,0.2727,0.1272,3
GCIVL,antmaze-medium,1,2,7,0.5556,0.1259,5
GCIVL,antmaze-medium,2,3,7,0.0,0.3956,0
GCIVL,antmaze-medium,3,4,7,0.1667,0.1151,2
GCIVL,cube,1,2,7,0.0769,0.1397,1
GCIVL,cube,2,3,7,0.0,0.3471,0
GCIVL,cube,3,4,7,0.2727,0.2301,3
GCIVL,scene,1,2,7,0.0769,0.1709,1
GCIVL,scene,2,3,7,0.1667,0.3751,2
GCIVL,scene,3,4,7,0.2727,0.1098,3
QRL,antmaze-large,1,2,7,0.0769,0.2138,1
QRL,antmaze-large,2,3,7,0.1667,0.1572,2
QRL,antmaze-large,3,4,7,0.0769,0.013,1
QRL,antmaze-medium,1,2,7,0.4,0.106,4
QRL,antmaze-medium,2,3,7,0.0,0.2605,0
QRL,antmaze-medium,3,4,7,0.2727,0.0534,3
QRL,cube,1,2,7,0.0,0.3281,0
QRL,cube,2,3,7,0.2727,0.2442,3
QRL,cube,3,4,7,0.2727,0.0385,3
QRL,scene,1,2,7,0.0,0.4704,0
QRL,scene,2,3,7,0.2727,0.2058,3
QRL,scene,3,4,7,0.1667,0.0688,2
