algo,env,rf_r2_oob,rf_r2_cv5,mdi_lr,mdi_alpha,perm_lr,perm_alpha,pd_range_lr,pd_range_alpha,linear_R2_lr,linear_R2_alpha,linear_R2_main
CRL,antmaze-large,0.9326,0.8673,0.8564,0.1436,1.7516,-0.0038,0.4309,0.1068,0.6633,0.0015,0.6638
GCIQL,antmaze-large,0.8584,0.8506,0.8368,0.1632,1.6205,-0.0105,0.188,0.0318,0.6113,0.0063,0.624
GCIVL,antmaze-large,0.3683,0.4546,0.6737,0.3263,1.0855,0.0041,0.0997,0.0379,0.2617,0.0184,0.2793
QRL,antmaze-large,0.9323,0.8704,0.8558,0.1442,1.7244,0.007,0.421,0.0617,0.6808,0.0,0.6817
CRL,antmaze-medium,0.8828,0.8408,0.8948,0.1052,1.7646,0.0155,0.732,0.0668,0.4936,0.0001,0.4937
GCIQL,antmaze-medium,0.9013,0.861,0.8253,0.1747,1.4989,0.1022,0.5414,0.1908,0.6344,0.0229,0.6646
GCIVL,antmaze-medium,0.8366,0.6468,0.7568,0.2432,1.4651,0.2034,0.3686,0.1194,0.5423,0.0972,0.6141
QRL,antmaze-medium,0.9104,0.8343,0.7958,0.2042,1.4539,0.0168,0.6086,0.1783,0.5187,0.028,0.5388
CRL,cube,0.8758,0.8704,0.8383,0.1617,1.6055,-0.003,0.2255,0.0301,0.8732,0.0051,0.8785
GCIQL,cube,0.9141,0.8862,0.8465,0.1535,1.6905,-0.006,0.6546,0.1636,0.6729,0.0164,0.6874
GCIVL,cube,0.9124,0.7953,0.8353,0.1647,1.531,0.071,0.7531,0.1581,0.5504,0.0165,0.579
QRL,cube,0.8187,0.7656,0.8284,0.1716,1.5917,-0.0029,0.1202,0.0189,0.7856,0.0006,0.7883
CRL,scene,0.9124,0.9008,0.8721,0.1279,1.7533,0.0015,0.138,0.017,0.6784,0.002,0.6788
GCIQL,scene,0.9542,0.9386,0.8606,0.1394,1.7069,-0.0002,0.7361,0.1015,0.6653,0.0036,0.6689
GCIVL,scene,0.905,0.8628,0.8457,0.1543,1.6899,0.0074,0.5821,0.0792,0.6675,0.0088,0.6716
QRL,scene,0.7726,0.696,0.7991,0.2009,1.38,-0.0078,0.1493,0.0227,0.6363,0.0005,0.6373
