algo,env,pearson,pearson_p,spearman,spearman_p,n
CRL,antmaze-large,0.31,0.013,0.214,0.09,64
CRL,antmaze-medium,0.45,0.0,0.45,0.0,64
CRL,cube,0.374,0.002,0.564,0.0,64
CRL,scene,0.426,0.0,0.438,0.0,64
GCIQL,antmaze-large,0.352,0.004,0.305,0.014,64
GCIQL,antmaze-medium,0.215,0.088,0.028,0.829,64
GCIQL,cube,0.058,0.647,0.068,0.595,64
GCIQL,scene,-0.103,0.418,-0.083,0.513,64
GCIVL,antmaze-large,0.381,0.002,0.322,0.01,64
GCIVL,antmaze-medium,-0.596,0.0,-0.423,0.0,64
GCIVL,cube,-0.136,0.283,-0.168,0.185,64
GCIVL,scene,-0.309,0.013,-0.37,0.003,64
QRL,antmaze-large,0.317,0.011,0.206,0.102,64
QRL,antmaze-medium,-0.061,0.634,-0.189,0.136,64
QRL,cube,0.568,0.0,0.668,0.0,64
QRL,scene,0.273,0.029,0.191,0.13,64
pooled,antmaze-large,0.461,0.0,0.56,0.0,256
pooled,antmaze-medium,0.007,0.908,-0.048,0.449,256
pooled,cube,0.147,0.018,0.471,0.0,256
pooled,scene,0.125,0.046,0.313,0.0,256
