algo,env_short,mean_seed_var,std_seed_var,mean_success,n_configs
CRL,antmaze-large,0.0034,0.0029,0.3607,64
CRL,antmaze-medium,0.0022,0.0021,0.6344,64
CRL,cube,0.0049,0.0055,0.1208,64
CRL,scene,0.0012,0.001,0.1029,64
GCIQL,antmaze-large,0.002,0.0016,0.1566,64
GCIQL,antmaze-medium,0.0036,0.0029,0.4407,64
GCIQL,cube,0.0056,0.0069,0.5277,64
GCIQL,scene,0.0035,0.0042,0.6381,64
GCIVL,antmaze-large,0.0015,0.0011,0.0886,64
GCIVL,antmaze-medium,0.0042,0.0036,0.6302,64
GCIVL,cube,0.0048,0.0057,0.7004,64
GCIVL,scene,0.0032,0.0039,0.5454,64
QRL,antmaze-large,0.0033,0.0025,0.3806,64
QRL,antmaze-medium,0.0037,0.0028,0.6436,64
QRL,cube,0.0018,0.002,0.0691,64
QRL,scene,0.0024,0.0018,0.1348,64
