algo,env,rho_0_9,rho_0_8,mean_seed_var,mean_seed_var_top10pct
CRL,antmaze-large,0.2344,0.5938,0.0034,0.0032
CRL,antmaze-medium,0.5625,0.7656,0.0022,0.0025
CRL,cube,0.0625,0.1875,0.0049,0.0082
CRL,scene,0.1406,0.4688,0.0012,0.0014
GCIQL,antmaze-large,0.1406,0.375,0.002,0.0022
GCIQL,antmaze-medium,0.0312,0.1406,0.0036,0.003
GCIQL,cube,0.2656,0.5469,0.0056,0.0034
GCIQL,scene,0.4688,0.6562,0.0035,0.0021
GCIVL,antmaze-large,0.0312,0.1094,0.0015,0.0018
GCIVL,antmaze-medium,0.5781,0.7344,0.0042,0.0031
GCIVL,cube,0.5625,0.6719,0.0048,0.003
GCIVL,scene,0.4375,0.6406,0.0032,0.0017
QRL,antmaze-large,0.2344,0.5781,0.0033,0.0032
QRL,antmaze-medium,0.5781,0.7812,0.0037,0.0034
QRL,cube,0.0312,0.0781,0.0018,0.0006
QRL,scene,0.125,0.3438,0.0024,0.0028
