env,subsample_k,method_higher,method_lower,pct_agree,n_valid
antmaze-large,32,QRL,CRL,74.4,1000
antmaze-large,32,QRL,GCIQL,100.0,1000
antmaze-large,32,QRL,GCIVL,100.0,1000
antmaze-large,32,CRL,GCIQL,100.0,1000
antmaze-large,32,CRL,GCIVL,100.0,1000
antmaze-large,32,GCIQL,GCIVL,100.0,1000
antmaze-large,48,QRL,CRL,89.0,1000
antmaze-large,48,QRL,GCIQL,100.0,1000
antmaze-large,48,QRL,GCIVL,100.0,1000
antmaze-large,48,CRL,GCIQL,100.0,1000
antmaze-large,48,CRL,GCIVL,100.0,1000
antmaze-large,48,GCIQL,GCIVL,100.0,1000
antmaze-medium,32,QRL,CRL,57.2,1000
antmaze-medium,32,QRL,GCIVL,67.5,1000
antmaze-medium,32,QRL,GCIQL,100.0,1000
antmaze-medium,32,CRL,GCIVL,53.2,1000
antmaze-medium,32,CRL,GCIQL,100.0,1000
antmaze-medium,32,GCIVL,GCIQL,100.0,1000
antmaze-medium,48,QRL,CRL,67.4,1000
antmaze-medium,48,QRL,GCIVL,78.6,1000
antmaze-medium,48,QRL,GCIQL,100.0,1000
antmaze-medium,48,CRL,GCIVL,53.7,1000
antmaze-medium,48,CRL,GCIQL,100.0,1000
antmaze-medium,48,GCIVL,GCIQL,100.0,1000
cube,32,GCIVL,GCIQL,100.0,1000
cube,32,GCIVL,CRL,100.0,1000
cube,32,GCIVL,QRL,100.0,1000
cube,32,GCIQL,CRL,100.0,1000
cube,32,GCIQL,QRL,100.0,1000
cube,32,CRL,QRL,100.0,1000
cube,48,GCIVL,GCIQL,100.0,1000
cube,48,GCIVL,CRL,100.0,1000
cube,48,GCIVL,QRL,100.0,1000
cube,48,GCIQL,CRL,100.0,1000
cube,48,GCIQL,QRL,100.0,1000
cube,48,CRL,QRL,100.0,1000
scene,32,GCIQL,GCIVL,98.0,1000
scene,32,GCIQL,QRL,100.0,1000
scene,32,GCIQL,CRL,100.0,1000
scene,32,GCIVL,QRL,100.0,1000
scene,32,GCIVL,CRL,100.0,1000
scene,32,QRL,CRL,99.9,1000
scene,48,GCIQL,GCIVL,100.0,1000
scene,48,GCIQL,QRL,100.0,1000
scene,48,GCIQL,CRL,100.0,1000
scene,48,GCIVL,QRL,100.0,1000
scene,48,GCIVL,CRL,100.0,1000
scene,48,QRL,CRL,100.0,1000
