algo,env,subsample_k,metric,full_value,boot_mean,boot_std,ci_lo,ci_hi
CRL,antmaze-large,32,mean,0.3607,0.3607,0.0215,0.3216,0.404
CRL,antmaze-large,32,rho09,0.2344,0.2557,0.0679,0.1562,0.4375
CRL,antmaze-large,32,rho08,0.5938,0.604,0.0619,0.4688,0.7188
CRL,antmaze-large,48,mean,0.3607,0.3608,0.013,0.336,0.3856
CRL,antmaze-large,48,rho09,0.2344,0.2375,0.0332,0.1667,0.2917
CRL,antmaze-large,48,rho08,0.5938,0.5963,0.036,0.5208,0.6667
GCIQL,antmaze-large,32,mean,0.1566,0.1565,0.009,0.1396,0.1738
GCIQL,antmaze-large,32,rho09,0.1406,0.1648,0.0461,0.0938,0.25
GCIQL,antmaze-large,32,rho08,0.375,0.4059,0.0658,0.2812,0.5312
GCIQL,antmaze-large,48,mean,0.1566,0.1569,0.005,0.1475,0.1668
GCIQL,antmaze-large,48,rho09,0.1406,0.1512,0.0267,0.1042,0.2083
GCIQL,antmaze-large,48,rho08,0.375,0.3891,0.0396,0.3125,0.4583
GCIVL,antmaze-large,32,mean,0.0886,0.0884,0.0042,0.0805,0.0967
GCIVL,antmaze-large,32,rho09,0.0312,0.0708,0.0353,0.0312,0.1562
GCIVL,antmaze-large,32,rho08,0.1094,0.1585,0.0577,0.0625,0.2812
GCIVL,antmaze-large,48,mean,0.0886,0.0886,0.0024,0.0839,0.0936
GCIVL,antmaze-large,48,rho09,0.0312,0.0475,0.0236,0.0208,0.1042
GCIVL,antmaze-large,48,rho08,0.1094,0.1276,0.0345,0.0625,0.2083
QRL,antmaze-large,32,mean,0.3806,0.3816,0.0207,0.34,0.4215
QRL,antmaze-large,32,rho09,0.2344,0.287,0.0865,0.1562,0.4695
QRL,antmaze-large,32,rho08,0.5781,0.6067,0.0656,0.4688,0.7195
QRL,antmaze-large,48,mean,0.3806,0.3807,0.0119,0.3579,0.4043
QRL,antmaze-large,48,rho09,0.2344,0.25,0.0455,0.1875,0.3958
QRL,antmaze-large,48,rho08,0.5781,0.5869,0.0388,0.5208,0.6667
CRL,antmaze-medium,32,mean,0.6344,0.6323,0.0359,0.5535,0.6993
CRL,antmaze-medium,32,rho09,0.5625,0.6062,0.0718,0.4688,0.75
CRL,antmaze-medium,32,rho08,0.7656,0.7751,0.0522,0.6562,0.875
CRL,antmaze-medium,48,mean,0.6344,0.6339,0.0205,0.5936,0.6739
CRL,antmaze-medium,48,rho09,0.5625,0.583,0.0482,0.5,0.6875
CRL,antmaze-medium,48,rho08,0.7656,0.77,0.0313,0.7083,0.8333
GCIQL,antmaze-medium,32,mean,0.4407,0.4415,0.0239,0.3939,0.4866
GCIQL,antmaze-medium,32,rho09,0.0312,0.0814,0.0571,0.0312,0.2188
GCIQL,antmaze-medium,32,rho08,0.1406,0.2463,0.1163,0.0938,0.4695
GCIQL,antmaze-medium,48,mean,0.4407,0.4411,0.0137,0.4155,0.468
GCIQL,antmaze-medium,48,rho09,0.0312,0.0461,0.031,0.0208,0.1667
GCIQL,antmaze-medium,48,rho08,0.1406,0.1782,0.0719,0.1042,0.4167
GCIVL,antmaze-medium,32,mean,0.6302,0.6302,0.0175,0.5959,0.6641
GCIVL,antmaze-medium,32,rho09,0.5781,0.5804,0.0643,0.4688,0.7188
GCIVL,antmaze-medium,32,rho08,0.7344,0.7344,0.0541,0.625,0.8438
GCIVL,antmaze-medium,48,mean,0.6302,0.63,0.0101,0.6117,0.6505
GCIVL,antmaze-medium,48,rho09,0.5781,0.5769,0.0349,0.5,0.6458
GCIVL,antmaze-medium,48,rho08,0.7344,0.7336,0.0312,0.6667,0.7917
QRL,antmaze-medium,32,mean,0.6436,0.6436,0.0266,0.5921,0.6964
QRL,antmaze-medium,32,rho09,0.5781,0.5783,0.0644,0.4375,0.6875
QRL,antmaze-medium,32,rho08,0.7812,0.7821,0.0552,0.6875,0.9062
QRL,antmaze-medium,48,mean,0.6436,0.6434,0.0145,0.6169,0.6736
QRL,antmaze-medium,48,rho09,0.5781,0.5798,0.0356,0.5208,0.6458
QRL,antmaze-medium,48,rho08,0.7812,0.781,0.0306,0.7292,0.8339
CRL,cube,32,mean,0.1207,0.1207,0.0109,0.0999,0.1426
CRL,cube,32,rho09,0.0625,0.0971,0.0381,0.0312,0.1875
CRL,cube,32,rho08,0.1875,0.1973,0.0482,0.0938,0.2812
CRL,cube,48,mean,0.1207,0.1207,0.0065,0.1078,0.1333
CRL,cube,48,rho09,0.0625,0.0794,0.0248,0.0417,0.1255
CRL,cube,48,rho08,0.1875,0.1914,0.0282,0.1458,0.25
GCIQL,cube,32,mean,0.5277,0.5265,0.0317,0.4647,0.5896
GCIQL,cube,32,rho09,0.2656,0.2843,0.0624,0.1875,0.4062
