agent,env,R2_lr,R2_alpha,R2_main,R2_full,dR2_lr,dR2_alpha,dR2_inter,R2_shared,n
CRL,antmaze-large-navigate-v0,0.512,0.001,0.5123,0.5177,0.5113,0.0003,0.0054,0.0007,64
GCIQL,antmaze-large-navigate-v0,0.5918,0.0072,0.6056,0.6071,0.5984,0.0138,0.0014,-0.0066,64
GCIVL,antmaze-large-navigate-v0,0.0915,0.1189,0.2116,0.212,0.0928,0.1201,0.0004,-0.0012,64
QRL,antmaze-large-navigate-v0,0.486,0.0026,0.4909,0.4939,0.4883,0.0049,0.0031,-0.0023,64
CRL,antmaze-medium-explore-v0,0.7303,0.0137,0.747,0.7595,0.7333,0.0167,0.0125,-0.003,64
GCIQL,antmaze-medium-explore-v0,0.1767,0.0012,0.1788,0.1794,0.1776,0.0021,0.0006,-0.0008,64
GCIVL,antmaze-medium-explore-v0,0.1836,0.0454,0.236,0.2363,0.1906,0.0524,0.0003,-0.007,64
QRL,antmaze-medium-explore-v0,0.5142,0.0,0.5143,0.5282,0.5142,0.0,0.014,0.0,64
CRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.0017,0.012,0.0139,0.0204,0.0019,0.0122,0.0065,-0.0002,64
GCIQL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.0036,0.0167,0.0208,0.023,0.0041,0.0172,0.0022,-0.0005,64
GCIVL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.294,0.0327,0.3185,0.3422,0.2859,0.0245,0.0236,0.0082,64
QRL,antmaze-medium-explore-v0 antmaze-medium-explore80navigate-v0 antmaze-medium-explore40navigate-v0 antmaze-medium-navigate-v0,0.0895,0.0008,0.0896,0.0933,0.0888,0.0002,0.0036,0.0006,64
CRL,antmaze-medium-explore40navigate-v0,0.5157,0.0123,0.526,0.5261,0.5136,0.0103,0.0001,0.0021,64
GCIQL,antmaze-medium-explore40navigate-v0,0.382,0.0171,0.4041,0.4042,0.387,0.0221,0.0001,-0.005,64
GCIVL,antmaze-medium-explore40navigate-v0,0.3281,0.0277,0.3536,0.358,0.326,0.0255,0.0044,0.0021,64
QRL,antmaze-medium-explore40navigate-v0,0.5447,0.0003,0.5458,0.5469,0.5455,0.0011,0.0011,-0.0008,64
CRL,antmaze-medium-explore80navigate-v0,0.7425,0.0015,0.7436,0.7436,0.7421,0.0011,0.0,0.0004,64
GCIQL,antmaze-medium-explore80navigate-v0,0.3112,0.0,0.3119,0.3341,0.3119,0.0007,0.0222,-0.0007,64
GCIVL,antmaze-medium-explore80navigate-v0,0.5286,0.0022,0.5321,0.5329,0.5299,0.0035,0.0008,-0.0013,64
QRL,antmaze-medium-explore80navigate-v0,0.5336,0.0023,0.5366,0.5367,0.5344,0.0031,0.0001,-0.0008,64
CRL,antmaze-medium-navigate-v0,0.5023,0.0004,0.503,0.5035,0.5026,0.0006,0.0005,-0.0003,64
GCIQL,antmaze-medium-navigate-v0,0.1982,0.0962,0.3024,0.3059,0.2062,0.1042,0.0035,-0.008,64
GCIVL,antmaze-medium-navigate-v0,0.1089,0.1579,0.2519,0.2524,0.094,0.143,0.0004,0.0149,64
QRL,antmaze-medium-navigate-v0,0.3918,0.0223,0.408,0.4189,0.3856,0.0162,0.0109,0.0061,64
CRL,cube-single-play-v0,0.8804,0.0036,0.8842,0.8844,0.8806,0.0038,0.0003,-0.0002,64
GCIQL,cube-single-play-v0,0.6919,0.0226,0.7122,0.7309,0.6896,0.0203,0.0187,0.0023,64
GCIVL,cube-single-play-v0,0.1702,0.0848,0.2688,0.2688,0.1839,0.0986,0.0,-0.0138,64
QRL,cube-single-play-v0,0.7999,0.0,0.8011,0.8057,0.8011,0.0012,0.0046,-0.0012,64
CRL,scene-play-v0,0.6593,0.0001,0.6604,0.661,0.6603,0.0011,0.0006,-0.001,64
GCIQL,scene-play-v0,0.342,0.0097,0.3518,0.3522,0.342,0.0098,0.0005,-0.0,64
GCIVL,scene-play-v0,0.402,0.026,0.421,0.4222,0.395,0.019,0.0012,0.0069,64
QRL,scene-play-v0,0.658,0.0057,0.6653,0.6705,0.6596,0.0073,0.0052,-0.0016,64
