env,algo,w_max=20,w_max=50,w_max=100,w_max=200
antmaze-large,CRL,0.3154,0.2904,0.2745,0.2608
antmaze-large,GCIQL,0.1843,0.153,0.1341,0.1186
antmaze-large,GCIVL,0.5456,0.493,0.4564,0.4231
antmaze-large,QRL,0.6555,0.6193,0.5925,0.5676
antmaze-medium,CRL,0.3112,0.2801,0.2602,0.2441
antmaze-medium,GCIQL,0.1775,0.1496,0.1332,0.121
antmaze-medium,GCIVL,0.5533,0.5009,0.4651,0.4327
antmaze-medium,QRL,0.6011,0.5627,0.5324,0.504
cube,CRL,0.342,0.3233,0.3111,0.3004
cube,GCIQL,0.2089,0.169,0.1454,0.1273
cube,GCIVL,0.6549,0.5964,0.5529,0.5124
cube,QRL,0.5573,0.4971,0.4539,0.4172
scene,CRL,0.3322,0.3173,0.3077,0.2989
scene,GCIQL,0.1787,0.1405,0.1182,0.1003
scene,GCIVL,0.6376,0.5653,0.5118,0.4645
scene,QRL,0.5606,0.4997,0.4575,0.4208
