env,algo,w_max=20,w_max=50,w_max=100,w_max=200
antmaze-large,CRL,0.249,0.2323,0.2214,0.2113
antmaze-large,GCIQL,0.1103,0.0951,0.0855,0.0771
antmaze-large,GCIVL,0.4197,0.3789,0.3512,0.3259
antmaze-large,QRL,0.5593,0.5289,0.5074,0.487
antmaze-medium,CRL,0.2394,0.2202,0.2077,0.1964
antmaze-medium,GCIQL,0.1128,0.0985,0.0894,0.0814
antmaze-medium,GCIVL,0.4377,0.3977,0.3704,0.3454
antmaze-medium,QRL,0.4966,0.4647,0.442,0.4216
cube,CRL,0.2763,0.2634,0.2549,0.2471
cube,GCIQL,0.1212,0.1026,0.0909,0.081
cube,GCIVL,0.5248,0.4769,0.444,0.413
cube,QRL,0.4428,0.4021,0.3741,0.348
scene,CRL,0.2684,0.2574,0.2501,0.2432
scene,GCIQL,0.0898,0.0742,0.0648,0.0569
scene,GCIVL,0.482,0.4279,0.3917,0.3588
scene,QRL,0.4357,0.3928,0.3644,0.338
