env,algo,w_max=20,w_max=50,w_max=100,w_max=200
antmaze-large,CRL,0.8455,0.846,0.849,0.8517
antmaze-large,GCIQL,0.7252,0.7326,0.7407,0.7484
antmaze-large,GCIVL,0.8061,0.7894,0.7793,0.7723
antmaze-large,QRL,0.8734,0.8556,0.8415,0.8284
antmaze-medium,CRL,0.8229,0.82,0.8198,0.8206
antmaze-medium,GCIQL,0.7505,0.7558,0.7609,0.7672
antmaze-medium,GCIVL,0.8167,0.8017,0.7936,0.7871
antmaze-medium,QRL,0.8542,0.8387,0.8252,0.8135
cube,CRL,0.8605,0.8566,0.8562,0.8541
cube,GCIQL,0.6989,0.7017,0.7089,0.7161
cube,GCIVL,0.8167,0.7958,0.7846,0.7753
cube,QRL,0.8156,0.8024,0.7962,0.7911
scene,CRL,0.864,0.8586,0.858,0.8577
scene,GCIQL,0.6569,0.6611,0.6704,0.6791
scene,GCIVL,0.782,0.7625,0.7528,0.7464
scene,QRL,0.8055,0.7867,0.7794,0.7715
