env,algo,config,alpha,w_max,ess,saturation_mass,fraction_clipped,top5_mass
antmaze-medium,CRL,0,29.193884963169694,20,0.4,1.0,0.4,0.125
antmaze-medium,CRL,0,29.193884963169694,50,0.4,1.0,0.4,0.125
antmaze-medium,CRL,0,29.193884963169694,100,0.4,1.0,0.4,0.125
antmaze-medium,CRL,0,29.193884963169694,200,0.4,1.0,0.4,0.125
antmaze-medium,CRL,1,2.470583925023675,20,0.1900448239670576,0.4283045021654363,0.05078125,0.4217152021321219
antmaze-medium,CRL,1,2.470583925023675,50,0.11537497010201174,0.4419715234291502,0.031171875,0.611112137021363
antmaze-medium,CRL,1,2.470583925023675,100,0.0780918075418367,0.4420906452887435,0.02125,0.7146910324759433
antmaze-medium,CRL,1,2.470583925023675,200,0.053314257183245936,0.44278445632546487,0.014375,0.7887885057377229
antmaze-medium,CRL,2,14.316055532544851,20,0.27996712763133674,0.8974565595398148,0.237421875,0.18900039424333054
antmaze-medium,CRL,2,14.316055532544851,50,0.25453250495336993,0.8883455498239368,0.213515625,0.20802822974289042
antmaze-medium,CRL,2,14.316055532544851,100,0.23614352793376558,0.8883106960968424,0.197578125,0.22479985982680079
antmaze-medium,CRL,2,14.316055532544851,200,0.2187743685691283,0.8889806758103179,0.183125,0.24272509919735644
antmaze-medium,CRL,3,17.59459001943469,20,0.302594715118435,0.9083007374932922,0.262109375,0.17326750283031506
antmaze-medium,CRL,3,17.59459001943469,50,0.27815006240777684,0.9043853553835879,0.238984375,0.1892143273767559
antmaze-medium,CRL,3,17.59459001943469,100,0.26050672154755455,0.9120243568055516,0.22609375,0.20169163384780683
antmaze-medium,CRL,3,17.59459001943469,200,0.2445218375051531,0.9077340147000432,0.211328125,0.21476886114899357
antmaze-medium,CRL,4,21.066501438617706,20,0.3071003667163672,0.9335284608333774,0.277109375,0.16844043274129167
antmaze-medium,CRL,4,21.066501438617706,50,0.28879153094004756,0.9292806960885219,0.25875,0.17957114900261292
antmaze-medium,CRL,4,21.066501438617706,100,0.2752656041850013,0.9280960536898577,0.246328125,0.18838613205249252
antmaze-medium,CRL,4,21.066501438617706,200,0.2620914997308327,0.9323111924802359,0.2353125,0.19810065178862912
antmaze-medium,CRL,5,11.227299347519875,20,0.2797131788540634,0.8583240781925626,0.222109375,0.193221037651509
antmaze-medium,CRL,5,11.227299347519875,50,0.2456457750114643,0.8607859628074285,0.195078125,0.2206259576278551
antmaze-medium,CRL,5,11.227299347519875,100,0.222637771530323,0.8657804296500934,0.178359375,0.24270673454930344
antmaze-medium,CRL,5,11.227299347519875,200,0.20245602197129403,0.8595227269984521,0.16125,0.26651867503827975
antmaze-medium,CRL,6,5.7360591273754835,20,0.39370196974816973,0.8655096640423541,0.31546875,0.13717835190369157
antmaze-medium,CRL,6,5.7360591273754835,50,0.34756490361157216,0.8740238889903025,0.28234375,0.15478010209014764
antmaze-medium,CRL,6,5.7360591273754835,100,0.3177410388591303,0.8825547091582002,0.26171875,0.16860746682425318
