env,algo,w_max=20,w_max=50,w_max=100,w_max=200
antmaze-large,CRL,0.1911,0.2175,0.2388,0.2608
antmaze-large,GCIQL,0.3573,0.4311,0.4873,0.5406
antmaze-large,GCIVL,0.1111,0.1332,0.1526,0.1749
antmaze-large,QRL,0.0835,0.0919,0.0993,0.1084
antmaze-medium,CRL,0.1951,0.2251,0.249,0.2736
antmaze-medium,GCIQL,0.3557,0.4236,0.4755,0.5248
antmaze-medium,GCIVL,0.1093,0.1307,0.1499,0.1719
antmaze-medium,QRL,0.0932,0.1027,0.1115,0.1231
cube,CRL,0.1858,0.2008,0.2121,0.2242
cube,GCIQL,0.3247,0.3989,0.4576,0.5162
cube,GCIVL,0.0937,0.1139,0.1326,0.1541
cube,QRL,0.1078,0.1288,0.1494,0.1736
scene,CRL,0.2095,0.2277,0.2404,0.2529
scene,GCIQL,0.3932,0.4799,0.5461,0.6115
scene,GCIVL,0.0977,0.1202,0.1417,0.1667
scene,QRL,0.1085,0.1306,0.1509,0.1743
