checkpoint_path,agent,dataset,phase,seed,configuration,actor,fr_auc_mean,fr_auc_std,gap_mean_mean,gap_mean_std,gap_std_mean,gap_std_std,extractability_index_mean,extractability_index_std,adv_plus_mean_mean,adv_plus_mean_std,adv_minus_mean_mean,adv_minus_mean_std
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_0/phase_926500/seed_0/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,0,0,actor,0.531039,0.018478,0.18721,0.104206,2.433078,0.091164,0.077624,0.044211,-0.528916,0.09782,-0.716126,0.057667
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_0/phase_926500/seed_1/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,1,0,actor,0.807644,0.026018,4.72758,0.503264,5.415188,0.207688,0.873944,0.095643,-0.262198,0.372435,-4.989779,0.265298
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_0/phase_926500/seed_2/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,2,0,actor,0.534566,0.018922,0.18985,0.136395,2.496844,0.096038,0.075783,0.054521,-0.611582,0.087407,-0.801432,0.097624
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_0/phase_926500/seed_3/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,3,0,actor,0.540599,0.014699,0.240593,0.078531,2.468628,0.111642,0.097222,0.030513,-0.480425,0.077926,-0.721018,0.082783
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_0/phase_926500/seed_4/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,4,0,actor,0.536195,0.01496,0.267828,0.131201,2.724389,0.158523,0.097111,0.044976,-0.340428,0.085627,-0.608256,0.094936
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_1/phase_926500/seed_0/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,0,1,actor,0.528494,0.020553,0.159857,0.162769,3.799778,0.245537,0.040926,0.039322,-0.774646,0.076264,-0.934503,0.131207
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_1/phase_926500/seed_1/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,1,1,actor,0.528353,0.021199,0.183404,0.17618,3.785004,0.249221,0.047303,0.043063,-0.758021,0.091094,-0.941425,0.13092
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_1/phase_926500/seed_2/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,2,1,actor,0.526273,0.019737,0.145716,0.166737,3.802725,0.245292,0.037238,0.041029,-0.8018,0.080366,-0.947516,0.132686
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_1/phase_926500/seed_3/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,3,1,actor,0.527022,0.019922,0.145456,0.169894,3.807617,0.23485,0.037002,0.041168,-0.804245,0.075453,-0.949701,0.132587
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_1/phase_926500/seed_4/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,4,1,actor,0.530377,0.01881,0.171771,0.169019,3.846438,0.243424,0.043522,0.040567,-0.762212,0.086265,-0.933983,0.136641
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_10/phase_926500/seed_0/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,0,10,actor,0.496523,0.000671,2e-06,3e-06,0.130546,0.011042,1.4e-05,2.5e-05,-634.088812,0.004381,-634.088824,0.00439
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_10/phase_926500/seed_1/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,1,10,actor,0.499193,0.000155,1e-06,9e-06,0.088632,0.004842,1.3e-05,0.000105,-984.890247,0.009087,-984.890259,0.0091
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-large-single-fixed-batch/CRL_antmaze-large-navigate-v0_64c_lr-alpha/run_logs/configuration_10/phase_926500/seed_2/params_926500.pkl,CRL,antmaze-large-navigate-v0,926500,2,10,actor,0.499233,0.000244,8e-06,1.8e-05,0.289466,0.042896,2.9e-05,5.8e-05,2269.634619,0.016646,2269.63457,0.016726
