agent,configuration,seed,phase,actor,alpha,has_real_alpha,ess_mean,ess_std,saturation_mass_mean,saturation_mass_std,fraction_clipped_mean,fraction_clipped_std,top5_mass_mean,top5_mass_std,entropy_mean,entropy_std
CRL,0,0,926500,actor,18.649499779567122,True,0.279514,0.027188,0.929018,0.020644,0.25,0.023219,0.175666,0.018248,4.301744,0.099635
CRL,0,1,926500,actor,18.649499779567122,True,0.480155,0.045032,0.988176,0.007159,0.471875,0.045733,0.098991,0.009553,4.813316,0.094601
CRL,0,2,926500,actor,18.649499779567122,True,0.270562,0.029839,0.924381,0.023708,0.241016,0.026368,0.181659,0.01965,4.267266,0.112312
CRL,0,3,926500,actor,18.649499779567122,True,0.319075,0.013225,0.943004,0.014216,0.292578,0.009993,0.15126,0.006219,4.429801,0.043291
CRL,0,4,926500,actor,18.649499779567122,True,0.319386,0.020501,0.944805,0.017659,0.29375,0.022158,0.151467,0.010754,4.430077,0.063484
CRL,1,0,926500,actor,11.976409675553441,True,0.267221,0.024368,0.900256,0.031036,0.228516,0.022116,0.186166,0.01818,4.272792,0.088931
CRL,1,1,926500,actor,11.976409675553441,True,0.265199,0.026119,0.902805,0.026017,0.227734,0.027869,0.188028,0.020429,4.264494,0.092474
CRL,1,2,926500,actor,11.976409675553441,True,0.264445,0.023778,0.902854,0.026447,0.227734,0.028351,0.187964,0.019373,4.259613,0.083315
CRL,1,3,926500,actor,11.976409675553441,True,0.260124,0.021354,0.890485,0.017182,0.219531,0.019986,0.19144,0.016233,4.248311,0.080677
CRL,1,4,926500,actor,11.976409675553441,True,0.264913,0.017469,0.910466,0.025457,0.230078,0.020707,0.186582,0.01395,4.265772,0.058215
CRL,2,0,926500,actor,3.6428943648934364,True,0.135144,0.014855,0.680007,0.082068,0.075391,0.018602,0.434078,0.056981,3.774448,0.08101
CRL,2,1,926500,actor,3.6428943648934364,True,0.133394,0.016812,0.644298,0.136781,0.068359,0.020024,0.45182,0.063169,3.764109,0.127229
