checkpoint_path,agent,dataset,phase,seed,configuration,actor,fr_auc_mean,fr_auc_std,gap_mean_mean,gap_mean_std,gap_std_mean,gap_std_std,extractability_index_mean,extractability_index_std,adv_plus_mean_mean,adv_plus_mean_std,adv_minus_mean_mean,adv_minus_mean_std
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-medium-fixed-batch/CRL_antmaze-medium-navigate-v0_64c_lr-alpha/run_logs/configuration_0/phase_159090/seed_0/params_159090.pkl,CRL,antmaze-medium-navigate-v0,159090,0,0,actor,0.499917,7.2e-05,1.8e-05,7.7e-05,2.133148,0.164216,9e-06,3.4e-05,-1578.902087,0.102079,-1578.902112,0.102166
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-medium-fixed-batch/CRL_antmaze-medium-navigate-v0_64c_lr-alpha/run_logs/configuration_0/phase_159090/seed_1/params_159090.pkl,CRL,antmaze-medium-navigate-v0,159090,1,0,actor,0.499738,6.8e-05,-3.8e-05,0.000531,8.759606,13.237635,2.3e-05,7.4e-05,-10525.232031,0.769611,-10525.231836,0.770558
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-medium-fixed-batch/CRL_antmaze-medium-navigate-v0_64c_lr-alpha/run_logs/configuration_0/phase_159090/seed_2/params_159090.pkl,CRL,antmaze-medium-navigate-v0,159090,2,0,actor,0.499861,6.4e-05,3e-06,4.3e-05,0.532448,0.040485,6e-06,7.9e-05,-2495.256299,0.153641,-2495.25625,0.153641
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-medium-fixed-batch/CRL_antmaze-medium-navigate-v0_64c_lr-alpha/run_logs/configuration_0/phase_159090/seed_3/params_159090.pkl,CRL,antmaze-medium-navigate-v0,159090,3,0,actor,0.499871,4.7e-05,0.000222,0.000296,8.145349,1.117586,2.5e-05,3.5e-05,2132.477539,0.259091,2132.477319,0.259058
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-medium-fixed-batch/CRL_antmaze-medium-navigate-v0_64c_lr-alpha/run_logs/configuration_0/phase_159090/seed_4/params_159090.pkl,CRL,antmaze-medium-navigate-v0,159090,4,0,actor,0.49956,0.000116,8.4e-05,0.000121,0.672647,0.06041,0.000118,0.00018,12606.21709,0.219971,12606.217188,0.219873
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-medium-fixed-batch/CRL_antmaze-medium-navigate-v0_64c_lr-alpha/run_logs/configuration_1/phase_159090/seed_0/params_159090.pkl,CRL,antmaze-medium-navigate-v0,159090,0,1,actor,0.537381,0.01573,0.200416,0.080727,2.15168,0.16767,0.092584,0.035119,-0.416255,0.066935,-0.616672,0.050705
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-medium-fixed-batch/CRL_antmaze-medium-navigate-v0_64c_lr-alpha/run_logs/configuration_1/phase_159090/seed_1/params_159090.pkl,CRL,antmaze-medium-navigate-v0,159090,1,1,actor,0.534934,0.016368,0.192774,0.081486,2.150846,0.154337,0.088878,0.034956,-0.433355,0.068056,-0.626129,0.054175
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-medium-fixed-batch/CRL_antmaze-medium-navigate-v0_64c_lr-alpha/run_logs/configuration_1/phase_159090/seed_2/params_159090.pkl,CRL,antmaze-medium-navigate-v0,159090,2,1,actor,0.530064,0.015397,0.172813,0.086656,2.175024,0.160816,0.078417,0.03677,-0.429462,0.066616,-0.602275,0.054384
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-medium-fixed-batch/CRL_antmaze-medium-navigate-v0_64c_lr-alpha/run_logs/configuration_1/phase_159090/seed_3/params_159090.pkl,CRL,antmaze-medium-navigate-v0,159090,3,1,actor,0.535365,0.013328,0.188276,0.075329,2.213596,0.161142,0.084332,0.030989,-0.446949,0.062915,-0.635226,0.051788
/bigwork/nhwptoem/gcrl/code/logs-advantage-antmaze-medium-fixed-batch/CRL_antmaze-medium-navigate-v0_64c_lr-alpha/run_logs/configuration_1/phase_159090/seed_4/params_159090.pkl,CRL,antmaze-medium-navigate-v0,159090,4,1,actor,0.535317,0.0149,0.184453,0.078,2.164981,0.16491,0.084475,0.032984,-0.439096,0.060013,-0.623549,0.054756
