agent,configuration,seed,phase,actor,alpha,has_real_alpha,ess_mean,ess_std,saturation_mass_mean,saturation_mass_std,fraction_clipped_mean,fraction_clipped_std,top5_mass_mean,top5_mass_std,entropy_mean,entropy_std
CRL,0,0,159090,actor,29.193884963169694,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,0,1,159090,actor,29.193884963169694,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,0,2,159090,actor,29.193884963169694,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,0,3,159090,actor,29.193884963169694,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,0,4,159090,actor,29.193884963169694,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,1,0,159090,actor,2.470583925023675,True,0.079765,0.009261,0.435355,0.139913,0.022266,0.009753,0.68757,0.039804,3.620562,0.095559
CRL,1,1,159090,actor,2.470583925023675,True,0.078637,0.008697,0.407338,0.142274,0.019531,0.009568,0.683016,0.036564,3.629961,0.098643
CRL,1,2,159090,actor,2.470583925023675,True,0.085731,0.010998,0.411239,0.169876,0.022266,0.010902,0.675388,0.035783,3.642443,0.115731
CRL,1,3,159090,actor,2.470583925023675,True,0.080315,0.008982,0.465524,0.129205,0.025,0.010119,0.691282,0.031431,3.600955,0.083869
CRL,1,4,159090,actor,2.470583925023675,True,0.078161,0.008424,0.375174,0.121128,0.017188,0.007856,0.666567,0.02818,3.662568,0.069408
CRL,2,0,159090,actor,14.316055532544851,True,0.239423,0.023423,0.913684,0.024918,0.208984,0.025532,0.207395,0.022806,4.165909,0.087758
CRL,2,1,159090,actor,14.316055532544851,True,0.235714,0.028163,0.890812,0.041306,0.197656,0.024992,0.214047,0.026854,4.154455,0.116851
CRL,2,2,159090,actor,14.316055532544851,True,0.232214,0.027425,0.888676,0.040776,0.194531,0.027424,0.217561,0.027947,4.142635,0.113032
CRL,2,3,159090,actor,14.316055532544851,True,0.237775,0.019956,0.882295,0.022377,0.197266,0.019335,0.211302,0.019379,4.165396,0.080885
CRL,2,4,159090,actor,14.316055532544851,True,0.235936,0.027953,0.860174,0.034214,0.189453,0.029763,0.216532,0.026912,4.162497,0.105284
CRL,3,0,159090,actor,17.59459001943469,True,0.261231,0.022051,0.911698,0.027895,0.226562,0.018779,0.18984,0.017522,4.251323,0.084957
CRL,3,1,159090,actor,17.59459001943469,True,0.259636,0.019591,0.919297,0.03162,0.227344,0.01973,0.190667,0.015842,4.247015,0.075772
CRL,3,2,159090,actor,17.59459001943469,True,0.261537,0.021278,0.915222,0.032301,0.228125,0.022493,0.189447,0.016784,4.250996,0.081954
CRL,3,3,159090,actor,17.59459001943469,True,0.260834,0.021496,0.907282,0.032155,0.224609,0.01951,0.190547,0.016928,4.24869,0.081983
CRL,3,4,159090,actor,17.59459001943469,True,0.25949,0.018965,0.906711,0.030584,0.223828,0.018783,0.190954,0.015561,4.245138,0.073742
CRL,4,0,159090,actor,21.066501438617706,True,0.279568,0.023739,0.92938,0.018447,0.250391,0.025077,0.17552,0.017391,4.305865,0.083477
CRL,4,1,159090,actor,21.066501438617706,True,0.272379,0.026064,0.931502,0.024864,0.244922,0.02233,0.17957,0.016379,4.275627,0.094037
CRL,4,2,159090,actor,21.066501438617706,True,0.277237,0.024141,0.932616,0.018038,0.249609,0.021431,0.176318,0.01565,4.295153,0.08451
CRL,4,3,159090,actor,21.066501438617706,True,0.271643,0.024754,0.927794,0.027081,0.24375,0.029761,0.180322,0.017879,4.274128,0.085809
CRL,4,4,159090,actor,21.066501438617706,True,0.275651,0.023675,0.916817,0.024893,0.242969,0.026288,0.178677,0.019285,4.292897,0.083981
CRL,5,0,159090,actor,11.227299347519875,True,0.222306,0.017747,0.864805,0.022533,0.178125,0.018248,0.229383,0.020301,4.123529,0.077649
CRL,5,1,159090,actor,11.227299347519875,True,0.221765,0.017299,0.866698,0.032747,0.177734,0.019335,0.230425,0.020076,4.121643,0.073494
CRL,5,2,159090,actor,11.227299347519875,True,0.223521,0.018602,0.863199,0.031548,0.178906,0.020898,0.228247,0.02053,4.126685,0.080116
CRL,5,3,159090,actor,11.227299347519875,True,0.224677,0.019439,0.861603,0.018909,0.179297,0.019614,0.22732,0.02131,4.130287,0.081212
CRL,5,4,159090,actor,11.227299347519875,True,0.221193,0.016741,0.866918,0.042785,0.177734,0.019422,0.230283,0.018932,4.119,0.072949
CRL,6,0,159090,actor,5.7360591273754835,True,0.160519,0.0295,0.67823,0.041475,0.088281,0.017682,0.372283,0.073718,3.919116,0.160286
CRL,6,1,159090,actor,5.7360591273754835,True,0.160836,0.015212,0.618987,0.043263,0.078516,0.011998,0.373943,0.03751,3.942354,0.081381
CRL,6,2,159090,actor,5.7360591273754835,True,0.151544,0.020189,0.626029,0.076141,0.075,0.012187,0.396325,0.049632,3.874107,0.128989
CRL,6,3,159090,actor,5.7360591273754835,True,0.135426,0.022269,0.620684,0.095715,0.066797,0.021352,0.456302,0.077086,3.778894,0.134817
CRL,6,4,159090,actor,5.7360591273754835,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,7,0,159090,actor,25.895028663799167,True,0.289793,0.024213,0.924122,0.020258,0.258984,0.024846,0.168646,0.016367,4.334923,0.084941
CRL,7,1,159090,actor,25.895028663799167,True,0.289271,0.022519,0.922619,0.019399,0.257031,0.02122,0.169314,0.014742,4.335401,0.078266
CRL,7,2,159090,actor,25.895028663799167,True,0.287225,0.025251,0.937359,0.018446,0.260938,0.022985,0.169653,0.016491,4.325093,0.089426
CRL,7,3,159090,actor,25.895028663799167,True,0.284186,0.023747,0.939318,0.015561,0.258594,0.023711,0.171565,0.016075,4.316735,0.083181
CRL,7,4,159090,actor,25.895028663799167,True,0.287293,0.021329,0.927175,0.021166,0.256641,0.015739,0.17001,0.012597,4.32993,0.077845
CRL,8,0,159090,actor,22.601251183077693,True,0.281167,0.025348,0.930436,0.026729,0.252734,0.024982,0.174013,0.017153,4.306817,0.090117
CRL,8,1,159090,actor,22.601251183077693,True,0.29072,0.02263,0.931871,0.021615,0.262109,0.02446,0.167751,0.013358,4.341626,0.076949
CRL,8,2,159090,actor,22.601251183077693,True,0.271875,0.023393,0.934692,0.023385,0.246484,0.022132,0.178907,0.014939,4.272986,0.09036
CRL,8,3,159090,actor,22.601251183077693,True,0.279958,0.026008,0.938697,0.022674,0.254688,0.026029,0.174419,0.018407,4.302127,0.091531
CRL,8,4,159090,actor,22.601251183077693,True,0.26915,0.030408,0.918918,0.020651,0.2375,0.02887,0.183733,0.021916,4.264952,0.110656
CRL,9,0,159090,actor,5.254781199619174,True,0.145457,0.015708,0.701189,0.064185,0.084375,0.017585,0.399508,0.057195,3.834698,0.080115
CRL,9,1,159090,actor,5.254781199619174,True,0.14549,0.015668,0.692817,0.066739,0.083203,0.017953,0.400958,0.059835,3.834074,0.077663
CRL,9,2,159090,actor,5.254781199619174,True,0.147646,0.015521,0.702557,0.07477,0.085938,0.017469,0.391584,0.05225,3.842382,0.08582
CRL,9,3,159090,actor,5.254781199619174,True,0.149269,0.015332,0.680484,0.063667,0.083594,0.015428,0.38921,0.051064,3.851689,0.080296
CRL,9,4,159090,actor,5.254781199619174,True,0.144997,0.015456,0.67875,0.064992,0.080859,0.015412,0.401883,0.056115,3.829632,0.076396
CRL,10,0,159090,actor,7.9594990611076355,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,1,159090,actor,7.9594990611076355,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,2,159090,actor,7.9594990611076355,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,3,159090,actor,7.9594990611076355,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,10,4,159090,actor,7.9594990611076355,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,11,0,159090,actor,20.611202493309975,True,0.276858,0.024466,0.927514,0.016508,0.246875,0.020979,0.177405,0.017239,4.296717,0.091337
CRL,11,1,159090,actor,20.611202493309975,True,0.272291,0.020384,0.919001,0.024289,0.239844,0.017777,0.180502,0.014497,4.283235,0.080584
CRL,11,2,159090,actor,20.611202493309975,True,0.273964,0.024373,0.934142,0.025911,0.247266,0.026815,0.178723,0.017415,4.283205,0.088684
CRL,11,3,159090,actor,20.611202493309975,True,0.273948,0.023517,0.944555,0.015759,0.251172,0.020919,0.177468,0.016322,4.280465,0.087761
CRL,11,4,159090,actor,20.611202493309975,True,0.284316,0.020902,0.917684,0.018293,0.250391,0.018999,0.172651,0.013072,4.321872,0.076409
CRL,12,0,159090,actor,16.174774523824453,True,0.254443,0.024595,0.904692,0.023133,0.21875,0.020505,0.195376,0.018903,4.22351,0.098234
CRL,12,1,159090,actor,16.174774523824453,True,0.261421,0.018121,0.916665,0.013231,0.229297,0.020343,0.188501,0.013952,4.24965,0.060896
CRL,12,2,159090,actor,16.174774523824453,True,0.261852,0.030326,0.888322,0.020415,0.219531,0.030246,0.193046,0.027386,4.257821,0.108053
CRL,12,3,159090,actor,16.174774523824453,True,0.244297,0.027692,0.892216,0.045774,0.207031,0.033653,0.206228,0.029694,4.186593,0.107774
CRL,12,4,159090,actor,16.174774523824453,True,0.235605,0.03345,0.896064,0.025248,0.199609,0.031918,0.215092,0.033105,4.150546,0.135577
CRL,13,0,159090,actor,11.958741378039122,True,0.232758,0.018724,0.861814,0.021486,0.185938,0.015428,0.218561,0.018365,4.161546,0.082226
