checkpoint_path,agent,dataset,phase,seed,configuration,actor,fr_auc_mean,fr_auc_std,gap_mean_mean,gap_mean_std,gap_std_mean,gap_std_std,extractability_index_mean,extractability_index_std,adv_plus_mean_mean,adv_plus_mean_std,adv_minus_mean_mean,adv_minus_mean_std
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_0/phase_315517/seed_0/params_315517.pkl,CRL,cube-single-play-v0,315517,0,0,actor,0.499934,7.6e-05,-8e-06,3.3e-05,0.397939,0.012069,-2.1e-05,8.6e-05,-1289.116211,0.09164,-1289.116211,0.091642
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_0/phase_315517/seed_1/params_315517.pkl,CRL,cube-single-play-v0,315517,1,0,actor,0.499778,0.000255,0.00032,0.000276,1.100223,0.106274,0.000294,0.000256,-366.194879,0.110789,-366.1952,0.110752
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_0/phase_315517/seed_2/params_315517.pkl,CRL,cube-single-play-v0,315517,2,0,actor,0.501489,0.00292,0.000634,0.002235,0.223235,0.013839,0.002896,0.010104,-0.200842,0.016191,-0.201477,0.015641
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_0/phase_315517/seed_3/params_315517.pkl,CRL,cube-single-play-v0,315517,3,0,actor,0.499799,0.00263,-0.000459,0.001935,0.317365,0.015179,-0.001421,0.006059,-0.113187,0.018398,-0.112728,0.017694
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_0/phase_315517/seed_4/params_315517.pkl,CRL,cube-single-play-v0,315517,4,0,actor,0.500856,0.001446,0.003425,0.005125,1.454899,0.079823,0.002445,0.003614,1317.754309,0.670894,1317.750867,0.670193
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_1/phase_315517/seed_0/params_315517.pkl,CRL,cube-single-play-v0,315517,0,1,actor,0.562676,0.008522,0.893424,0.122895,5.721487,0.170832,0.156419,0.023395,-1.056971,0.132502,-1.950395,0.088419
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_1/phase_315517/seed_1/params_315517.pkl,CRL,cube-single-play-v0,315517,1,1,actor,0.576074,0.010253,1.110975,0.135038,5.72349,0.160394,0.194153,0.023891,-0.986642,0.146147,-2.097616,0.092637
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_1/phase_315517/seed_2/params_315517.pkl,CRL,cube-single-play-v0,315517,2,1,actor,0.565138,0.01042,0.93818,0.135085,5.722,0.153823,0.164105,0.024506,-0.955565,0.128079,-1.893745,0.087853
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_1/phase_315517/seed_3/params_315517.pkl,CRL,cube-single-play-v0,315517,3,1,actor,0.57029,0.008155,1.017967,0.118051,5.729153,0.182012,0.177891,0.022023,-1.041853,0.105174,-2.059819,0.100045
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_1/phase_315517/seed_4/params_315517.pkl,CRL,cube-single-play-v0,315517,4,1,actor,0.565729,0.009604,0.961201,0.137722,5.735378,0.17028,0.167876,0.025961,-0.984403,0.128433,-1.945604,0.072633
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_10/phase_315517/seed_0/params_315517.pkl,CRL,cube-single-play-v0,315517,0,10,actor,0.499851,0.000133,-5e-06,9e-06,0.403556,0.025515,-1.2e-05,2.3e-05,-650.112378,0.044543,-650.112402,0.044554
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_10/phase_315517/seed_1/params_315517.pkl,CRL,cube-single-play-v0,315517,1,10,actor,0.49985,8e-05,-3.2e-05,8e-06,1.177224,0.036196,-2.8e-05,7e-06,1632.806555,0.105625,1632.80658,0.105664
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_10/phase_315517/seed_2/params_315517.pkl,CRL,cube-single-play-v0,315517,2,10,actor,0.499881,0.012929,-8.1e-05,0.005143,0.156507,0.007331,5.6e-05,0.032945,-0.259421,0.017353,-0.25934,0.01545
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_10/phase_315517/seed_3/params_315517.pkl,CRL,cube-single-play-v0,315517,3,10,actor,0.499956,2.3e-05,4.4e-05,1.4e-05,1.806641,0.08401,2.5e-05,8e-06,-3774.357129,0.127466,-3774.357202,0.127472
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_10/phase_315517/seed_4/params_315517.pkl,CRL,cube-single-play-v0,315517,4,10,actor,0.499923,5.9e-05,-8e-06,1.3e-05,0.752026,0.027749,-1.1e-05,1.8e-05,-748.734906,0.060427,-748.734894,0.060435
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_11/phase_315517/seed_0/params_315517.pkl,CRL,cube-single-play-v0,315517,0,11,actor,0.578071,0.011921,0.953574,0.130894,4.90025,0.093011,0.194724,0.02758,-0.741986,0.169948,-1.69556,0.109083
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_11/phase_315517/seed_1/params_315517.pkl,CRL,cube-single-play-v0,315517,1,11,actor,0.584879,0.012122,1.050085,0.117029,4.879462,0.112711,0.215424,0.025841,-0.733797,0.139988,-1.783881,0.101758
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_11/phase_315517/seed_2/params_315517.pkl,CRL,cube-single-play-v0,315517,2,11,actor,0.581619,0.011607,1.014809,0.109613,4.885762,0.099194,0.207811,0.023202,-0.682573,0.130869,-1.697382,0.117228
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_11/phase_315517/seed_3/params_315517.pkl,CRL,cube-single-play-v0,315517,3,11,actor,0.582474,0.01091,1.017882,0.105855,4.891657,0.09901,0.208134,0.021981,-0.673864,0.133033,-1.691746,0.098854
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_11/phase_315517/seed_4/params_315517.pkl,CRL,cube-single-play-v0,315517,4,11,actor,0.576104,0.014955,0.931357,0.151744,4.887134,0.08209,0.190659,0.031594,-0.678036,0.172489,-1.609393,0.106113
/bigwork/nhwptoem/gcrl/code/logs-advantage-cube-single-fixed-batch/CRL_cube-single-play-v0_64c_lr-alpha/run_logs/configuration_12/phase_315517/seed_0/params_315517.pkl,CRL,cube-single-play-v0,315517,0,12,actor,0.499482,0.000109,-5e-06,1.1e-05,0.586578,0.01609,-9e-06,1.8e-05,-2674.034863,0.033047,-2674.034863,0.03313
