agent,configuration,seed,phase,actor,alpha,has_real_alpha,ess_mean,ess_std,saturation_mass_mean,saturation_mass_std,fraction_clipped_mean,fraction_clipped_std,top5_mass_mean,top5_mass_std,entropy_mean,entropy_std
CRL,0,0,315517,actor,20.956736700609326,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,0,1,315517,actor,20.956736700609326,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,0,2,315517,actor,20.956736700609326,True,0.063018,0.013115,0.518903,0.060591,0.023828,0.00791,0.792637,0.060367,3.09289,0.166648
CRL,0,3,315517,actor,20.956736700609326,True,0.191632,0.020854,0.767444,0.052733,0.128906,0.015073,0.281684,0.031613,4.014047,0.10607
CRL,0,4,315517,actor,20.956736700609326,True,1.0,0.0,1.0,0.0,1.0,0.0,0.046875,0.0,5.545177,0.0
CRL,1,0,315517,actor,9.513050559908152,True,0.297737,0.024909,0.951716,0.020001,0.276172,0.026561,0.162719,0.013961,4.357865,0.079954
CRL,1,1,315517,actor,9.513050559908152,True,0.31172,0.036843,0.957284,0.012756,0.291406,0.033864,0.156011,0.019458,4.397477,0.118223
CRL,1,2,315517,actor,9.513050559908152,True,0.316778,0.029695,0.952888,0.012167,0.294922,0.03148,0.15289,0.015148,4.415585,0.090587
CRL,1,3,315517,actor,9.513050559908152,True,0.30955,0.031313,0.943771,0.018578,0.284766,0.034324,0.157259,0.017829,4.395241,0.097818
CRL,1,4,315517,actor,9.513050559908152,True,0.310954,0.02947,0.955271,0.010021,0.290625,0.027449,0.155359,0.015304,4.396975,0.096228
CRL,2,0,315517,actor,5.496972743421793,True,0.204921,0.024627,0.88635,0.033917,0.172266,0.027154,0.246317,0.036704,4.006564,0.106732
CRL,2,1,315517,actor,5.496972743421793,True,0.796081,0.021395,0.986307,0.004913,0.780078,0.023729,0.059312,0.001668,5.323309,0.025176
CRL,2,2,315517,actor,5.496972743421793,True,0.039202,0.008049,0.837196,0.093226,0.029688,0.007637,0.967827,0.02153,2.417603,0.199587
CRL,2,3,315517,actor,5.496972743421793,True,0.241256,0.030287,0.975805,0.014547,0.232422,0.029362,0.199728,0.02619,4.129349,0.127983
CRL,2,4,315517,actor,5.496972743421793,True,0.315599,0.03292,0.946905,0.013397,0.291016,0.033005,0.154224,0.016962,4.415771,0.101844
CRL,3,0,315517,actor,24.031423525884748,True,0.3501,0.03294,0.960969,0.010872,0.329297,0.031144,0.137827,0.012339,4.513283,0.088704
CRL,3,1,315517,actor,24.031423525884748,True,0.353507,0.033614,0.960522,0.016225,0.333594,0.034851,0.136104,0.012354,4.518812,0.090414
CRL,3,2,315517,actor,24.031423525884748,True,0.348736,0.032862,0.959186,0.022019,0.327734,0.029142,0.138081,0.011648,4.50932,0.090884
CRL,3,3,315517,actor,24.031423525884748,True,0.353906,0.034325,0.96078,0.014616,0.332812,0.032306,0.1364,0.012655,4.52316,0.093387
CRL,3,4,315517,actor,24.031423525884748,True,0.349394,0.034003,0.961597,0.009605,0.329688,0.032222,0.137852,0.013055,4.508829,0.093001
