agent,configuration,seed,phase,actor,alpha,has_real_alpha,ess_mean,ess_std,saturation_mass_mean,saturation_mass_std,fraction_clipped_mean,fraction_clipped_std,top5_mass_mean,top5_mass_std,entropy_mean,entropy_std
CRL,0,0,53000,actor,21.177382841706276,True,0.318092,0.022901,0.96975,0.016426,0.304297,0.02397,0.15015,0.01105,4.410386,0.074482
CRL,0,1,53000,actor,21.177382841706276,True,0.323868,0.028178,0.971492,0.008354,0.310156,0.02612,0.14782,0.013231,4.426707,0.087592
CRL,0,2,53000,actor,21.177382841706276,True,0.328814,0.030146,0.978447,0.009539,0.318359,0.031534,0.145291,0.013885,4.441125,0.09213
CRL,0,3,53000,actor,21.177382841706276,True,0.3167,0.04098,0.978654,0.012389,0.306641,0.042041,0.15218,0.020945,4.399687,0.129458
CRL,0,4,53000,actor,21.177382841706276,True,0.330948,0.02213,0.977948,0.008142,0.319531,0.022837,0.144112,0.010176,4.450603,0.067049
CRL,1,0,53000,actor,6.465855035930872,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,1,1,53000,actor,6.465855035930872,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,1,2,53000,actor,6.465855035930872,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,1,3,53000,actor,6.465855035930872,True,1.0,0.0,0.0,0.0,0.0,0.0,0.046875,0.0,5.545177,0.0
CRL,1,4,53000,actor,6.465855035930872,True,0.050564,0.016029,0.0,0.0,0.0,0.0,0.668861,0.054904,3.440047,0.227941
CRL,2,0,53000,actor,9.244783725589514,True,0.296895,0.015536,0.920311,0.023129,0.262891,0.019317,0.164696,0.009449,4.366829,0.049259
CRL,2,1,53000,actor,9.244783725589514,True,0.293056,0.013979,0.92827,0.023409,0.2625,0.017352,0.166228,0.008333,4.353395,0.046283
CRL,2,2,53000,actor,9.244783725589514,True,0.295828,0.016738,0.9246,0.023974,0.263281,0.020439,0.165307,0.01027,4.364635,0.056132
CRL,2,3,53000,actor,9.244783725589514,True,0.296554,0.016924,0.924401,0.029196,0.264062,0.02149,0.164793,0.010295,4.363737,0.053998
