training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/critic/binary_accuracy;training/critic/categorical_accuracy;training/critic/contrastive_loss;training/critic/logits;training/critic/logits_neg;training/critic/logits_pos;training/critic/v_max;training/critic/v_mean;training/critic/v_min;training/grad/max;training/grad/min;training/grad/norm;training/value/binary_accuracy;training/value/categorical_accuracy;training/value/contrastive_loss;training/value/logits;training/value/logits_neg;training/value/logits_pos;training/value/v_max;training/value/v_mean;training/value/v_min;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/critic/binary_accuracy;validation/critic/categorical_accuracy;validation/critic/contrastive_loss;validation/critic/logits;validation/critic/logits_neg;validation/critic/logits_pos;validation/critic/v_max;validation/critic/v_mean;validation/critic/v_min;validation/value/binary_accuracy;validation/value/categorical_accuracy;validation/value/contrastive_loss;validation/value/logits;validation/value/logits_neg;validation/value/logits_pos;validation/value/v_max;validation/value/v_mean;validation/value/v_min;time/epoch_time;time/total_time;step
146.49023;0.24382941;-9.471518;0.5300022;1.0;0.11142731;0.0;1.2185068;0.6101341;0.6099807;0.7670655;78.21764;5.102266;0.051699165;19.591312;-14.096842;351.7776;0.8358097;0.0009765625;0.49347275;-0.5642142;-0.56420916;-0.5694473;7.5202765;0.702394;0.09559256;31.176125;-0.52401674;-9.365757;0.5035622;1.0;0.99596024;0.0009765625;0.024294425;-6.9751825;-6.974985;-7.1770334;7.289632;0.03166558;9.8241e-06;0.99459076;0.0;0.01986409;-7.5232563;-7.522997;-7.78846;10.837417;0.034027338;2.6842166e-05;0.0005470293487089599;60.7809796333313;1
38.991524;-0.38408792;-7.6386156;0.07177688;1.0;0.99907017;0.2705078;0.0040593008;-12.306236;-12.31531;-3.0239186;209.7495;0.4947442;1.6392779e-06;1.2020143;-1.382364;19.104584;0.9990587;0.26367188;0.004069452;-12.277531;-12.2865715;-3.0282617;18.64566;0.40071037;1.0423303e-06;60.418694;-0.6526867;-7.676791;0.08132069;1.0;0.99782276;0.12988281;0.007079357;-12.565209;-12.574324;-3.2400064;504.06555;1.5229663;3.6707857e-07;0.9973812;0.12011719;0.0073642526;-12.491108;-12.500209;-3.179954;30.715868;1.0018272;4.296186e-07;0.012247099823489135;1421.5684909820557;111112
56.20574;-0.43752754;-7.602201;0.06267309;1.0;0.9990759;0.31054688;0.0038279397;-13.131498;-13.141644;-2.7533875;20.946321;0.54811484;2.0030106e-06;2.023717;-1.3831921;26.230185;0.99907684;0.296875;0.0038351868;-13.059118;-13.069173;-2.773193;11.783116;0.48536095;2.5279569e-05;81.60396;-0.78787065;-7.6625047;0.07774909;1.0;0.99760723;0.12792969;0.0072640227;-13.243233;-13.252942;-3.31084;499.28983;1.2852688;2.1609388e-10;0.9978533;0.11425781;0.007344763;-13.060882;-13.070478;-3.2432096;70.82986;1.6344934;1.3870765e-07;0.007503098248308896;2255.245244026184;222223
56.891556;-0.5349921;-7.5923934;0.060221337;1.0;0.9990778;0.32910156;0.0037840516;-13.188738;-13.1989975;-2.6930044;63.092407;0.5102778;5.27083e-07;1.7798676;-2.730514;27.232723;0.9990845;0.3046875;0.00379137;-13.101264;-13.111439;-2.6919973;12.739089;0.45429963;2.7185806e-07;56.767944;-0.91954964;-7.641712;0.0725511;1.0;0.99782276;0.12207031;0.00727879;-13.56713;-13.576967;-3.504013;266.63846;1.3670098;5.1393588e-08;0.998106;0.10839844;0.0069872993;-13.214185;-13.223767;-3.4102437;335.38193;1.5230561;4.8493484e-07;0.006872677294277636;3018.8752942085266;333334
53.459007;-0.5190486;-7.580714;0.057301596;1.0;0.9991083;0.33496094;0.0036705453;-13.567975;-13.578744;-2.5525045;22.584118;0.66994715;6.434939e-07;1.330237;-1.7299043;20.21463;0.9991083;0.3173828;0.003676505;-13.451567;-13.462203;-2.5705466;24.617506;0.69106793;3.4223401e-06;94.46791;-0.8164944;-7.668229;0.07918023;1.0;0.9979162;0.111328125;0.0075327186;-13.578196;-13.588087;-3.4587889;1242.5985;4.7296543;1.4631786e-08;0.99792767;0.099609375;0.006801381;-13.306427;-13.316051;-3.4618268;72.85615;1.1534344;7.849825e-08;0.0068543333995718944;3780.467135667801;444445
59.93452;-0.5194436;-7.5742307;0.055680633;1.0;0.9990921;0.33984375;0.0037465724;-13.936125;-13.9472;-2.6079752;65.68313;0.7800252;5.9086824e-07;1.6470065;-1.5794827;25.721512;0.99909115;0.31933594;0.0037784856;-13.911329;-13.9223;-2.686886;20.00785;0.60098946;5.769983e-06;83.51106;-1.1546463;-7.6619873;0.07761986;1.0;0.9980202;0.11621094;0.0071558915;-13.654269;-13.664002;-3.6967845;348.26724;2.064608;3.3601395e-08;0.9979229;0.09863281;0.0069561778;-13.395204;-13.404676;-3.7039847;392.01987;1.5419961;1.10547465e-08;0.006852849857553379;4541.894138336182;555556
63.51835;-0.48793355;-7.580331;0.057205655;1.0;0.9991131;0.34960938;0.0036464469;-13.953907;-13.964996;-2.6086607;23.157198;0.5696387;7.114155e-06;3.0713077;-1.9099647;33.59168;0.9991112;0.31445312;0.0036804928;-13.893603;-13.904629;-2.6151843;34.47579;0.60189104;3.9659426e-06;90.09064;-0.9754032;-7.6724916;0.0802459;1.0;0.9979172;0.12597656;0.0073033394;-13.944741;-13.954952;-3.4981933;3725.1921;18.398212;1.0358722e-08;0.9977541;0.12402344;0.0068250033;-13.663807;-13.673751;-3.490839;32.784016;0.5913589;2.8699588e-07;0.006849647936226305;5302.965374469757;666667
69.99959;-0.5027634;-7.574898;0.055847324;1.0;0.99910736;0.36914062;0.0035668449;-13.991387;-14.002625;-2.4946117;121.03464;0.7558701;3.2020034e-07;1.9941082;-2.6694925;29.314095;0.99910927;0.32617188;0.0036008758;-13.879037;-13.890129;-2.5309272;28.57596;0.64058685;9.753195e-07;107.624985;-1.1111152;-7.6828537;0.08283629;1.0;0.9971142;0.12695312;0.009105923;-14.329098;-14.339739;-3.443168;6375.0005;34.2405;1.866705e-10;0.9969063;0.11328125;0.009054711;-14.060194;-14.070627;-3.3870718;133.64034;1.516577;2.7999347e-08;0.006788129915351977;6057.201280117035;777778
69.0036;-0.38721195;-7.56703;0.053880397;1.0;0.99910927;0.36914062;0.0036422494;-14.210148;-14.221534;-2.5609217;18.937525;0.62553704;5.594321e-08;3.1052709;-3.5058742;33.658722;0.9990978;0.3408203;0.00365079;-14.173118;-14.184442;-2.5886202;39.43535;0.6401701;2.0016368e-07;134.97618;-0.92154753;-7.70078;0.08731784;1.0;0.9976902;0.1171875;0.008663105;-14.30667;-14.31709;-3.6473966;14922.341;97.96931;2.8075575e-10;0.997838;0.1171875;0.008198925;-14.100907;-14.111082;-3.692742;45.38433;1.2192895;1.7186439e-09;0.006790762297993057;6811.7296731472015;888889
67.746124;-0.4923702;-7.583297;0.05794724;1.0;0.99911785;0.35253906;0.0036950908;-14.075107;-14.086242;-2.683342;135.07896;0.61985564;4.518426e-07;3.0518312;-2.5484486;34.715343;0.99909973;0.3251953;0.0037140213;-14.0319;-14.042982;-2.6953986;50.1791;0.6397177;1.1222357e-06;133.51222;-0.7202784;-7.6776533;0.08153633;1.0;0.9981041;0.11425781;0.007554951;-14.198467;-14.208659;-3.7732735;132553.11;478.74683;5.649829e-10;0.99839115;0.109375;0.0067512505;-13.994712;-14.004555;-3.9266768;132.20398;1.3162794;4.5308832e-09;0.006783240198366999;7565.422276496887;1000000
