training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
182.06583,0.30772242,-9.822666,0.6177894,1.0,0.17773533,0.0009765625,1.1264839,0.5282433,0.5280767,0.69866514,55.153248,4.1077924,0.11282798,10.320931,-13.468209,231.18098,0.7402992,0.0,0.56520927,-0.44439685,-0.44436917,-0.47270203,32.06588,0.8973248,0.060543843,65.585915,-0.37629142,-9.757695,0.60154676,1.0,0.9803438,0.0,0.084001005,-5.0737624,-5.0732584,-5.588996,9.502436,0.12547585,1.6580738e-05,0.9815235,0.0009765625,0.05837465,-5.606468,-5.60596,-6.1269283,7.9186034,0.10217802,4.5120876e-05,0.009561907958984374,47.80954194068909,1
5.1522703,-0.6826422,-9.415961,0.5161133,1.0,0.99902344,0.09277344,0.0047790697,-30.550493,-30.576418,-4.0298657,0.71453047,0.02639566,9.190238e-07,0.10574598,-0.11696057,2.283774,0.9990244,0.09277344,0.0046390323,-31.61237,-31.639767,-3.5831628,1.4685392,0.04410215,1.2133312e-06,14.470429,-0.29381028,-9.439791,0.52207047,1.0,0.99902344,0.08300781,0.004824099,-30.00398,-30.029549,-3.8480895,0.4184677,0.029542748,5.463202e-06,0.99902344,0.091796875,0.004720589,-31.449497,-31.476542,-3.78405,1.033795,0.034721524,7.68042e-06,0.18599558062553406,977.7874464988708,5000
16.947144,-0.13610078,-9.360644,0.502284,1.0,0.99903774,0.18261719,0.004391088,-33.136284,-33.165394,-3.3522048,7.1282616,0.095542476,4.8230544e-07,0.3540082,-0.2955806,6.6829443,0.99904346,0.171875,0.0043155723,-29.925247,-29.951204,-3.3730035,8.932636,0.10554646,6.641732e-07,11.334452,-0.30715525,-9.350814,0.49982637,1.0,0.9990282,0.14648438,0.004445342,-32.947548,-32.976334,-3.4988437,5.9696193,0.08212029,7.4923136e-08,0.9990206,0.14257812,0.004395799,-29.547712,-29.573349,-3.3212724,8.938312,0.13767214,4.5385143e-08,0.188538783121109,1920.4813649654388,10000
7.5360656,-0.17083648,-9.371982,0.50511837,1.0,0.9990425,0.16015625,0.0043960987,-27.187096,-27.210232,-3.5214033,5.6306906,0.10768542,3.1209163e-07,0.06780614,-0.07950926,1.662257,0.9990425,0.15527344,0.0043691774,-24.592897,-24.613544,-3.4700546,6.0713906,0.11182892,1.0445574e-06,9.680438,-0.14044784,-9.310631,0.48978058,1.0,0.9990244,0.17675781,0.0043574777,-26.951103,-26.974188,-3.3336816,13.750329,0.1562018,9.966889e-08,0.9990225,0.17089844,0.004367587,-24.340687,-24.361238,-3.3162227,23.12181,0.17332956,1.5423159e-07,0.09363381237983703,2388.65042924881,15000
9.422535,-0.09908183,-9.356668,0.5012901,1.0,0.9990368,0.19335938,0.0043296022,-22.156715,-22.1751,-3.3506744,11.606525,0.17253265,1.8913191e-06,0.14729305,-0.15144525,2.4507499,0.9990444,0.19335938,0.0043125018,-20.50556,-20.522327,-3.3523736,13.425397,0.16949971,3.6183262e-06,9.599283,-0.09873767,-9.299322,0.48695323,1.0,0.99902153,0.203125,0.0043241465,-21.753395,-21.771402,-3.3347375,22.585436,0.20243603,6.3159578e-06,0.9990177,0.20800781,0.004319947,-20.05835,-20.074688,-3.3406253,28.51517,0.1906284,7.2460266e-06,0.00507692608833313,2414.0350608825684,20000
11.190411,-0.040750466,-9.3298435,0.4945839,1.0,0.99905205,0.21289062,0.0041745985,-18.563736,-18.578754,-3.1980488,20.625683,0.24500501,1.8900101e-06,0.11731185,-0.13375345,2.4566424,0.9990492,0.21289062,0.0041822856,-17.466469,-17.480354,-3.2643828,23.536041,0.21218641,1.4734751e-06,9.841793,-0.09500213,-9.325766,0.49356422,1.0,0.9990072,0.18847656,0.0042739213,-18.677628,-18.692755,-3.204185,11.639543,0.26260078,6.2433505e-06,0.999012,0.19238281,0.004265883,-17.568115,-17.582153,-3.2094326,19.124813,0.29311895,1.1657242e-05,0.10191920228004456,2923.6310756206512,25000
9.443519,-0.10446916,-9.274536,0.48075682,1.0,0.9990454,0.18261719,0.004265353,-16.487738,-16.500614,-3.3133156,22.312656,0.20546518,2.6355874e-05,0.1783059,-0.14758888,2.875864,0.99904156,0.18066406,0.004270037,-15.692212,-15.704307,-3.3194566,11.006331,0.19336171,4.071537e-05,10.436708,-0.09405775,-9.325167,0.49341452,1.0,0.9990082,0.19140625,0.0043120193,-16.535923,-16.54888,-3.2804575,38.35965,0.24995548,1.4022095e-05,0.99900913,0.1875,0.004324113,-15.746319,-15.75847,-3.3153934,21.446257,0.23074144,1.664392e-05,0.004422370147705078,2945.7429342269897,30000
10.484245,-0.12516677,-9.354503,0.50074863,1.0,0.99905014,0.20996094,0.004160407,-15.209431,-15.221189,-3.1799636,29.549116,0.3444373,1.5868256e-06,0.2145807,-0.20039341,4.535455,0.99905396,0.19238281,0.0041637113,-14.874474,-14.885913,-3.1723223,28.770874,0.29854217,7.0882647e-06,11.296142,-0.1052629,-9.305991,0.48862076,1.0,0.9990244,0.19726562,0.0042486214,-15.395484,-15.407504,-3.0986755,43.369793,0.49002114,2.1148223e-06,0.99902153,0.20996094,0.0042581502,-15.094555,-15.106251,-3.1297088,39.831696,0.47884306,2.010417e-06,0.11141562123298646,3502.821042060852,35000
11.680596,-0.11121005,-9.325189,0.49342015,1.0,0.999053,0.21484375,0.004162809,-14.927369,-14.938822,-3.2110958,206.37498,0.53708863,7.4346644e-05,0.5100239,-0.39854565,6.9499755,0.99905396,0.21386719,0.004155753,-14.808477,-14.819823,-3.2016969,157.13136,0.5885707,9.8339464e-05,12.434301,-0.11437549,-9.283846,0.4830845,1.0,0.9990301,0.19726562,0.0042362316,-15.029979,-15.041589,-3.154004,44.81877,0.39564842,2.2893226e-05,0.9990282,0.19628906,0.0042278445,-14.857662,-14.869105,-3.15252,17.189371,0.29664326,1.5456362e-05,0.00441443362236023,3524.8932116031647,40000
11.037928,-0.12458354,-9.318696,0.49179685,1.0,0.9990492,0.22265625,0.004137516,-14.766563,-14.77792,-3.1510096,124.93274,0.4622268,1.9028537e-05,0.24538764,-0.47398794,5.159418,0.99904823,0.20410156,0.004146563,-14.657309,-14.668557,-3.1502948,103.39844,0.50019246,1.1798254e-05,11.918841,-0.123748496,-9.300695,0.48729664,1.0,0.9990263,0.22363281,0.0042354595,-15.070893,-15.082483,-3.213407,338.02768,1.0326462,2.6967274e-07,0.9990244,0.20019531,0.0042361207,-14.990851,-15.002354,-3.223262,78.68284,0.77240336,2.6371734e-07,0.11258513298034668,4087.818880558014,45000
