training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/critic/binary_accuracy;training/critic/categorical_accuracy;training/critic/contrastive_loss;training/critic/logits;training/critic/logits_neg;training/critic/logits_pos;training/critic/v_max;training/critic/v_mean;training/critic/v_min;training/grad/max;training/grad/min;training/grad/norm;training/value/binary_accuracy;training/value/categorical_accuracy;training/value/contrastive_loss;training/value/logits;training/value/logits_neg;training/value/logits_pos;training/value/v_max;training/value/v_mean;training/value/v_min;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/critic/binary_accuracy;validation/critic/categorical_accuracy;validation/critic/contrastive_loss;validation/critic/logits;validation/critic/logits_neg;validation/critic/logits_pos;validation/critic/v_max;validation/critic/v_mean;validation/critic/v_min;validation/value/binary_accuracy;validation/value/categorical_accuracy;validation/value/contrastive_loss;validation/value/logits;validation/value/logits_neg;validation/value/logits_pos;validation/value/v_max;validation/value/v_mean;validation/value/v_min;time/epoch_time;time/total_time;step
19.542477;-0.8916855;-9.419123;0.51690376;1.0;0.8450556;0.0009765625;0.45643955;-0.82272077;-0.8226234;-0.9223624;22.785648;0.7865199;0.031242313;1.3421589;-1.6179188;85.281395;0.7001419;0.0;0.5859697;-0.3615952;-0.3615568;-0.40090317;9.114322;0.8379061;0.103766;11.778757;-0.7840622;-9.307823;0.4890788;1.0;0.9965906;0.001953125;0.023286358;-6.879949;-6.879827;-7.004731;3.9755266;0.03410275;8.3915775e-06;0.99734116;0.0;0.024117082;-6.4468346;-6.4466195;-6.666665;1.8516945;0.031818938;1.155983e-05;0.0005516434909726383;61.293663024902344;1
37.511593;-0.28652376;-7.648698;0.07429746;1.0;0.999074;0.22753906;0.004658484;-10.970076;-10.977207;-3.6742764;23.971453;0.4120009;1.5242754e-06;1.0820333;-0.87951136;16.319;0.99907684;0.20996094;0.0047116056;-10.958144;-10.9651985;-3.7415886;37.16484;0.4223603;3.7933767e-06;70.17567;-0.23242213;-7.688842;0.08433336;1.0;0.99853325;0.11328125;0.0061681736;-10.757224;-10.76372;-4.112217;166.66667;0.64599216;3.0855997e-06;0.9986782;0.10839844;0.0058643753;-10.767121;-10.7734585;-4.284995;8.922562;0.21333162;9.01875e-09;0.011710374892681182;1362.4451305866241;111112
32.803875;-0.36953872;-7.625868;0.06858979;1.0;0.9990921;0.27539062;0.004457111;-11.449291;-11.457117;-3.442082;37.08289;0.4966885;7.8654575e-06;1.0159931;-1.0635526;15.320775;0.99909115;0.25097656;0.004483127;-11.373046;-11.38081;-3.4310913;38.37569;0.58177316;2.5296074e-06;74.86319;-0.34803402;-7.6698785;0.079592526;1.0;0.9988375;0.10546875;0.0060369023;-10.755922;-10.761924;-4.616683;68.274086;0.2820957;1.1012047e-08;0.9988594;0.1015625;0.00600895;-10.678795;-10.684552;-4.7878695;6.739553;0.127475;3.495352e-08;0.007449131080370017;2190.1255388259888;222223
48.324093;-0.4274897;-7.5936747;0.06054156;1.0;0.9990864;0.2626953;0.0044814805;-11.543419;-11.5513735;-3.4056664;355.083;0.7489345;5.3994063e-07;1.2057809;-1.5281265;20.998163;0.99907684;0.24707031;0.0045256806;-11.482161;-11.4900055;-3.4565024;132.79979;0.6053524;2.03871e-06;85.20015;-0.31717312;-7.6819696;0.0826154;1.0;0.99876595;0.11621094;0.0062004915;-11.251308;-11.257908;-4.5003114;124.4354;0.5742475;9.448036e-09;0.9989033;0.10449219;0.0059728525;-11.237184;-11.24351;-4.7648964;74.10587;0.2463128;4.8404166e-07;0.006995445554739302;2967.396492242813;333334
47.71138;-0.45420086;-7.592779;0.060317785;1.0;0.9990988;0.27929688;0.004443812;-11.823723;-11.831931;-3.427854;80.55375;0.6225826;3.6644672e-06;1.1408175;-0.9596004;19.190897;0.9990902;0.26464844;0.004434402;-11.724922;-11.733079;-3.3814855;113.24874;0.7097099;8.437431e-06;84.467995;-0.44516337;-7.700284;0.08719392;1.0;0.9988165;0.115234375;0.0060107475;-11.003887;-11.01009;-4.6578245;56.02662;0.37882182;3.0968455e-12;0.99887276;0.099609375;0.0063046846;-10.920114;-10.926151;-4.7446566;1281.9932;10.069798;1.3796645e-11;0.007068882118473183;3752.82705616951;444445
39.970222;-0.47571695;-7.6058397;0.06358288;1.0;0.9990978;0.2919922;0.0045179278;-11.862225;-11.870404;-3.4949718;644.73517;0.90811473;9.1249916e-07;1.057513;-0.7208582;14.731277;0.9990854;0.26464844;0.004530036;-11.827467;-11.83563;-3.476861;49.512775;0.565845;4.7925596e-07;87.61796;-0.66971344;-7.6834188;0.08297759;1.0;0.9988985;0.10449219;0.006035823;-11.148497;-11.15484;-4.6604247;254.53935;0.7407575;8.582377e-09;0.99878883;0.09277344;0.007347965;-11.200357;-11.206763;-4.6483135;32589.785;377.2664;1.5909859e-07;0.0069896754736480235;4529.456890106201;555556
53.95941;-0.4670545;-7.5756817;0.056043424;1.0;0.99911594;0.2998047;0.004375864;-12.292303;-12.30106;-3.3348374;28.286222;0.6260281;3.1097335e-07;4.378742;-2.122305;31.953596;0.99910545;0.27539062;0.0044190977;-12.232601;-12.2412405;-3.3946605;76.60042;0.624819;2.7989256e-06;84.58125;-0.52293277;-7.6805944;0.082271606;1.0;0.9988308;0.11230469;0.0062207677;-11.306563;-11.312933;-4.789444;260.3977;0.67860425;4.296968e-13;0.9988575;0.08886719;0.0061563435;-11.297089;-11.303359;-4.883318;29.687134;0.32373178;2.5247315e-10;0.006986335504249323;5305.715618610382;666667
40.321438;-0.502168;-7.584325;0.05820405;1.0;0.99911785;0.31347656;0.0042787953;-12.35482;-12.3637085;-3.2620826;31.756248;0.6479121;9.005596e-06;1.6276546;-1.6792996;24.063835;0.99910927;0.3046875;0.0042907726;-12.331965;-12.340844;-3.24852;22.911043;0.6812315;4.8636252e-06;78.878105;-0.63043416;-7.6657586;0.078562565;1.0;0.99878407;0.11230469;0.006298213;-11.347253;-11.353776;-4.6741714;1117.3999;1.4363216;4.4523167e-09;0.9987335;0.08496094;0.006109575;-11.319332;-11.325762;-4.7429056;16.13066;0.14921777;2.5065777e-08;0.006957868228057514;6078.811318397522;777778
54.521408;-0.4293722;-7.5850315;0.05838082;1.0;0.9991331;0.30664062;0.004341361;-12.225971;-12.2347355;-3.2586517;37.07122;0.7514356;3.1434283e-06;1.233784;-1.2331737;20.2658;0.9991102;0.28320312;0.0043581864;-12.175279;-12.184003;-3.2506733;47.41618;0.78800565;9.786862e-06;83.02273;-0.5548506;-7.667726;0.07905459;1.0;0.99885654;0.10644531;0.0062982165;-11.273512;-11.279828;-4.8118696;16751.371;11.586971;4.8632574e-12;0.9988966;0.08496094;0.0060958154;-11.282515;-11.288675;-4.9806175;12.717206;0.107049495;1.1164743e-08;0.007046403345527109;6861.744244098663;888889
59.92382;-0.47147748;-7.5717344;0.055056557;1.0;0.9991169;0.296875;0.0042990455;-12.195495;-12.204263;-3.225451;314.12817;0.7174373;1.7255516e-05;3.7053292;-1.7299509;29.09175;0.9991083;0.26660156;0.0043332907;-12.127792;-12.136471;-3.24999;74.02496;0.659058;1.3178596e-05;78.895226;-0.5806343;-7.679124;0.08190398;1.0;0.9988041;0.11035156;0.006240932;-11.335514;-11.3420105;-4.690122;638.53656;0.94457;3.0094796e-10;0.9989128;0.09082031;0.005974891;-11.285999;-11.29231;-4.830453;13.200262;0.13363558;4.1135653e-10;0.0069263554185009565;7631.338524580002;1000000
