training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
16.62762,-1.1584579,-9.37832,0.5067029,1.0,0.8675623,0.0,0.42134762,-0.94697016,-0.9468158,-1.1048939,18.89192,0.67687666,0.01709007,0.79349154,-0.70815545,75.12045,0.67626953,0.0009765625,0.60279566,-0.329113,-0.3290634,-0.3799261,9.343562,0.8653724,0.04277878,19.881107,-0.7625207,-9.277222,0.48142833,1.0,0.9892807,0.0009765625,0.048192512,-6.7411566,-6.740844,-7.061075,8.715756,0.09351055,6.7358806e-06,0.9856949,0.0,0.051819313,-6.1858153,-6.18534,-6.672187,4.3200235,0.07831399,9.895638e-06,0.009794019317626954,48.97009897232056,1
9.750561,-0.27987695,-7.9276876,0.14404486,1.0,0.99902344,0.072265625,0.0054891733,-15.585905,-15.5966625,-4.5811296,2.157095,0.024059253,3.4099455e-07,0.30329955,-0.2307317,5.7377515,0.99902344,0.0546875,0.0056300675,-14.8964615,-14.906528,-4.5961475,0.35149845,0.019083261,1.1085965e-06,18.149738,-0.009517554,-7.9406214,0.14727834,1.0,0.99902344,0.060546875,0.005547572,-15.435838,-15.446471,-4.5586557,6.78343,0.042225745,2.6335116e-09,0.99902344,0.045898438,0.005601027,-14.9527855,-14.9626875,-4.823731,0.5788728,0.016924424,6.566407e-09,0.17326010522842408,915.2706265449524,5000
22.717804,-0.1850152,-7.885859,0.13358776,1.0,0.9990349,0.11035156,0.0049409387,-15.200552,-15.2115,-4.001235,8.950928,0.07580759,1.2553285e-05,0.82378113,-0.82988507,17.299911,0.99903584,0.091796875,0.0050167507,-14.809147,-14.819636,-4.0776052,9.83991,0.08442964,2.3652283e-05,21.248962,-0.14252321,-7.8639145,0.12810142,1.0,0.9990225,0.08691406,0.0050211567,-15.315966,-15.326995,-4.033479,11.676514,0.087566644,2.0380132e-05,0.9990158,0.072265625,0.0050634393,-14.848633,-14.859133,-4.107299,10.010396,0.07648878,5.9342863e-05,0.18670732851028443,1848.8072707653046,10000
24.78898,-0.16658285,-7.7912054,0.10992429,1.0,0.9990387,0.14257812,0.004563533,-15.012305,-15.023441,-3.6201406,25.479471,0.1811769,2.9065628e-05,1.6623433,-1.1891121,19.4678,0.9990368,0.12597656,0.0046444237,-14.692553,-14.703318,-3.680568,13.643036,0.17285945,6.0429906e-05,27.499716,-0.16250227,-7.799307,0.11194971,1.0,0.99901867,0.109375,0.0048116175,-15.03955,-15.050521,-3.8167436,459.2741,0.34598124,1.8497785e-05,0.99901867,0.109375,0.0048812786,-14.7169485,-14.727511,-3.9101393,88.39015,0.2420692,7.87314e-05,0.09301361842155456,2313.8753666877747,15000
23.518982,-0.24265161,-7.7738237,0.105578914,1.0,0.9990406,0.15039062,0.0044204555,-14.916706,-14.927881,-3.483786,22.860483,0.15762526,0.00017226259,0.72825277,-0.6712399,13.166711,0.9990387,0.13867188,0.0044795168,-14.723078,-14.734045,-3.5047603,13.034308,0.1457293,0.00021143848,35.06293,-0.15831807,-7.741927,0.09760471,1.0,0.99897957,0.10546875,0.0048134765,-14.844327,-14.855313,-3.6055267,102.01255,0.3084537,9.076618e-06,0.99898434,0.10449219,0.0048442557,-14.681692,-14.6924715,-3.653379,29.415892,0.25668436,2.3650906e-05,0.010791713905334472,2367.8339376449585,20000
36.97852,-0.18611254,-7.733488,0.09549503,1.0,0.99903774,0.17578125,0.0043195784,-14.943052,-14.954352,-3.3825946,54.625805,0.23765862,3.251767e-05,2.7786372,-2.2315948,27.789093,0.9990406,0.15332031,0.0043874616,-14.801459,-14.812552,-3.453177,30.910418,0.21729189,9.346598e-05,35.80339,-0.15592243,-7.71947,0.091990545,1.0,0.99901295,0.12890625,0.004769603,-14.898683,-14.909497,-3.835174,198.65332,0.26609403,0.00011508567,0.99901295,0.11035156,0.0048474097,-14.760119,-14.770696,-3.9396932,9.008854,0.1201131,0.00013621505,0.10227484278678894,2879.208154439926,25000
27.60762,-0.28888786,-7.728408,0.094225004,1.0,0.99904156,0.2109375,0.004175629,-14.934858,-14.946251,-3.2804286,54.109444,0.3047358,9.679298e-05,1.7448661,-1.4642968,18.38976,0.9990444,0.1484375,0.0042807674,-14.851804,-14.86305,-3.3464537,43.141994,0.34356964,6.2288666e-05,35.36895,-0.23895161,-7.7150383,0.09088262,1.0,0.9990196,0.12695312,0.0047321953,-14.908991,-14.919935,-3.7115464,25.72649,0.22582737,8.909379e-05,0.9990177,0.115234375,0.004766738,-14.858713,-14.869552,-3.7708392,20.197569,0.1970674,6.284765e-05,0.007699323272705078,2917.7047736644745,30000
30.092297,-0.36224288,-7.714633,0.09078121,1.0,0.99904156,0.20410156,0.004097736,-15.100345,-15.1120205,-3.1563764,56.149033,0.32674885,0.00018699392,0.8251576,-1.0570521,16.171173,0.99903965,0.17773438,0.004167053,-14.891529,-14.902992,-3.165438,88.14254,0.4453619,0.0003370725,37.63989,-0.2854329,-7.6957297,0.08605545,1.0,0.9989977,0.11230469,0.004807174,-15.045597,-15.056658,-3.7318852,193.3677,0.53599524,8.578053e-06,0.9989929,0.103515625,0.0048281043,-14.823011,-14.833841,-3.7429972,12.892917,0.14836149,2.9628634e-05,0.1164848503112793,3500.1290278434753,35000
38.165833,-0.25900024,-7.7040405,0.08813305,1.0,0.9990568,0.22460938,0.0040400364,-15.171135,-15.183095,-2.936548,152.9003,0.63438106,5.9234135e-05,1.2639401,-1.1890651,20.49831,0.9990463,0.19140625,0.004102952,-15.065581,-15.077355,-3.020341,38.84749,0.5490603,0.000109127934,40.743484,-0.26356527,-7.703453,0.08798626,1.0,0.9990072,0.11621094,0.0048106126,-15.076289,-15.087447,-3.6621428,338.93472,0.7252185,5.549002e-06,0.9989958,0.11425781,0.00478061,-15.022015,-15.033089,-3.6935909,62.98203,0.28549594,1.3910533e-05,0.007831809329986573,3539.2880761623383,40000
40.925682,-0.33778363,-7.6791587,0.08191264,1.0,0.99903965,0.23535156,0.004012529,-15.312227,-15.324188,-3.0759268,72.08256,0.4009832,0.00015899295,2.05633,-2.3970368,25.300438,0.999033,0.1953125,0.0041014133,-15.176347,-15.188085,-3.1689844,58.537735,0.37114817,0.00020647197,59.02529,-0.23767388,-7.7034936,0.08799637,1.0,0.9990063,0.12988281,0.004746342,-15.154503,-15.165651,-3.7515268,130.7886,0.45259756,5.295243e-06,0.9990063,0.109375,0.00480984,-15.021961,-15.032861,-3.872912,15.861798,0.14839256,9.7181955e-06,0.11492792477607727,4113.927702903748,45000
