training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
51.463486,-1.3451033,-9.825006,0.61837435,1.0,0.48868275,0.0,0.8194812,0.016148685,0.016312806,-0.15174685,17.880535,1.4493194,0.026941136,2.6245422,-1.5667002,111.87329,0.3644333,0.0009765625,0.9733813,0.32569367,0.32544607,0.57897455,22.465332,2.8112354,0.035554662,46.349297,-0.96322626,-9.747235,0.5989318,1.0,0.965024,0.0009765625,0.11419816,-4.745126,-4.744483,-5.4030447,14.130161,0.1947005,7.487478e-06,0.9758997,0.0,0.081909284,-4.60015,-4.5998664,-4.890375,6.5703206,0.15132913,7.6040946e-05,0.01251488151550293,62.5744092464447,1
19.127651,-0.3312555,-9.376841,0.5063333,1.0,0.9990244,0.068359375,0.0051305536,-25.409172,-25.429739,-4.3699856,1.6760246,0.02436586,7.768697e-07,0.48025113,-0.5064397,8.179296,0.99902344,0.05078125,0.005333674,-20.59544,-20.611383,-4.284379,0.6556174,0.01818391,4.6456416e-06,85.829056,0.15056482,-9.381267,0.5074397,1.0,0.99902534,0.072265625,0.0052045025,-25.14689,-25.167456,-4.110566,1.7388015,0.030603591,9.809808e-07,0.99902344,0.0390625,0.005362634,-20.916145,-20.93215,-4.5413365,0.28108314,0.014052201,2.8377568e-05,0.24028288855552674,1263.9888546466827,5000
10.212218,-0.15070364,-9.302313,0.4877013,1.0,0.99903107,0.119140625,0.0049009956,-19.677372,-19.692722,-3.9764085,4.0029755,0.0548674,6.0690004e-06,0.34360236,-0.42083794,5.310527,0.9990282,0.103515625,0.0049309763,-23.544186,-23.563377,-3.9093661,3.1703658,0.061574724,5.4151683e-06,14.210788,-0.038385127,-9.371615,0.5050269,1.0,0.9990206,0.12109375,0.0049308296,-19.612434,-19.627678,-4.0181866,7.813574,0.07032119,3.7450457e-07,0.9990206,0.10839844,0.004965448,-23.455206,-23.474142,-4.0849347,5.0601673,0.06819733,1.5856145e-07,0.25049282732009887,2516.4529962539673,10000
11.352125,-0.117028296,-9.384739,0.5083078,1.0,0.99903965,0.14648438,0.004835516,-15.172282,-15.183306,-3.894913,10.662794,0.10240275,1.4828261e-07,0.22651424,-0.19367707,3.9742248,0.9990368,0.14453125,0.004855334,-16.859005,-16.87172,-3.8524396,5.857891,0.10011872,1.3745272e-07,14.707372,-0.0084924875,-9.321574,0.49251643,1.0,0.99902344,0.107421875,0.0050016013,-14.921661,-14.932361,-3.9759245,53.039326,0.1594023,3.8814455e-06,0.9990225,0.099609375,0.005002903,-16.69732,-16.709675,-4.059123,19.375368,0.10981869,1.7650264e-06,0.15252737908363342,3279.0898942947388,15000
10.057742,-0.08319341,-9.321999,0.49262267,1.0,0.99904346,0.14453125,0.004777036,-13.327667,-13.336951,-3.828764,26.40858,0.1886019,1.4306608e-05,0.1217402,-0.07231021,2.3289366,0.9990406,0.15234375,0.004794943,-13.722166,-13.731809,-3.8564827,19.79783,0.1879273,1.0350156e-05,10.544554,-0.08467899,-9.369179,0.50441766,1.0,0.99901867,0.15625,0.0047852807,-13.456097,-13.465531,-3.8042355,16.54214,0.2125561,1.32879495e-05,0.9990225,0.13671875,0.0047924034,-13.895607,-13.90545,-3.8261063,18.732101,0.20197365,1.3773708e-05,0.017775615406036376,3367.9679725170135,20000
8.687586,-0.12291833,-9.325614,0.49352646,1.0,0.9990473,0.15429688,0.004779939,-13.060558,-13.069533,-3.8785572,31.84064,0.17087035,1.711898e-05,0.074388236,-0.06738523,1.5898339,0.9990473,0.14453125,0.0047990107,-13.250635,-13.259816,-3.8593717,21.046633,0.18636732,1.9248837e-05,10.030488,-0.096751094,-9.325876,0.493592,1.0,0.99904156,0.15429688,0.0048785256,-13.138769,-13.147718,-3.983549,56.12146,0.25638485,7.334511e-06,0.99903965,0.13085938,0.0048948186,-13.34998,-13.3591175,-4.003158,26.047817,0.28657696,1.4677257e-05,0.16191595635414124,4177.547755718231,25000
11.145905,-0.070128,-9.300365,0.48721427,1.0,0.9990473,0.13574219,0.004734511,-13.035915,-13.044953,-3.7903848,48.27713,0.28408217,6.872918e-05,0.085181884,-0.09393857,2.1104712,0.9990444,0.140625,0.0047479193,-13.194856,-13.204007,-3.833065,39.951126,0.33904332,6.939201e-05,12.029781,-0.106135994,-9.351293,0.49994603,1.0,0.9990339,0.14746094,0.0048149666,-12.948479,-12.957443,-3.7775855,113.72902,0.42008126,3.617417e-05,0.99903107,0.140625,0.004828476,-13.079472,-13.088547,-3.7955203,145.51004,0.41191345,4.292914e-05,0.015238413524627686,4253.7398245334625,30000
9.664574,-0.15116774,-9.357742,0.50155866,1.0,0.99905396,0.16894531,0.0047437055,-13.119084,-13.128232,-3.7617788,52.59054,0.29156715,1.203749e-06,0.099101946,-0.1292419,2.3652906,0.99905396,0.1640625,0.004743048,-13.188417,-13.197647,-3.746566,45.04111,0.33245146,2.5406346e-06,8.590481,-0.19156048,-9.347,0.49887305,1.0,0.9990177,0.15820312,0.004729871,-13.074997,-13.084134,-3.7273428,269.33923,0.50197893,3.5809355e-06,0.9990139,0.15234375,0.0047463654,-13.1363535,-13.145608,-3.669019,165.75761,0.5570402,2.6455532e-06,0.16137817373275756,5060.630695819855,35000
11.260172,-0.1362473,-9.295097,0.48589718,1.0,0.99905205,0.17285156,0.004751318,-13.362835,-13.372224,-3.7577872,42.054745,0.34238076,8.023662e-05,0.2744868,-0.19409372,4.365457,0.99905396,0.16308594,0.0047429,-13.468303,-13.477813,-3.7396898,45.63391,0.38561615,0.0001369186,12.458454,-0.13554963,-9.3601885,0.50216985,1.0,0.9990263,0.15527344,0.004811649,-13.202903,-13.212108,-3.7865252,133.6337,0.4163135,6.5367734e-05,0.9990263,0.13671875,0.004825193,-13.32798,-13.337304,-3.7893276,164.92183,0.5959103,4.6796562e-05,0.01594125280380249,5140.33696103096,40000
16.063805,-0.10323354,-9.365387,0.5034696,1.0,0.9990463,0.18164062,0.0046408987,-13.352032,-13.3615055,-3.660614,40.92519,0.33826143,8.79351e-06,0.4348611,-0.3465136,7.1781206,0.9990454,0.16992188,0.0046517523,-13.448499,-13.4580145,-3.7126865,47.784992,0.36968502,3.8206754e-06,14.250144,-0.115869895,-9.343245,0.497934,1.0,0.99902344,0.16699219,0.0048405817,-13.305919,-13.315198,-3.813856,195.4163,0.85514057,3.9904073e-05,0.99902725,0.16210938,0.0048584426,-13.32757,-13.336841,-3.842836,178.90558,0.8703704,4.7866262e-05,0.15986922578811646,5939.683091163635,45000
