training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
190.62392,0.19854224,-9.370842,0.50483334,1.0,0.4267702,0.0009765625,0.8368448,0.09936697,0.099319786,0.14763747,16.156233,1.6409688,0.02047965,9.862077,-8.61839,182.72562,0.74282837,0.0,0.53166246,-0.574823,-0.5748253,-0.5724622,11.733717,0.9072659,0.058189843,115.97146,0.165532,-9.262372,0.47771588,1.0,0.9841461,0.0,0.056717046,-5.508393,-5.5081935,-5.7121515,5.5003767,0.0722554,3.6858175e-05,0.9836149,0.0009765625,0.046833523,-6.045506,-6.045286,-6.2703924,3.8106618,0.054787774,2.4571576e-05,0.013377107906341553,66.88554167747498,1
15.178471,-0.14956161,-8.06403,0.17813042,1.0,0.9990349,0.095703125,0.0060313004,-9.298734,-9.302895,-5.041045,4.092898,0.10352303,1.8027329e-06,0.276968,-0.20483649,6.7614803,0.9990349,0.10058594,0.00600731,-9.228384,-9.23246,-5.059462,6.079403,0.14257213,1.3800919e-06,10.290326,-0.23571706,-8.083646,0.18303445,1.0,0.99885654,0.049804688,0.006342518,-9.226492,-9.2306185,-5.005021,15.583828,0.11892938,1.9673745e-07,0.99879074,0.047851562,0.0065053995,-9.073577,-9.077575,-4.983062,7.2571507,0.18563199,7.402762e-07,0.2551680900096893,1342.725992679596,5000
14.665543,-0.18457058,-8.035231,0.17093071,1.0,0.99904823,0.125,0.0056620203,-9.451069,-9.455609,-4.8075895,8.714263,0.1629959,1.5775602e-05,0.23473832,-0.31279486,6.230215,0.9990463,0.12207031,0.005666172,-9.294935,-9.299314,-4.8159842,11.11794,0.14586067,1.1787075e-05,17.780811,-0.18861972,-8.055616,0.17602697,1.0,0.9986429,0.07714844,0.0063129747,-9.299513,-9.304057,-4.6496644,28.620907,0.30839866,1.0632296e-05,0.9985552,0.072265625,0.006468619,-9.143027,-9.147391,-4.677992,31.845299,0.48839015,2.514492e-05,0.26257934284210205,2655.622708797455,10000
25.733616,-0.18698159,-7.9825516,0.15776074,1.0,0.99906063,0.13867188,0.00557617,-9.383546,-9.388089,-4.735363,20.90925,0.22976363,1.4815808e-05,0.72063375,-0.7681032,15.672829,0.9990587,0.13769531,0.0056050965,-9.2858925,-9.29033,-4.7459497,14.05678,0.24237916,1.6403626e-05,21.062946,-0.19963445,-8.022649,0.1677852,1.0,0.9986391,0.087890625,0.006134643,-9.295786,-9.300478,-4.4970503,23.00497,0.33697712,2.0775663e-06,0.99868107,0.07421875,0.006310055,-9.181541,-9.186058,-4.5612803,29.990671,0.4960668,6.391121e-06,0.14433284845352173,3377.286952495575,15000
32.352295,-0.17738047,-7.967846,0.15408441,1.0,0.99905777,0.16015625,0.0054533384,-9.47057,-9.47544,-4.4882593,41.57939,0.310965,2.4635058e-06,1.1571782,-0.6675416,19.795218,0.9990549,0.14550781,0.005508489,-9.385248,-9.38997,-4.5545754,28.470295,0.31897867,5.597982e-06,25.900778,-0.22582136,-8.008804,0.16432391,1.0,0.9987421,0.09472656,0.0061415676,-9.211145,-9.215752,-4.498636,95.31562,0.5184401,5.882481e-07,0.99870586,0.08300781,0.006378681,-9.112906,-9.117399,-4.5171556,49.164913,0.8782908,1.1025015e-06,0.01738396759033203,3464.2068133354187,20000
33.802208,-0.16150358,-7.957075,0.15139171,1.0,0.9990444,0.1640625,0.005384216,-9.571632,-9.576699,-4.389121,32.3198,0.33233356,1.5891768e-05,0.9857209,-0.9300644,17.691078,0.99904156,0.14453125,0.0054489183,-9.380068,-9.384859,-4.478241,12.2848625,0.26240665,2.1397687e-05,25.655415,-0.23527423,-7.9715567,0.15501216,1.0,0.99871254,0.1015625,0.006120031,-9.4374275,-9.442313,-4.4402905,46.835815,0.50992143,4.673602e-06,0.99875546,0.099609375,0.0062434715,-9.260756,-9.2654505,-4.457544,166.41867,0.8309697,7.910178e-06,0.15675343623161317,4247.973997592926,25000
25.781206,-0.20185989,-7.918379,0.14171773,1.0,0.99905396,0.16992188,0.005308105,-9.5163765,-9.521432,-4.344516,34.1915,0.26247737,2.5598933e-05,1.025243,-0.7093826,15.965672,0.9990511,0.16796875,0.0053922576,-9.350076,-9.3548765,-4.437206,118.03501,0.3513012,1.27928215e-05,32.184967,-0.24598105,-7.9697914,0.15457092,1.0,0.9988165,0.1171875,0.005994728,-9.381532,-9.386385,-4.4168577,55.306442,0.38240075,2.3369203e-06,0.9987974,0.103515625,0.0061347913,-9.220909,-9.225591,-4.4313917,52.512,0.49173465,5.534632e-06,0.00960853123664856,4296.016655445099,30000
28.969967,-0.16910246,-7.911258,0.13993749,1.0,0.9990492,0.18261719,0.005325077,-9.741579,-9.746796,-4.405732,12.386035,0.22951534,2.4779117e-06,0.8373999,-0.71845824,14.846685,0.99905014,0.15820312,0.005388298,-9.562256,-9.567214,-4.48946,9.308371,0.21315154,3.6455956e-06,33.620056,-0.21192482,-7.9222646,0.14268914,1.0,0.9987078,0.11816406,0.0059664557,-9.651398,-9.656485,-4.446076,45.20258,0.331738,3.0279003e-07,0.9987068,0.11621094,0.006056579,-9.473974,-9.4788475,-4.488819,22.878885,0.32803154,6.065962e-06,0.16275029544830322,5109.768136262894,35000
32.89027,-0.21907136,-7.9295425,0.14450866,1.0,0.9990654,0.1796875,0.005220942,-9.813677,-9.819089,-4.2767577,123.67387,0.46202528,5.5472133e-06,0.7738252,-0.6301072,13.88405,0.9990597,0.16992188,0.005264432,-9.585052,-9.590208,-4.3095574,99.212425,0.4567869,6.4778455e-06,30.926338,-0.29271734,-7.97737,0.15646544,1.0,0.99875355,0.111328125,0.0060940506,-9.620277,-9.625143,-4.642956,134.69176,0.6351284,5.709887e-07,0.9988127,0.09667969,0.0062639946,-9.424143,-9.428795,-4.6659727,233.09155,1.8208597,4.3828473e-07,0.011913805770874024,5169.337166547775,40000
32.48609,-0.27717963,-7.912608,0.140275,1.0,0.99906254,0.1796875,0.0051666335,-10.004304,-10.009998,-4.179282,173.84142,0.48532075,4.968044e-06,1.2748355,-0.7357862,18.43478,0.9990635,0.18554688,0.005212926,-9.802293,-9.807778,-4.1912327,174.64627,0.6817535,1.1132726e-05,39.045086,-0.31999743,-7.9478254,0.1490793,1.0,0.99859905,0.11621094,0.0064487746,-9.831789,-9.837059,-4.4397964,208.55869,0.704103,4.0992148e-07,0.99858284,0.10839844,0.0065411045,-9.641279,-9.646395,-4.407989,100.406,0.87567234,3.8883977e-07,0.15584249048233031,5948.54962015152,45000
