training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
195.4678,0.23279893,-9.504301,0.5381981,1.0,0.41694832,0.0009765625,0.84181124,0.1116009,0.111535065,0.17894374,23.510708,1.6569433,0.05214659,9.470378,-7.707672,190.08937,0.7132883,0.0009765625,0.5600623,-0.49439734,-0.4943959,-0.49586987,9.953559,0.9338617,0.06394893,114.20626,0.043217633,-9.415536,0.51600695,1.0,0.98050404,0.0009765625,0.075465485,-5.0785017,-5.07817,-5.4177084,42.501034,0.13075195,4.0577026e-05,0.97979164,0.0,0.059353374,-5.6003113,-5.6000137,-5.90493,11.651907,0.107270285,3.5617824e-05,0.010466509675979615,52.332550287246704,1
14.599503,-0.21382216,-8.571346,0.30495948,1.0,0.999033,0.091796875,0.0054786056,-12.8378105,-12.84585,-4.614208,5.818494,0.0440329,5.1928335e-08,0.45295894,-0.2385517,7.5055995,0.999032,0.08886719,0.00542709,-12.657207,-12.665099,-4.5836086,3.300461,0.04685261,6.935343e-07,14.888966,-0.23835239,-8.557789,0.30157018,1.0,0.99901104,0.057617188,0.0056052324,-12.597602,-12.605322,-4.7004786,8.821509,0.046889693,3.5168267e-07,0.9990139,0.07910156,0.0055495463,-12.429819,-12.437435,-4.6388464,3.5820591,0.044575498,5.388054e-07,0.19471800966262817,1025.922600030899,5000
25.450905,-0.13307524,-8.509525,0.2895044,1.0,0.9990349,0.12207031,0.004976332,-12.900173,-12.908772,-4.102514,5.994017,0.06696436,2.879479e-06,0.455532,-0.48037028,12.071388,0.99903774,0.12792969,0.0050127953,-12.8071575,-12.815592,-4.179473,5.9020586,0.07773842,7.291856e-06,28.626226,-0.15395564,-8.550229,0.2996804,1.0,0.9990263,0.12890625,0.005113087,-12.625553,-12.633836,-4.1509385,7.452453,0.06880842,5.569355e-06,0.99902916,0.115234375,0.005152789,-12.59153,-12.599724,-4.209619,22.25949,0.09753474,1.0673533e-05,0.20299464020729066,2040.8958027362823,10000
39.89588,-0.0765211,-8.481491,0.2824958,1.0,0.9990387,0.140625,0.004716154,-13.143958,-13.153149,-3.74213,10.376389,0.1539113,1.2636162e-05,0.6760046,-0.60563827,19.1879,0.9990387,0.140625,0.0048491145,-12.737394,-12.746048,-3.8863268,17.439432,0.16706172,9.5441e-06,39.289494,-0.18711284,-8.476884,0.28134388,1.0,0.99902344,0.140625,0.004817897,-13.037874,-13.046885,-3.8198476,42.178978,0.18059865,7.4345257e-06,0.9990244,0.13183594,0.0049123373,-12.619708,-12.628288,-3.8424385,24.20014,0.20949528,8.8152524e-07,0.11414702095985413,2611.63090968132,15000
36.590225,-0.16557401,-8.469822,0.27957833,1.0,0.999033,0.15332031,0.004646382,-13.003401,-13.012578,-3.6162694,33.002125,0.1736065,3.8282236e-05,0.7520457,-1.0039366,18.955242,0.999032,0.13964844,0.00473448,-12.590956,-12.59963,-3.7175257,44.81015,0.22946084,5.902605e-05,36.14891,-0.18048838,-8.441549,0.2725103,1.0,0.9990244,0.14355469,0.004807049,-13.031818,-13.040849,-3.7941365,32.3665,0.17796661,3.4836148e-06,0.9990225,0.13183594,0.00484923,-12.675974,-12.684618,-3.8322802,51.9876,0.2901953,7.156959e-06,0.006247457790374756,2642.868200778961,20000
35.712624,-0.19163299,-8.395421,0.26097828,1.0,0.9990425,0.17871094,0.0044891457,-13.438408,-13.448047,-3.5784435,46.59515,0.21066546,5.235209e-06,0.8907543,-0.63471377,16.334911,0.9990454,0.16894531,0.004588523,-13.04571,-13.05486,-3.6857548,25.114164,0.1882343,1.1333811e-05,50.06955,-0.12734687,-8.395567,0.26101458,1.0,0.9990263,0.13964844,0.004717619,-13.347719,-13.357023,-3.830463,302.78622,0.4495564,1.3374835e-05,0.9990263,0.140625,0.004813564,-12.944731,-12.953531,-3.9412553,14.488297,0.16948321,3.9155607e-06,0.1227550570487976,3256.643490791321,25000
50.020332,-0.13544622,-8.399366,0.26196444,1.0,0.9990368,0.18945312,0.0044060783,-13.667463,-13.67748,-3.4198823,83.27678,0.31562948,3.308243e-05,0.54757214,-1.4648578,18.64375,0.99903965,0.17285156,0.0044889688,-13.245917,-13.255406,-3.539589,30.696058,0.29035738,1.892751e-05,47.276558,-0.17490387,-8.412533,0.26525623,1.0,0.9990301,0.15429688,0.0046358407,-13.481756,-13.491385,-3.6304646,106.614395,0.31725445,4.7371646e-08,0.99902916,0.1328125,0.0046988297,-13.003553,-13.01267,-3.6777816,37.56142,0.26978114,6.787594e-07,0.006034599924087524,3286.8164970874786,30000
37.403957,-0.22094432,-8.413883,0.26559365,1.0,0.99904156,0.20703125,0.0043336763,-13.66436,-13.674403,-3.3908982,98.836945,0.38360718,7.5523512e-06,0.8506585,-0.880309,16.870388,0.9990425,0.19238281,0.004398046,-13.253814,-13.263414,-3.4326878,45.208775,0.32257962,5.8792288e-05,39.08525,-0.2654122,-8.434755,0.27081168,1.0,0.99902534,0.15234375,0.0046831816,-13.45639,-13.465918,-3.7098017,142.33702,0.26580074,1.2045144e-05,0.9990225,0.12792969,0.0047647823,-13.034832,-13.043901,-3.7567444,42.878414,0.26426536,1.8281642e-06,0.1076919810295105,3825.2764055728912,35000
49.118687,-0.18168135,-8.411335,0.26495677,1.0,0.99904823,0.20605469,0.0043308074,-13.859016,-13.869292,-3.3480864,41.475403,0.33442345,2.3255028e-05,0.98064744,-0.9493813,22.57079,0.9990463,0.19335938,0.0044290973,-13.4058895,-13.415594,-3.4780922,70.727394,0.37596866,2.183129e-05,44.435204,-0.22675532,-8.422349,0.2677102,1.0,0.99902916,0.16601562,0.0046370886,-13.857772,-13.867782,-3.617841,56.0677,0.36149368,4.1980284e-06,0.9990282,0.13476562,0.004719673,-13.36351,-13.372938,-3.717911,109.74748,0.38629472,1.9011559e-05,0.007996010208129883,3865.2564606666565,40000
45.25182,-0.24710652,-8.386552,0.25876093,1.0,0.9990425,0.22070312,0.0041997563,-13.893477,-13.903927,-3.204803,107.09912,0.4838819,4.502498e-05,1.4223005,-2.352552,27.484879,0.99904346,0.20507812,0.0043210736,-13.486601,-13.496547,-3.3110452,107.90329,0.5870588,2.6068983e-06,56.103794,-0.17919102,-8.376799,0.25632256,1.0,0.9990282,0.18554688,0.004623514,-13.911289,-13.921334,-3.635111,161.45549,0.5549908,9.573398e-06,0.99901676,0.14355469,0.0047319075,-13.513304,-13.522855,-3.7420316,327.66406,1.2406355,2.3102086e-05,0.10543486289978027,4392.430781364441,45000
