training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
115.15321,-0.031390954,-9.30834,0.4892078,1.0,0.46060562,0.001953125,0.80115795,0.0368562,0.036759198,0.13608973,15.647217,1.650098,0.05605454,4.6346583,-3.1561987,141.12506,0.6809063,0.0,0.60913324,-0.34758857,-0.34754434,-0.3928199,10.618173,0.89148384,0.05527132,99.69303,0.03524426,-9.293897,0.4855972,1.0,0.9931927,0.0,0.043661073,-5.350934,-5.3508244,-5.463174,9.850792,0.06506869,3.1838157e-05,0.9858675,0.0,0.04395186,-5.8728013,-5.872516,-6.1648297,2.5353785,0.037515327,1.6977128e-05,0.014962945938110352,74.81473159790039,1
11.560078,-0.18643269,-7.8682213,0.12917818,1.0,0.99903584,0.08691406,0.0062779323,-9.167828,-9.171448,-5.465321,4.3964906,0.06281221,8.9509814e-07,0.26723015,-0.18329428,6.1457667,0.99903107,0.08691406,0.0062760934,-9.199836,-9.203468,-5.4837594,4.142536,0.0591435,6.865737e-09,12.321809,-0.16537373,-7.9033184,0.1379525,1.0,0.9988117,0.04296875,0.0065969294,-8.78804,-8.791357,-5.394541,6.6226606,0.10358676,1.5320811e-06,0.998847,0.045898438,0.006565159,-8.863049,-8.866427,-5.405435,12.645272,0.106533974,3.921828e-06,0.27288809638023376,1439.2552151679993,5000
13.727113,-0.18174803,-7.8192163,0.11692697,1.0,0.9990349,0.11621094,0.00589856,-8.988254,-8.992212,-4.9384613,11.059118,0.18870632,1.6041387e-05,0.305812,-0.33185732,7.281843,0.99903774,0.115234375,0.005895124,-9.0105295,-9.014525,-4.9231586,9.893339,0.18505023,1.1289001e-05,12.540778,-0.17568196,-7.8480606,0.12413803,1.0,0.9986191,0.048828125,0.006674936,-9.037217,-9.041164,-4.999119,61.23386,0.3178213,1.3411033e-05,0.99878025,0.041992188,0.0064953123,-9.102367,-9.106367,-5.009736,44.78063,0.34740672,1.3346511e-05,0.27059441990852356,2792.2273166179657,10000
15.409264,-0.1606698,-7.7895355,0.10950682,1.0,0.99900913,0.119140625,0.0057598683,-9.268728,-9.273096,-4.8006454,9.897464,0.21863851,1.0867309e-05,0.32861978,-0.32893822,6.0504103,0.999033,0.11035156,0.005756204,-9.281809,-9.286153,-4.837859,9.026384,0.1830286,1.7223785e-05,28.084038,-0.14943305,-7.8426633,0.1227888,1.0,0.9986849,0.061523438,0.0066300323,-9.131116,-9.13536,-4.7915454,82.03207,0.60227525,2.7871124e-06,0.9987469,0.053710938,0.0063846717,-9.129242,-9.133424,-4.852498,20.3869,0.23012313,9.311206e-07,0.17360304360389708,3660.2425372600555,15000
15.220296,-0.18123901,-7.752328,0.100204885,1.0,0.99903774,0.12890625,0.0057274736,-9.212021,-9.216405,-4.7270346,19.62536,0.30197674,1.252043e-05,1.9616641,-0.7227257,12.885492,0.9990339,0.12597656,0.0057232585,-9.184012,-9.188362,-4.734151,16.363426,0.30178723,2.638701e-05,20.018063,-0.16722414,-7.7750363,0.10588205,1.0,0.998641,0.05859375,0.006371254,-9.133958,-9.138292,-4.7003717,24.018255,0.33948928,7.3420556e-06,0.99863815,0.06933594,0.006356977,-9.110084,-9.11438,-4.7148886,11.862408,0.27948594,5.5764604e-06,0.010172223091125488,3711.1036541461945,20000
14.856731,-0.24286845,-7.752439,0.100232676,1.0,0.9990463,0.15136719,0.005600916,-9.149828,-9.15427,-4.605073,22.285572,0.29946673,2.4740202e-06,0.21378094,-0.30327904,5.2712855,0.99904346,0.13769531,0.005621442,-9.062368,-9.066719,-4.610338,24.518013,0.2771213,1.6992946e-06,35.307774,-0.2056202,-7.8250623,0.118388504,1.0,0.99857426,0.06933594,0.0068602334,-9.182596,-9.187064,-4.612259,51.543625,0.5306352,2.033729e-06,0.99848366,0.06640625,0.00651985,-9.1112385,-9.11558,-4.6701603,12.3434515,0.24380443,1.6225371e-05,0.1606475481033325,4514.3413960933685,25000
17.325306,-0.19167486,-7.749685,0.09954418,1.0,0.99905777,0.1484375,0.0056350334,-9.278837,-9.283258,-4.7559023,18.351774,0.24198322,7.070812e-06,0.3644377,-0.26713988,7.564345,0.9990587,0.12597656,0.0056584366,-9.240643,-9.245,-4.783554,14.80406,0.25602016,1.1307663e-05,23.322466,-0.21097174,-7.7573957,0.10147193,1.0,0.9987345,0.07421875,0.006300524,-9.172763,-9.177075,-4.761133,100.6388,0.4854802,6.626428e-07,0.99878216,0.07714844,0.0062479875,-9.154108,-9.158321,-4.844693,14.126163,0.25222552,1.0075488e-06,0.010191878032684325,4565.300788402557,30000
20.955574,-0.24056849,-7.7593126,0.10195115,1.0,0.99905586,0.16503906,0.0054176976,-9.554064,-9.558995,-4.5076857,25.31906,0.28078645,5.6610047e-06,0.32546675,-0.45150506,9.700169,0.9990597,0.15234375,0.0054523097,-9.558305,-9.563199,-4.5510755,15.773774,0.25883892,2.100436e-05,20.498976,-0.25872117,-7.752269,0.10019022,1.0,0.99868584,0.07324219,0.0064722043,-9.121166,-9.125441,-4.747489,51.033695,0.4283037,1.2773877e-05,0.99872875,0.07324219,0.0064521506,-9.123779,-9.128069,-4.735568,20.284334,0.32925558,1.2457566e-05,0.14291909804344177,5279.896280288696,35000
18.254665,-0.24577433,-7.735913,0.096101224,1.0,0.999053,0.17480469,0.005362404,-9.446389,-9.451308,-4.414568,19.710962,0.28787518,8.28279e-07,2.0295174,-0.70037735,16.199009,0.99904823,0.15527344,0.0054121,-9.40602,-9.410862,-4.453231,19.13019,0.31296244,1.336512e-05,25.473595,-0.28081858,-7.745696,0.09854689,1.0,0.9987955,0.083984375,0.0062166206,-9.172672,-9.176915,-4.832981,64.045364,0.279698,3.477915e-08,0.9988203,0.0625,0.006202719,-9.151437,-9.155639,-4.852903,12.546013,0.22480568,3.8707146e-08,0.01248495388031006,5342.321053266525,40000
23.044767,-0.26452076,-7.7151413,0.09090819,1.0,0.9990587,0.15332031,0.005476068,-9.237034,-9.241612,-4.5534306,14.024024,0.2494571,1.0304016e-05,0.74261564,-0.6399633,15.841048,0.9990549,0.14355469,0.0055396585,-9.227898,-9.232412,-4.6096907,11.58025,0.23788899,7.289978e-06,25.02226,-0.2986257,-7.763182,0.102918446,1.0,0.9987793,0.095703125,0.0061658025,-9.209145,-9.213625,-4.6266356,36.0538,0.28117996,1.7060089e-06,0.9987297,0.083984375,0.006217179,-9.24013,-9.244642,-4.625051,13.0531845,0.2591322,7.559399e-06,0.13733615427017212,6029.001828193665,45000
