training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
98.06912,-0.03251453,-9.309699,0.48954785,1.0,0.43370724,0.0,0.80962837,0.07135965,0.07126108,0.17220116,20.69588,1.63095,0.06628962,4.717825,-2.6469526,140.98041,0.66198444,0.001953125,0.6273341,-0.30737442,-0.3073588,-0.32334426,12.709656,0.96895754,0.081579395,100.20689,0.0037344787,-9.229,0.46937308,1.0,0.9916544,0.0,0.043385513,-5.3724747,-5.3723097,-5.5410337,6.9970326,0.063068874,2.6736552e-05,0.98672867,0.0,0.043445684,-5.863473,-5.863174,-6.1691275,5.513393,0.04410761,2.3260041e-05,0.01198674488067627,59.9337260723114,1
19.193209,-0.13406827,-7.915003,0.14087363,1.0,0.9990282,0.053710938,0.00585419,-11.221346,-11.227508,-4.918542,5.2989483,0.040195163,9.3250424e-07,0.5994751,-0.51354223,11.71776,0.99902916,0.05078125,0.0058364933,-11.151848,-11.157875,-4.986871,7.2003555,0.05291743,3.0761946e-06,17.535187,-0.21134791,-7.8961964,0.13617197,1.0,0.99900913,0.057617188,0.0059497897,-11.110398,-11.116519,-4.848342,33.334625,0.108719245,1.0870403e-06,0.99901104,0.04296875,0.00589488,-10.973373,-10.979389,-4.819751,11.517587,0.06814989,1.1138635e-06,0.24599575304985047,1289.912492275238,5000
16.894958,-0.21423027,-7.812,0.115122885,1.0,0.9990368,0.09277344,0.00532485,-12.243503,-12.251103,-4.468055,8.26046,0.06734821,3.3825927e-05,0.3504172,-0.4121307,9.968084,0.9990368,0.08300781,0.0053624664,-12.091695,-12.099146,-4.469558,5.3360405,0.065941386,3.760815e-05,20.288635,-0.16558391,-7.8387,0.12179791,1.0,0.99901867,0.06738281,0.0054261787,-12.408591,-12.416512,-4.305542,43.133633,0.1497651,2.0336352e-05,0.9990196,0.0703125,0.005450289,-12.349876,-12.357687,-4.3593483,13.7793665,0.08945137,3.1164967e-05,0.26717257151603696,2625.7753541469574,10000
28.35802,-0.14003035,-7.7615337,0.1025065,1.0,0.99903584,0.08984375,0.0051326714,-12.947065,-12.955581,-4.235895,25.164368,0.11583586,3.7169226e-05,0.7332374,-0.941638,18.998867,0.999033,0.08984375,0.0051735067,-12.729042,-12.737278,-4.3027396,13.119167,0.109872565,2.565808e-05,23.16264,-0.21762222,-7.7960067,0.11112454,1.0,0.99901104,0.08984375,0.005324806,-12.906549,-12.914929,-4.3346796,77.401024,0.21322149,2.5879092e-06,0.9990053,0.07519531,0.0053979955,-12.67855,-12.68667,-4.370655,50.476112,0.22361967,8.507382e-07,0.16447269473075868,3448.1388318538666,15000
25.909256,-0.16493943,-7.7671404,0.10390803,1.0,0.9990349,0.119140625,0.0049869316,-12.984797,-12.993516,-4.06454,26.494154,0.13525064,5.9782007e-05,1.0526751,-1.0650604,19.403109,0.9990339,0.11425781,0.005010328,-12.851404,-12.859951,-4.108811,26.38005,0.11390512,9.619592e-05,23.953812,-0.2524707,-7.7422514,0.0976858,1.0,0.9990158,0.08691406,0.005278438,-12.773258,-12.781543,-4.2981386,22.676044,0.09223661,4.7825375e-05,0.9990158,0.07714844,0.005329291,-12.584961,-12.593007,-4.35398,17.279243,0.09201561,3.7242036e-05,0.023407544803619385,3565.1765575408936,20000
24.84962,-0.26496536,-7.706294,0.08869642,1.0,0.9990387,0.13378906,0.004798687,-13.329885,-13.339227,-3.7724044,19.225601,0.13143963,6.4257154e-05,0.62670624,-0.52817917,13.638849,0.9990387,0.11230469,0.0048400057,-13.104588,-13.113671,-3.8123212,11.189676,0.12340172,7.640725e-05,28.66145,-0.27238262,-7.731095,0.094896615,1.0,0.99901676,0.09277344,0.0052869795,-13.080524,-13.089161,-4.2449045,25.422955,0.13991001,2.5487936e-06,0.999012,0.08203125,0.005329597,-12.930561,-12.93902,-4.277154,21.698105,0.13296242,2.090473e-06,0.20866735525131225,4608.513334989548,25000
25.795742,-0.35387927,-7.725775,0.0935667,1.0,0.9990387,0.14355469,0.0047098817,-13.385908,-13.395306,-3.7724652,32.605156,0.21824872,4.1215e-05,0.9492795,-1.1622514,17.057747,0.99903584,0.13574219,0.0047617247,-13.080908,-13.090027,-3.7522464,30.065834,0.16710278,2.7105867e-05,46.19995,-0.2369481,-7.72794,0.09410793,1.0,0.9990101,0.09667969,0.005312661,-13.210031,-13.218711,-4.3294697,103.985794,0.15957871,5.1818586e-07,0.99902344,0.087890625,0.005340876,-12.9322,-12.940592,-4.348017,27.465937,0.13278396,9.040473e-06,0.022055425786972047,4718.790469646454,30000
38.450535,-0.3436995,-7.6957693,0.08606524,1.0,0.9990387,0.15527344,0.0046651927,-13.588224,-13.597879,-3.7103095,59.256634,0.2734515,4.4588825e-05,0.8931461,-1.6049109,20.112583,0.9990387,0.13867188,0.0046971943,-13.398034,-13.407494,-3.7211618,44.511017,0.27502152,0.00012702671,40.804794,-0.30812198,-7.7153645,0.090964064,1.0,0.9990177,0.103515625,0.0052951146,-13.372015,-13.380805,-4.379473,136.03723,0.27047125,6.090072e-07,0.9990206,0.08300781,0.005353055,-13.153529,-13.162058,-4.429881,49.478695,0.14180231,1.2274919e-06,0.1868939796447754,5653.260370731354,35000
36.72541,-0.34175384,-7.722124,0.09265401,1.0,0.9990406,0.2109375,0.00451508,-13.783686,-13.793723,-3.5170884,139.01724,0.3632235,3.7562273e-05,1.060617,-0.67816865,17.407452,0.9990444,0.18652344,0.0045469515,-13.556667,-13.5664425,-3.556799,19.901619,0.25899798,2.6519456e-05,41.407112,-0.33349895,-7.7073483,0.088960044,1.0,0.9990206,0.09863281,0.005316462,-13.66087,-13.670031,-4.289377,86.19142,0.19956627,7.8807525e-06,0.99901104,0.087890625,0.005323861,-13.475012,-13.483967,-4.3155546,480.557,0.6324778,1.5266176e-06,0.012797560453414916,5717.24817442894,40000
46.774326,-0.33313775,-7.6960654,0.086139336,1.0,0.99903774,0.19140625,0.004494629,-13.943405,-13.953604,-3.510541,52.79857,0.32638878,4.7478185e-05,1.0692003,-0.9015039,20.730347,0.99903774,0.16992188,0.004565702,-13.8119,-13.821872,-3.610208,66.05425,0.30252302,2.2659053e-05,41.375217,-0.36025935,-7.721471,0.09249066,1.0,0.99900436,0.10839844,0.0052946843,-13.77197,-13.7812605,-4.2673697,252.51552,0.49105543,8.802437e-06,0.9989891,0.09472656,0.0053364807,-13.578355,-13.587446,-4.2775297,711.7285,1.1440492,2.0203865e-06,0.18061490740776062,6620.32271528244,45000
