training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
275.8075,0.52158666,-9.75938,0.60196817,1.0,0.51087093,0.0009765625,0.75847054,-0.0025272614,-0.0026412418,0.11407332,24.352688,1.4492648,0.05390719,20.041586,-17.906717,339.16388,0.8204441,0.0,0.45090657,-0.7810923,-0.78107554,-0.798157,7.995435,0.6796504,0.04337527,111.61726,0.16162178,-9.725944,0.59360886,1.0,0.9894209,0.0,0.043088198,-6.279831,-6.279463,-6.6559515,8.406803,0.061292827,1.0084991e-05,0.9893732,0.0009765625,0.0332776,-6.9219484,-6.9216666,-7.210333,3.149829,0.03391102,1.0501293e-05,0.013313499307632447,66.56749868392944,1
5.433439,-0.44044685,-9.416615,0.51627684,1.0,0.9990244,0.08203125,0.0047758105,-24.419561,-24.439617,-3.9027913,1.8429981,0.034400325,4.705886e-07,0.08355423,-0.103373595,2.115824,0.9990263,0.095703125,0.004725678,-23.821285,-23.84101,-3.6452775,2.8736622,0.050361365,2.2918337e-06,11.679285,-0.1895762,-9.440041,0.52213335,1.0,0.9990244,0.09472656,0.0048236176,-24.755423,-24.775808,-3.9018419,1.483635,0.03707812,1.5254695e-15,0.9990244,0.0859375,0.0047236537,-24.120968,-24.140726,-3.9074192,1.505621,0.03964364,1.2685386e-15,0.25571280965805054,1345.1315484046936,5000
9.643923,-0.14031714,-9.349614,0.4995265,1.0,0.9990444,0.16015625,0.004479274,-22.611195,-22.629946,-3.4312289,11.311953,0.122106865,2.452928e-06,0.078848116,-0.086767904,1.8999497,0.9990492,0.15332031,0.0044669714,-20.886177,-20.903263,-3.4061975,16.984545,0.13262998,2.6633493e-06,9.563686,-0.15661341,-9.344959,0.49836272,1.0,0.99901676,0.1484375,0.0044509126,-23.267418,-23.286707,-3.5360196,12.529716,0.15451539,9.671283e-08,0.9990139,0.140625,0.00444703,-21.438744,-21.456257,-3.5217588,46.248947,0.22794002,4.5383607e-07,0.25888496599197386,2639.556379556656,10000
6.8124914,-0.1989997,-9.303701,0.4880484,1.0,0.9990387,0.18066406,0.004441755,-18.598907,-18.613665,-3.5024533,9.872308,0.1222346,2.0792709e-06,0.0958415,-0.05343382,1.43994,0.9990425,0.18164062,0.0044418857,-17.155102,-17.168533,-3.4144425,12.340088,0.15676218,1.1904433e-06,7.8748126,-0.17473218,-9.340564,0.49726403,1.0,0.9990158,0.1640625,0.0044520553,-18.723793,-18.738583,-3.5923772,6.941975,0.10278608,3.093555e-06,0.9990225,0.1640625,0.0044382312,-17.359898,-17.373438,-3.507876,10.06312,0.11813453,6.271769e-06,0.14155387053489685,3347.32573390007,15000
9.282249,-0.13638994,-9.351465,0.49998927,1.0,0.9990549,0.20214844,0.004276905,-16.291142,-16.303902,-3.2369995,30.259367,0.23863347,5.1050258e-05,0.115078725,-0.22666095,3.2459576,0.99905586,0.18945312,0.0042802095,-15.264829,-15.276616,-3.206111,19.238161,0.2765578,5.3013242e-05,8.668808,-0.12449353,-9.3386545,0.49678645,1.0,0.999033,0.1796875,0.004343169,-16.30419,-16.316832,-3.372251,9.15574,0.13981995,8.446351e-06,0.9990282,0.171875,0.0043469383,-15.226423,-15.238028,-3.3552575,10.450292,0.14559242,1.0948836e-05,0.019925519943237303,3446.953335046768,20000
7.590172,-0.1834997,-9.347563,0.4990136,1.0,0.9990568,0.18066406,0.0043498464,-15.138761,-15.150177,-3.459555,53.51197,0.28076673,6.4749056e-06,0.08974161,-0.13924816,2.0191717,0.99905396,0.18066406,0.0043399846,-14.501921,-14.512795,-3.3780727,20.676344,0.2755313,1.1724125e-05,10.331885,-0.107754454,-9.263123,0.47790354,1.0,0.9990177,0.17871094,0.0044426383,-15.100807,-15.112195,-3.4507713,28.84693,0.21778136,2.2880556e-06,0.99901676,0.17285156,0.004446757,-14.509584,-14.520377,-3.4684472,39.861374,0.21804382,4.1972917e-06,0.171458881521225,4304.247746706009,25000
11.523065,-0.08290352,-9.287446,0.4839844,1.0,0.9990492,0.19238281,0.0042824363,-14.489795,-14.500698,-3.3368626,73.10065,0.3339481,1.5655776e-05,0.22010925,-0.20620227,3.6945353,0.9990473,0.1953125,0.004271835,-14.119381,-14.129897,-3.361497,42.009148,0.3263682,1.886827e-05,11.847221,-0.065757,-9.346338,0.4987074,1.0,0.99904156,0.20117188,0.004298729,-14.56761,-14.578664,-3.2593293,81.291016,0.40391058,3.4874777e-06,0.9990406,0.19726562,0.0043005873,-14.194176,-14.204827,-3.2982595,35.917255,0.3677457,4.292736e-06,0.022689064884185792,4417.693072557449,30000
10.556897,-0.10921197,-9.3064,0.4887231,1.0,0.99905205,0.20117188,0.0043001,-14.265877,-14.276575,-3.3215141,55.404343,0.36940455,2.7371593e-06,0.21413065,-0.12356438,2.9965022,0.9990549,0.18847656,0.0042868587,-14.057322,-14.067838,-3.299222,74.01896,0.4477658,6.5992754e-06,9.805825,-0.1136737,-9.303489,0.48799512,1.0,0.9990349,0.17578125,0.0044372855,-13.979178,-13.989564,-3.355579,45.063335,0.2895124,3.7800416e-07,0.99903774,0.1640625,0.004440574,-13.793724,-13.803922,-3.360445,29.719425,0.34295687,3.643776e-07,0.1633324032306671,5234.355093717575,35000
10.38241,-0.13131587,-9.318634,0.49178162,1.0,0.9990511,0.20019531,0.004294995,-14.16971,-14.18031,-3.3260345,187.25949,0.56952137,5.494807e-05,0.2748474,-0.21575613,3.9232354,0.9990511,0.19433594,0.0042984034,-13.868622,-13.878924,-3.3291843,52.7541,0.5225513,9.364049e-05,10.409193,-0.13009305,-9.358704,0.5017986,1.0,0.9990301,0.18164062,0.004374081,-14.151775,-14.162291,-3.3940501,92.41083,0.37652242,4.2436888e-05,0.99902916,0.16699219,0.004366685,-13.88422,-13.89447,-3.3979907,60.864212,0.4095016,4.656374e-05,0.01676574206352234,5318.183805704117,40000
10.196133,-0.12191423,-9.303644,0.488034,1.0,0.99904156,0.19335938,0.0043087592,-14.004938,-14.015383,-3.3201916,106.172874,0.41695407,1.0166619e-05,0.18292359,-0.2425153,3.0290914,0.9990406,0.18457031,0.0043114526,-13.824674,-13.834933,-3.3287694,51.791626,0.41463012,7.797784e-06,11.523467,-0.13697079,-9.348066,0.49913973,1.0,0.9990139,0.15625,0.004429987,-14.269359,-14.280036,-3.3465185,55.392086,0.42752615,1.07163e-05,0.9990053,0.14550781,0.004441616,-14.075924,-14.086416,-3.3413434,68.518265,0.62871563,1.0595632e-05,0.1420403078556061,6028.385348558426,45000
12.605957,-0.12176674,-9.2886305,0.48428068,1.0,0.99904823,0.19628906,0.0043239603,-14.193251,-14.203843,-3.357181,54.996597,0.35758245,2.2975364e-06,0.2269435,-0.36953175,5.118903,0.99905014,0.1875,0.004330083,-14.102471,-14.11296,-3.3730826,25.142336,0.32145134,1.0438622e-06,15.922012,-0.11368577,-9.393513,0.51050115,1.0,0.99901104,0.18066406,0.0043114536,-14.361446,-14.372319,-3.2383888,189.56598,0.5917041,1.6459771e-05,0.9990101,0.171875,0.004318718,-14.287275,-14.298047,-3.2668824,242.97026,0.8174373,1.4225278e-05,0.019530255126953125,6126.036625862122,50000
12.135521,-0.15279932,-9.340397,0.49722224,1.0,0.99905205,0.20410156,0.004241353,-14.255361,-14.266044,-3.3261092,38.46383,0.31197676,1.2889738e-05,0.19064532,-0.19372432,3.7584157,0.99904823,0.19433594,0.0042565647,-14.06535,-14.075872,-3.299819,51.981552,0.3970356,2.1429727e-05,15.689994,-0.14815521,-9.302643,0.48778352,1.0,0.99901867,0.19824219,0.004357272,-14.421268,-14.432145,-3.2947154,63.943325,0.5067873,2.8145994e-05,0.99902534,0.19335938,0.0043489984,-14.222546,-14.233202,-3.321762,80.33468,0.5095972,1.6018164e-05,0.16588084421157837,6955.440850973129,55000
11.339971,-0.15902424,-9.291153,0.48491114,1.0,0.9990511,0.20800781,0.004242612,-14.216497,-14.227185,-3.2829106,127.8747,0.43259555,1.0651783e-05,0.19603413,-0.21625477,3.5171301,0.99905014,0.19433594,0.0042484095,-14.112505,-14.123085,-3.2879577,111.07414,0.44712645,7.357714e-06,14.0881405,-0.144423,-9.343168,0.49791503,1.0,0.9990444,0.18945312,0.0043214983,-14.337683,-14.348544,-3.2261727,407.16022,1.4125049,1.1284222e-05,0.99904346,0.19042969,0.0043283766,-14.165278,-14.175951,-3.2465596,155.12769,0.94682693,1.4224314e-05,0.013218657779693603,7021.534145355225,60000
13.454536,-0.15448724,-9.320005,0.49212435,1.0,0.9990511,0.22265625,0.0041665994,-14.528017,-14.539189,-3.0978727,76.32744,0.71912956,6.366979e-05,0.43003383,-0.41196495,6.197489,0.9990492,0.21289062,0.004164992,-14.382561,-14.393615,-3.0753775,78.98326,0.90227216,8.906389e-05,14.045619,-0.1686472,-9.355733,0.50105625,1.0,0.9990206,0.18554688,0.0044167363,-14.399443,-14.410337,-3.2539291,266.59586,0.9409662,2.01918e-05,0.9990206,0.17480469,0.0044253357,-14.257615,-14.268353,-3.2722192,69.13408,0.6178463,1.9447229e-05,0.01988228602409363,7120.945576906204,65000
15.747873,-0.13568181,-9.283779,0.48306784,1.0,0.9990597,0.23046875,0.00412556,-14.582648,-14.59388,-3.0928202,217.52002,0.92216074,6.627231e-05,0.44521713,-0.38702387,7.61644,0.9990635,0.22949219,0.0041101105,-14.412219,-14.423287,-3.0889137,156.39955,0.77464294,3.1789616e-05,13.473263,-0.17840767,-9.270383,0.4797187,1.0,0.99902344,0.17675781,0.0044017797,-14.474042,-14.484924,-3.342059,177.79277,0.53294677,5.3969075e-06,0.99902344,0.17089844,0.0044326885,-14.347807,-14.358541,-3.366747,200.17355,0.6729901,2.1566157e-06,0.02340739221572876,7237.982540845871,70000
13.387037,-0.15709001,-9.315598,0.4910223,1.0,0.99905586,0.2109375,0.0042178608,-14.5471,-14.55818,-3.2142518,82.7762,0.5507968,1.997998e-05,0.27162865,-0.3186801,4.775213,0.9990549,0.19433594,0.004216385,-14.363109,-14.374013,-3.2083292,34.868896,0.51547533,1.2229287e-05,16.790714,-0.15525363,-9.305817,0.48857716,1.0,0.99903107,0.20507812,0.004402224,-14.695905,-14.70707,-3.2734864,2510.3308,2.5554142,2.0392068e-05,0.99902916,0.18945312,0.004409032,-14.527245,-14.538228,-3.291222,278.04364,1.6029617,3.577493e-05,0.023408166980743408,7355.0233771800995,75000
15.4831295,-0.16924798,-9.303293,0.48794633,1.0,0.99905777,0.22265625,0.00415993,-14.614127,-14.625301,-3.1823652,195.46198,0.68079567,2.3983098e-06,0.42405245,-0.52337545,6.477156,0.99906063,0.22070312,0.004167554,-14.432838,-14.443819,-3.199124,165.69937,0.5456946,6.5450727e-06,19.049934,-0.17515895,-9.361227,0.5024296,1.0,0.99901676,0.18457031,0.00435678,-14.756752,-14.767995,-3.253823,2027.5347,1.7379314,3.7025923e-06,0.9990196,0.18554688,0.0043504992,-14.508411,-14.519424,-3.2429385,109.09019,0.72256625,2.6709956e-06,0.20733593139648437,8391.703037023544,80000
