training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/critic/binary_accuracy;training/critic/categorical_accuracy;training/critic/contrastive_loss;training/critic/logits;training/critic/logits_neg;training/critic/logits_pos;training/critic/v_max;training/critic/v_mean;training/critic/v_min;training/grad/max;training/grad/min;training/grad/norm;training/value/binary_accuracy;training/value/categorical_accuracy;training/value/contrastive_loss;training/value/logits;training/value/logits_neg;training/value/logits_pos;training/value/v_max;training/value/v_mean;training/value/v_min;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/critic/binary_accuracy;validation/critic/categorical_accuracy;validation/critic/contrastive_loss;validation/critic/logits;validation/critic/logits_neg;validation/critic/logits_pos;validation/critic/v_max;validation/critic/v_mean;validation/critic/v_min;validation/value/binary_accuracy;validation/value/categorical_accuracy;validation/value/contrastive_loss;validation/value/logits;validation/value/logits_neg;validation/value/logits_pos;validation/value/v_max;validation/value/v_mean;validation/value/v_min;time/epoch_time;time/total_time;step
88.02164;-0.09003121;-9.295297;0.48594707;1.0;0.31994915;0.00390625;0.96429896;0.22729059;0.2271585;0.3624026;24.897633;2.7383113;0.05620121;4.810979;-3.679624;150.80516;0.7417984;0.0;0.57174706;-0.40144634;-0.40139356;-0.45544356;6.919279;0.76895225;0.075139664;61.85829;-0.19916692;-9.225843;0.46858364;1.0;0.99279785;0.0009765625;0.046778157;-6.4495363;-6.449211;-6.7826576;17.70038;0.10261086;6.29667e-06;0.9862156;0.0;0.04445392;-7.154168;-7.153791;-7.5394697;6.0660696;0.065843344;1.1376088e-05;0.00037137476150003615;41.26382756233215;1
26.610239;-0.32065803;-7.676006;0.081124425;1.0;0.9990692;0.20410156;0.0047954177;-11.54896;-11.556494;-3.8425121;12.681364;0.30776533;7.829281e-06;1.997517;-1.756794;12.763063;0.9990692;0.19042969;0.004791715;-11.480267;-11.487711;-3.864322;12.185875;0.29109037;5.3859662e-06;53.282608;-0.2865981;-7.72824;0.09418305;1.0;0.99856853;0.11230469;0.006305034;-11.194747;-11.201387;-4.401904;167.5562;0.6130475;3.2408334e-08;0.99875355;0.09375;0.006061656;-11.12429;-11.130815;-4.4499593;163.48087;0.6367484;7.297205e-08;0.007810957432157994;909.1471219062805;111112
35.35273;-0.34095433;-7.653495;0.075496756;1.0;0.99908924;0.24902344;0.0046022553;-12.142821;-12.15117;-3.6015465;70.827354;0.44463187;9.911703e-08;2.0671098;-1.6303722;20.87218;0.9990759;0.22460938;0.0046156757;-12.082019;-12.090298;-3.611463;14.738949;0.3884578;3.3643562e-06;56.933582;-0.3925241;-7.72472;0.09330297;1.0;0.9986887;0.12011719;0.006097758;-11.492522;-11.499556;-4.2970266;37.310787;0.3457349;2.0708149e-10;0.99873066;0.11328125;0.0059804805;-11.447562;-11.454553;-4.2961445;46.332695;0.4612772;1.1652306e-09;0.004593383288394428;1419.5225367546082;222223
40.157494;-0.3777836;-7.6373596;0.07146289;1.0;0.9990711;0.2685547;0.004410997;-12.693123;-12.702236;-3.3699496;36.419758;0.50997734;2.9516543e-06;3.1850057;-3.2240872;28.831894;0.9990654;0.2607422;0.0044415966;-12.586909;-12.595882;-3.4072778;10.944375;0.45214483;5.289459e-08;64.25752;-0.5070679;-7.7141323;0.09065606;1.0;0.998868;0.083984375;0.006138418;-11.521705;-11.528363;-4.709506;63.60031;0.256285;4.338518e-12;0.99893;0.08203125;0.005990471;-11.405296;-11.411882;-4.6666784;40.75684;0.33184168;2.8745017e-08;0.004255320585515059;1892.335465669632;333334
39.26674;-0.4181127;-7.620668;0.067289956;1.0;0.99909496;0.2705078;0.0044832677;-12.600705;-12.609629;-3.4713466;120.471176;0.5913105;1.198889e-06;1.8658737;-3.2074618;23.603115;0.99909496;0.24316406;0.0045297206;-12.477799;-12.486565;-3.5099373;61.768;0.591614;7.011459e-06;64.44658;-0.5004189;-7.692183;0.0851687;1.0;0.99861145;0.109375;0.0065455157;-12.022142;-12.029496;-4.4983044;98.94588;0.61945224;9.968033e-11;0.9987316;0.08496094;0.0062432317;-11.886459;-11.893649;-4.5308533;305.2987;0.9214485;3.1967504e-10;0.004317316374811492;2372.0368087291718;444445
42.438065;-0.3913024;-7.6201754;0.0671669;1.0;0.9990778;0.25683594;0.004439685;-12.862964;-12.872237;-3.376586;58.42193;0.5064683;5.791489e-06;1.4508494;-1.9583428;17.611485;0.9990654;0.25097656;0.004467162;-12.786425;-12.795627;-3.3739605;79.497696;0.5277506;1.9029827e-05;63.161793;-0.5317861;-7.7169228;0.0913536;1.0;0.9986515;0.10839844;0.006429108;-12.328233;-12.335872;-4.513367;86.790375;0.43651655;9.224296e-13;0.998682;0.08496094;0.0061635454;-12.191038;-12.198541;-4.5147905;53.24901;0.3239221;1.0042105e-08;0.004307962749458645;2850.6988620758057;555556
46.960194;-0.38973135;-7.627904;0.06909908;1.0;0.9991112;0.2939453;0.0044101663;-13.219877;-13.229508;-3.3674853;25.236769;0.5568353;3.3218512e-06;2.6170297;-1.6298397;19.49139;0.99909115;0.2607422;0.004467444;-13.153488;-13.16298;-3.442898;14.098227;0.4950972;2.1194135e-06;74.57968;-0.49348158;-7.7129917;0.09037082;1.0;0.99870396;0.095703125;0.0065622367;-12.119111;-12.126335;-4.7282495;134.08177;0.55184084;2.4529978e-10;0.9987707;0.07519531;0.0063349847;-12.023283;-12.03037;-4.773343;31.741423;0.23153335;5.403244e-09;0.004281423236749317;3326.412082195282;666667
43.318314;-0.38782156;-7.6255245;0.06850411;1.0;0.9990959;0.27734375;0.0043928437;-13.357388;-13.3672285;-3.289662;41.37757;0.648734;2.1779126e-06;1.4177058;-1.1691135;18.519962;0.99909115;0.24902344;0.004426679;-13.227655;-13.237327;-3.3334575;21.989094;0.58167255;2.2997648e-07;75.85669;-0.4804294;-7.689295;0.08444667;1.0;0.99853706;0.10058594;0.0067849085;-12.709431;-12.717501;-4.4545155;1117.3636;1.2765863;4.0366804e-10;0.9986172;0.08691406;0.0066070445;-12.58363;-12.591532;-4.4995475;161.67134;0.89697516;1.7539825e-09;0.004276442097115086;3801.571841955185;777778
45.718678;-0.43139902;-7.6148076;0.0658249;1.0;0.9990845;0.27246094;0.0044492674;-13.473917;-13.483756;-3.408733;521.1047;0.8448168;6.703483e-07;1.1802814;-1.419096;18.39135;0.9990721;0.25097656;0.004451293;-13.268551;-13.278179;-3.4181004;58.94056;0.57175374;3.908105e-07;71.9841;-0.6732074;-7.738694;0.09679655;1.0;0.99857235;0.099609375;0.0070151463;-12.860767;-12.868767;-4.677884;284.59598;1.3317986;7.9342663e-13;0.99859905;0.07714844;0.0067738183;-12.705778;-12.713571;-4.73505;75.332085;0.70974445;1.9856202e-13;0.004268099538971655;4275.804653644562;888889
47.10126;-0.39954737;-7.60677;0.06381549;1.0;0.9991064;0.2919922;0.0042755916;-13.415703;-13.425676;-3.211763;42.299843;0.58046687;7.92133e-11;1.9618542;-1.2243543;24.806128;0.9990969;0.28027344;0.004310127;-13.294452;-13.304264;-3.2563734;12.184986;0.48222512;4.723811e-08;72.34606;-0.62058604;-7.732584;0.09526891;1.0;0.99884224;0.10253906;0.006302311;-12.399219;-12.4068;-4.6437526;82.02616;0.5692133;1.1765239e-13;0.9987726;0.09667969;0.0064418702;-12.314587;-12.322039;-4.691232;155.94722;0.7682104;2.7433736e-10;0.004252672139644567;4748.3233098983765;1000000
