training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
82.02904,-0.124374434,-9.273997,0.48062223,1.0,0.38286304,0.001953125,0.9057002,0.1318841,0.13171078,0.30917516,22.18834,2.537595,0.07207354,6.5469666,-3.090872,157.45499,0.7436857,0.0,0.57054305,-0.40743,-0.40740162,-0.4365136,7.457791,0.773101,0.070398755,53.56759,-0.08224659,-9.1966915,0.4612958,1.0,0.99282265,0.0009765625,0.04076261,-6.1075745,-6.1073136,-6.374425,5.682837,0.06540785,1.4361945e-05,0.98855877,0.0009765625,0.038608912,-6.714838,-6.714519,-7.0408916,1.9222918,0.049185816,1.2483968e-05,0.012132496500015258,60.662484645843506,1
19.270412,-0.1889607,-7.946146,0.14865932,1.0,0.99902534,0.06542969,0.005542124,-12.728571,-12.736607,-4.5091066,9.046291,0.041707475,5.2209643e-06,0.5781363,-0.7829913,15.94977,0.99902725,0.06640625,0.0055098683,-12.64735,-12.655271,-4.5453568,1.7679904,0.033478778,4.5573247e-06,12.857687,-0.24831301,-7.939603,0.14702368,1.0,0.99901295,0.061523438,0.0055950917,-12.76512,-12.773021,-4.6824408,5.2265434,0.033959467,8.5418196e-07,0.9990063,0.0625,0.005557948,-12.726369,-12.734269,-4.6442633,12.98393,0.05449204,4.320001e-06,0.24122213516235352,1266.7731618881226,5000
27.648016,-0.08543256,-7.8284044,0.119224064,1.0,0.9990339,0.11621094,0.0049748756,-13.696108,-13.705536,-4.0514374,22.22412,0.11302759,1.922904e-05,0.8737607,-1.0263021,16.39846,0.999032,0.095703125,0.0050156596,-13.555907,-13.565079,-4.173785,10.6556635,0.10431744,3.9395723e-05,14.918615,-0.1995905,-7.846057,0.12363713,1.0,0.9990196,0.08496094,0.005118981,-13.413313,-13.422421,-4.096175,10.657484,0.07224512,3.0152763e-05,0.9990244,0.07324219,0.0051330477,-13.268087,-13.277032,-4.1168385,11.667469,0.07207439,7.760926e-06,0.2539870262622833,2536.7082979679108,10000
22.470219,-0.18841214,-7.779415,0.10697671,1.0,0.9990339,0.13085938,0.0047811326,-13.587381,-13.596894,-3.8548799,8.989183,0.093706585,3.9416882e-05,1.3402553,-0.8127432,17.446854,0.999032,0.12890625,0.004806834,-13.394321,-13.403626,-3.8758497,10.015522,0.10645404,5.344697e-05,24.966892,-0.1613104,-7.7801123,0.10715111,1.0,0.9990072,0.095703125,0.0050648497,-13.577784,-13.587154,-3.9912777,45.490326,0.14707233,1.091512e-05,0.99900436,0.09863281,0.005101979,-13.392389,-13.401538,-4.03368,42.785892,0.12684956,2.0488278e-06,0.1498741157054901,3286.0788786411285,15000
34.060234,-0.11479677,-7.7545185,0.1007525,1.0,0.999033,0.13378906,0.004593906,-13.984732,-13.99474,-3.7474363,51.624844,0.17306887,4.512824e-05,1.3278031,-1.4794391,21.755836,0.9990339,0.12207031,0.004610017,-13.801387,-13.811149,-3.8153093,13.832945,0.13662907,7.8676676e-05,21.655483,-0.19832253,-7.7461634,0.0986637,1.0,0.99902344,0.09863281,0.005061888,-13.806484,-13.8159075,-4.1662536,8.699663,0.062621415,4.4318054e-05,0.99901485,0.095703125,0.0051035527,-13.532167,-13.541293,-4.196853,3.3968263,0.052984916,4.991969e-05,0.01505129542350769,3361.33535695076,20000
38.68867,-0.19700778,-7.727463,0.09398881,1.0,0.99903774,0.15332031,0.0045526596,-13.885812,-13.895865,-3.601937,42.903732,0.23047385,7.8134195e-05,3.6463585,-2.2863438,29.926458,0.9990387,0.13769531,0.004586071,-13.659831,-13.669605,-3.6604352,17.186989,0.17910841,2.5676978e-05,29.635025,-0.23066744,-7.743019,0.097877786,1.0,0.9990196,0.10839844,0.0049540326,-13.884479,-13.894164,-3.9757166,68.441,0.16218334,8.309473e-06,0.99901867,0.10546875,0.005000836,-13.787237,-13.796793,-4.0117,32.17883,0.12193104,2.0601517e-05,0.16434712200164794,4183.070971727371,25000
35.400818,-0.19056499,-7.724037,0.09313216,1.0,0.99903965,0.1796875,0.004392489,-14.138479,-14.148918,-3.459864,31.375721,0.21511737,7.892636e-06,1.3413095,-1.6034751,22.442257,0.9990406,0.14453125,0.0044444837,-13.91913,-13.929268,-3.5491085,48.045364,0.23102935,6.840129e-06,33.89866,-0.2401205,-7.735699,0.09604774,1.0,0.99901104,0.11328125,0.004997499,-14.070592,-14.080432,-4.003804,84.192795,0.18590203,5.042248e-06,0.9990139,0.10058594,0.005017132,-13.788652,-13.798164,-4.0581326,73.3059,0.18280922,1.0493164e-05,0.01993095269203186,4282.725738763809,30000
35.17416,-0.26330113,-7.6833625,0.08296355,1.0,0.9990463,0.18261719,0.0042639226,-14.245684,-14.25643,-3.2521198,52.143536,0.34150988,9.485305e-05,1.4095016,-1.5949454,23.093513,0.9990463,0.17871094,0.004325073,-14.143791,-14.154344,-3.348695,19.732126,0.30630273,4.6725614e-05,35.965446,-0.26847947,-7.708109,0.089150235,1.0,0.99902344,0.11425781,0.0048975367,-14.018646,-14.028542,-3.8957763,32.405277,0.121036224,1.5756252e-05,0.99901676,0.10449219,0.004953631,-13.893203,-13.902892,-3.9810395,19.017488,0.10033067,1.5488144e-05,0.14012062497138977,4983.328864812851,35000
39.96766,-0.27266216,-7.696595,0.08627167,1.0,0.9990406,0.21972656,0.004230527,-14.247447,-14.258244,-3.2018657,63.06121,0.28898928,4.626526e-05,2.4931383,-1.9489233,28.721134,0.99904156,0.20019531,0.004244214,-14.144831,-14.155452,-3.2779183,25.309027,0.24776176,6.0118527e-05,49.990402,-0.2450411,-7.710071,0.089640684,1.0,0.999012,0.12695312,0.0050637936,-13.987175,-13.996942,-3.9968636,31.764269,0.12485375,1.5655592e-06,0.99901104,0.11425781,0.005075576,-13.868677,-13.878265,-4.05924,9.2800455,0.08828891,2.8037828e-06,0.026160854816436766,5114.133145093918,40000
38.50375,-0.34927088,-7.689604,0.08452384,1.0,0.9990463,0.2109375,0.0042600827,-14.367963,-14.378851,-3.2298322,91.84063,0.36402366,0.0001037654,1.262728,-1.8278906,23.162792,0.9990406,0.18359375,0.004287087,-14.303629,-14.314417,-3.2685487,44.70072,0.28422016,0.00018028775,39.51064,-0.36422074,-7.6915145,0.08500166,1.0,0.9990082,0.10644531,0.0050075315,-14.222347,-14.232354,-3.984957,11.896698,0.09243013,6.6115153e-06,0.99901485,0.09667969,0.0050431965,-14.12424,-14.134147,-3.9890985,38.425697,0.112222426,1.0145969e-05,0.12897209296226503,5758.993611335754,45000
47.8721,-0.30642033,-7.6649528,0.07836123,1.0,0.9990349,0.234375,0.004174702,-14.5594425,-14.570524,-3.222672,69.24407,0.3100313,6.633921e-05,2.209949,-3.2988853,25.663887,0.99903107,0.19628906,0.004227558,-14.391659,-14.402522,-3.2784894,28.1818,0.25248837,2.5340178e-05,40.647522,-0.4244726,-7.695509,0.08600014,1.0,0.99902534,0.10058594,0.00505746,-14.30751,-14.31746,-4.1296754,49.71672,0.11555371,2.387147e-06,0.99900913,0.095703125,0.0051045367,-14.174156,-14.183987,-4.11795,26.32793,0.12859233,1.0379484e-05,0.025095361948013307,5884.470422267914,50000
