training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
62.79824,-0.2105579,-5.076635,0.19277687,1.0,0.3717518,0.0009765625,0.91406596,0.20667797,0.20673326,0.1501267,56.17225,1.9893037,0.018613815,0.31829363,-2.3033123,72.32228,0.6142607,0.0009765625,0.6652028,-0.2673155,-0.26729897,-0.28422898,10.79721,1.1085296,0.058488123,70.301575,-0.21504903,-5.0934405,0.19949932,1.0,0.99902344,0.0009765625,0.0288649,-4.310133,-4.310092,-4.3515797,1.9410068,0.030106163,0.00021698065,0.99901104,0.0,0.021756113,-4.634754,-4.6346827,-4.708657,0.33583194,0.016642142,0.0002424769,0.011075001811981202,55.375011920928955,1
17.625618,-0.4811947,-4.653521,0.023531392,1.0,0.9993,0.6699219,0.0023065265,-21.637512,-21.657717,-0.9680449,208.10243,1.7604617,1.8453462e-06,0.10818148,-0.297395,2.4330144,0.9993,0.6660156,0.0023091692,-21.435055,-21.455156,-0.8673686,25.426556,1.790529,4.0913237e-06,31.814205,-0.42553997,-4.653735,0.023617176,1.0,0.9982405,0.359375,0.004599501,-21.138342,-21.157877,-1.1532316,90.406815,2.2393026,5.6768257e-09,0.9982128,0.32714844,0.004671628,-21.103355,-21.122797,-1.2167715,155.1694,2.5041437,4.484721e-09,0.33192012195587156,1714.9756264686584,5000
38.319134,-0.5913252,-4.6486473,0.021581957,1.0,0.99943256,0.77734375,0.0016426306,-21.144735,-21.165556,0.15465039,155.86842,4.2637506,5.8456303e-06,0.6933348,-0.6487884,7.6435947,0.9994116,0.7705078,0.0016271113,-21.047033,-21.067837,0.23359399,78.23763,4.8016205,6.033561e-06,66.1884,-0.5223683,-4.650753,0.02242432,1.0,0.99803257,0.328125,0.00537028,-20.227304,-20.24599,-1.1108685,431.54626,4.750246,1.5031945e-08,0.9980631,0.32128906,0.0052604238,-20.109566,-20.128052,-1.1986489,155.752,4.4684925,8.6608577e-07,0.32475576400756834,3338.754450559616,10000
37.013596,-0.61342466,-4.6473875,0.021077884,1.0,0.99948597,0.828125,0.0013135438,-21.001228,-21.02233,0.5864605,395.7503,5.5957704,6.3984335e-06,0.4353277,-0.40287042,3.737884,0.9994879,0.8203125,0.0012686205,-20.791452,-20.812365,0.6017904,142.43954,5.6500726,1.1893194e-05,72.985,-0.91268146,-4.645645,0.020380965,1.0,0.9983864,0.3251953,0.0052064564,-20.619507,-20.637547,-2.1637645,560.5783,4.1707535,3.804988e-12,0.9983263,0.30078125,0.0051516695,-20.348944,-20.366673,-2.2110143,357.88248,3.8150587,4.9399398e-11,0.1607727710723877,4142.618309736252,15000
33.878708,-0.61429965,-4.642164,0.018988706,1.0,0.99957466,0.8535156,0.001104024,-20.669329,-20.690466,0.95242095,224.50438,6.5113964,0.00015016114,0.7219003,-0.32805273,4.500077,0.99955463,0.85058594,0.0010973379,-20.240223,-20.261013,1.0260632,107.86594,6.8684993,5.4978365e-05,74.66271,-1.0171084,-4.6508837,0.022476317,1.0,0.99843216,0.3623047,0.0051525543,-20.076822,-20.094608,-1.8817632,1452.5465,8.292971,2.665838e-11,0.9983263,0.34375,0.005354702,-19.765753,-19.783049,-2.0729566,850.6593,6.3389025,4.2724513e-09,0.004167037200927735,4163.453500032425,20000
35.917908,-0.4427391,-4.6487293,0.021614796,1.0,0.99957466,0.86035156,0.0010596637,-20.353191,-20.373962,0.8947996,130.33383,5.906331,8.102986e-06,0.45081702,-0.6392944,5.617892,0.99955845,0.8535156,0.0010542669,-20.11739,-20.137884,0.84368277,87.1242,5.4962816,2.4567673e-06,77.23786,-1.013852,-4.6451645,0.020188732,1.0,0.9984102,0.33203125,0.0054305205,-20.023815,-20.040945,-2.5015645,602.76733,5.12673,2.254049e-09,0.99832916,0.3173828,0.005496646,-19.71398,-19.73077,-2.5387514,235.244,3.79601,1.8364467e-10,0.15105396990776063,4918.72335267067,25000
31.897411,-0.55351186,-4.6418285,0.018854428,1.0,0.9995718,0.8623047,0.0010685301,-20.094267,-20.11482,0.93170637,161.23228,6.068286,5.248056e-06,0.45911554,-0.43523052,3.6029198,0.99955654,0.8613281,0.0010501696,-19.806257,-19.826576,0.9808671,154.17316,6.1354675,1.7368006e-06,70.98719,-1.0586481,-4.6424403,0.019099012,1.0,0.99853706,0.34570312,0.0051039224,-19.68935,-19.706093,-2.5629435,1141.159,4.895718,3.5430543e-09,0.9985342,0.32617188,0.004994794,-19.351254,-19.367634,-2.5952625,265.3173,3.5736194,1.6215127e-09,0.004181177759170532,4939.629245758057,30000
28.424831,-0.5543391,-4.65349,0.02351895,1.0,0.99959946,0.87890625,0.000978671,-19.775713,-19.796112,1.0914669,364.3819,7.149111,0.00017691265,0.79390496,-0.3222263,3.825674,0.99959755,0.8720703,0.00096208934,-19.406574,-19.426601,1.0841295,198.42743,6.699527,0.0012590489,82.39081,-0.88502455,-4.6465816,0.020755757,1.0,0.9984827,0.33007812,0.0052370196,-19.380707,-19.397314,-2.3871274,301.2101,4.6651936,4.0820672e-10,0.99845886,0.33007812,0.005171026,-19.082123,-19.098375,-2.4544134,221.57289,4.2360277,6.320082e-09,0.16995318574905396,5789.395177602768,35000
30.41959,-0.51946586,-4.6438084,0.019646456,1.0,0.9995699,0.87597656,0.0009852003,-19.696247,-19.716545,1.0690536,115.27666,6.340391,0.0011350275,0.2910867,-0.22381316,2.5796976,0.99957085,0.86816406,0.0009909391,-19.37247,-19.392479,1.0962069,75.69146,6.1377425,0.0023822973,80.53602,-0.909098,-4.6397357,0.018017173,1.0,0.9985914,0.34179688,0.0049998034,-19.261963,-19.278376,-2.4693727,1920.7272,5.015737,2.2555886e-09,0.9985199,0.32910156,0.00494975,-18.99203,-19.008049,-2.601943,191.52626,3.3206534,2.1055258e-09,0.0078081986904144285,5828.436174631119,40000
28.629461,-0.44456068,-4.6472845,0.021036757,1.0,0.99961567,0.8876953,0.0009217365,-19.570555,-19.590883,1.2244742,949.572,7.771254,3.375986e-05,0.6228249,-0.15940268,3.9807644,0.9996052,0.8730469,0.0009459028,-19.219027,-19.238972,1.1860614,259.06534,7.269945,0.0006145226,72.6607,-1.0026953,-4.646522,0.02073179,1.0,0.9985399,0.3232422,0.005269918,-19.23454,-19.250679,-2.721188,354.20673,4.251242,5.151641e-10,0.99846745,0.31152344,0.0053334273,-18.9889,-19.004704,-2.8228297,313.1637,3.6547081,2.9323188e-09,0.17067438921928405,6681.808123588562,45000
