training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/binary_accuracy,training/critic/categorical_accuracy,training/critic/contrastive_loss,training/critic/logits,training/critic/logits_neg,training/critic/logits_pos,training/critic/v_max,training/critic/v_mean,training/critic/v_min,training/grad/max,training/grad/min,training/grad/norm,training/value/binary_accuracy,training/value/categorical_accuracy,training/value/contrastive_loss,training/value/logits,training/value/logits_neg,training/value/logits_pos,training/value/v_max,training/value/v_mean,training/value/v_min,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/binary_accuracy,validation/critic/categorical_accuracy,validation/critic/contrastive_loss,validation/critic/logits,validation/critic/logits_neg,validation/critic/logits_pos,validation/critic/v_max,validation/critic/v_mean,validation/critic/v_min,validation/value/binary_accuracy,validation/value/categorical_accuracy,validation/value/contrastive_loss,validation/value/logits,validation/value/logits_neg,validation/value/logits_pos,validation/value/v_max,validation/value/v_mean,validation/value/v_min,time/epoch_time,time/total_time,step
43.489136,-0.7302871,-5.0847864,0.19603753,1.0,0.5631571,0.0,0.77848345,-0.09758765,-0.09750677,-0.18033338,28.52197,1.4498549,0.021947395,0.33651313,-1.5286932,83.897415,0.6196184,0.0009765625,0.6522941,-0.2723449,-0.27252793,-0.085046746,11.501855,1.3290726,0.041972242,20.001724,-0.7131647,-5.0790367,0.19373773,1.0,0.99902344,0.0,0.012819884,-5.777067,-5.776995,-5.8506145,0.2163002,0.0076241484,1.2987391e-05,0.99902344,0.0,0.010136398,-6.126105,-6.1262217,-6.006534,0.30748078,0.0066003418,4.466701e-05,0.010469061994552612,52.345311403274536,1
7.3261786,-0.29373938,-4.650467,0.02230984,1.0,0.99903774,0.296875,0.0045830403,-15.531223,-15.542915,-3.569989,71.86435,0.19548684,5.056181e-07,0.106460236,-0.06449906,1.621027,0.9990387,0.28125,0.0045852344,-15.474444,-15.486136,-3.514103,94.59678,0.24769956,9.1572207e-07,9.57365,-0.15566537,-4.6505303,0.022335125,1.0,0.99901485,0.24902344,0.00466889,-15.32109,-15.3327875,-3.354704,21.74896,0.16125542,1.33101585e-05,0.999012,0.24414062,0.004680659,-15.375234,-15.386955,-3.384889,4.102941,0.14279944,7.799159e-06,0.08868950753211975,495.79285073280334,5000
14.8442335,-0.21564814,-4.64944,0.021898858,1.0,0.9990587,0.390625,0.004085727,-14.623419,-14.63472,-3.0629659,31.173706,0.3254661,2.0992262e-07,0.20587943,-0.25769097,2.0319514,0.9990549,0.3779297,0.004099177,-14.767648,-14.779039,-3.1144357,55.60793,0.36691558,1.5361161e-06,12.767523,-0.2813751,-4.648717,0.021609697,1.0,0.99894047,0.26367188,0.00485701,-14.64851,-14.659345,-3.563898,31.475327,0.26477924,1.197346e-07,0.99893475,0.24902344,0.00488207,-14.799095,-14.810064,-3.5764723,50.10576,0.2884988,1.7742916e-06,0.10568204641342163,1024.2030839920044,10000
20.755749,-0.3777535,-4.6529713,0.023311345,1.0,0.9991045,0.4326172,0.003711089,-14.37421,-14.385723,-2.5963912,132.09988,0.7260691,5.532843e-06,0.24582453,-0.2866008,2.084937,0.9991045,0.4091797,0.003711,-14.525726,-14.537411,-2.5716734,282.2835,0.85892665,1.3125453e-05,29.681664,-0.3312949,-4.64824,0.02141917,1.0,0.9989338,0.29003906,0.0048102485,-14.295752,-14.306485,-3.3145242,231.56453,0.68694645,4.002779e-09,0.9989033,0.28125,0.0048255995,-14.49408,-14.504912,-3.4122481,34.47515,0.47710347,1.0594102e-08,0.05900578722953796,1319.2320227622986,15000
39.876263,-0.4496675,-4.636244,0.01662056,1.0,0.99919605,0.48632812,0.0033416701,-14.960618,-14.973061,-2.2324347,18.912592,0.7285265,7.7689936e-07,0.41888505,-0.4978075,3.9805145,0.9991627,0.46191406,0.003340533,-15.092537,-15.105126,-2.2143111,31.652338,0.7380083,6.134584e-07,44.29103,-0.6144353,-4.6445103,0.01992697,1.0,0.998868,0.2998047,0.0051661967,-14.695099,-14.706086,-3.455206,268.42493,0.9541877,3.0237737e-09,0.99878407,0.2841797,0.0052664476,-14.833518,-14.8446245,-3.4718003,60.2168,0.9266068,6.920777e-08,0.018351270723342895,1410.9883778095245,20000
39.314774,-0.67301357,-4.6393824,0.01787605,1.0,0.9992094,0.5830078,0.0028476457,-15.922671,-15.93659,-1.6831118,33.7737,1.1120121,5.75052e-06,0.38023394,-0.4673529,3.7812908,0.99917793,0.5410156,0.0028721802,-16.098633,-16.112762,-1.6446929,43.461693,1.1450055,1.1079355e-05,67.115585,-0.65245503,-4.6373186,0.017050391,1.0,0.9988527,0.27929688,0.0056487615,-15.877563,-15.889058,-4.1181083,57.800354,0.89662135,1.3122823e-07,0.9988308,0.24609375,0.0056503154,-16.019272,-16.030836,-4.189062,34.137722,0.9020018,5.143583e-09,0.10094770984649658,1915.726928949356,25000
58.132133,-0.7128542,-4.6366134,0.016768295,1.0,0.9992151,0.6191406,0.0026281737,-16.61293,-16.627928,-1.2714651,128.13075,1.6201998,5.7641532e-06,1.001745,-0.47726703,5.6907816,0.9991722,0.5957031,0.0026660818,-16.779305,-16.794466,-1.2700456,35.061714,1.5061643,8.212805e-06,75.68229,-0.78955317,-4.639248,0.017822282,1.0,0.99880695,0.25390625,0.0061430186,-16.503778,-16.515533,-4.4782867,219.63097,1.4344263,4.9337815e-11,0.99876785,0.23535156,0.0060955225,-16.709812,-16.721724,-4.5261135,82.71718,1.0500989,8.9405985e-09,0.012326303577423096,1977.358448266983,30000
67.41871,-0.6588097,-4.6398935,0.018080333,1.0,0.9992752,0.6640625,0.0024525644,-17.374582,-17.390518,-1.071537,172.67531,1.9653883,6.323627e-07,0.8256619,-0.44826072,6.3475876,0.9992428,0.6171875,0.0024463716,-17.473972,-17.489931,-1.1469132,51.641888,1.8064371,9.557305e-10,84.464096,-0.88258183,-4.638315,0.017449081,1.0,0.9988022,0.2626953,0.0063800616,-17.120539,-17.132723,-4.657078,997.3143,2.277502,2.0022378e-11,0.9987354,0.23046875,0.00637346,-17.134312,-17.14653,-4.634349,189.35774,1.5800049,2.8508091e-09,0.10431312098503112,2498.924055337906,35000
57.192825,-0.7760886,-4.6378417,0.017259624,1.0,0.9992552,0.6699219,0.0024366407,-17.572388,-17.588543,-1.043813,179.68512,2.2690842,4.2533866e-08,0.3271228,-0.38299617,4.850507,0.9992056,0.5996094,0.002470916,-17.743868,-17.76017,-1.066016,98.98221,2.1645324,3.0813826e-06,84.79791,-0.95875096,-4.6354265,0.01629359,1.0,0.99879074,0.2626953,0.0066744215,-17.611706,-17.62411,-4.9250946,1209.3282,4.9781985,7.022864e-11,0.99878216,0.24414062,0.006620402,-17.701988,-17.714516,-4.887541,687.52435,3.9249144,2.1302465e-10,0.012305566263198852,2560.4518880844116,40000
67.23137,-0.74193764,-4.63458,0.015955057,1.0,0.9992981,0.703125,0.0021986486,-17.970045,-17.986813,-0.8154212,146.44067,2.2186732,5.4773967e-08,1.401333,-0.46756333,5.8652925,0.9992695,0.6533203,0.0022091705,-17.998934,-18.015724,-0.8212714,451.23962,2.7092733,1.4023351e-07,83.72853,-1.0931363,-4.6413565,0.018665556,1.0,0.99872303,0.24707031,0.0071130246,-17.993896,-18.006462,-5.1390376,9947.705,8.155418,1.0236354e-09,0.9986658,0.22558594,0.0069927946,-17.999462,-18.01207,-5.102445,345.06305,2.8686018,8.3945384e-10,0.10400066366195679,3080.4552075862885,45000
