training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/critic/binary_accuracy;training/critic/categorical_accuracy;training/critic/contrastive_loss;training/critic/logits;training/critic/logits_neg;training/critic/logits_pos;training/critic/v_max;training/critic/v_mean;training/critic/v_min;training/grad/max;training/grad/min;training/grad/norm;training/value/binary_accuracy;training/value/categorical_accuracy;training/value/contrastive_loss;training/value/logits;training/value/logits_neg;training/value/logits_pos;training/value/v_max;training/value/v_mean;training/value/v_min;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/critic/binary_accuracy;validation/critic/categorical_accuracy;validation/critic/contrastive_loss;validation/critic/logits;validation/critic/logits_neg;validation/critic/logits_pos;validation/critic/v_max;validation/critic/v_mean;validation/critic/v_min;validation/value/binary_accuracy;validation/value/categorical_accuracy;validation/value/contrastive_loss;validation/value/logits;validation/value/logits_neg;validation/value/logits_pos;validation/value/v_max;validation/value/v_mean;validation/value/v_min;time/epoch_time;time/total_time;step
308.3495;-0.39901358;-24.506653;0.4960899;1.0;0.4514141;0.0;0.85008526;0.084341705;0.08430102;0.12596521;26.449728;1.8876747;0.027028797;23.15498;-22.7681;461.19138;0.51122665;0.0;0.7955881;-0.028392196;-0.028384715;-0.03604631;16.90817;1.5666735;0.07974282;315.0237;-0.31202433;-23.851301;0.4336755;1.0;0.8806429;0.0009765625;0.42603874;-1.0218129;-1.0217617;-1.0742292;22.352524;0.692404;0.00090333464;0.8588486;0.0;0.3620042;-1.2920679;-1.2919756;-1.386481;6.0408206;0.52424204;0.0014049793;0.000686502400016728;76.27797269821167;1
222.88339;-0.7725581;-20.137918;0.08002002;1.0;0.9991579;0.4794922;0.0034311693;-12.493034;-12.502978;-2.3209379;143.76407;0.9906965;4.009719e-08;3.236111;-2.0491924;63.79088;0.9991312;0.4580078;0.0034923;-12.371347;-12.381119;-2.3740745;37.165;0.7749052;5.313363e-08;182.66998;-0.8644218;-20.210075;0.08689205;1.0;0.9990282;0.29785156;0.004833774;-12.379822;-12.38841;-3.595111;102.20824;0.71195614;1.642926e-08;0.9990101;0.2861328;0.0047816234;-12.236061;-12.244591;-3.5108113;427.07275;1.0214938;3.2394617e-08;0.017782022302200145;2052.056256055832;111112
239.65308;-0.8308507;-20.115582;0.07789258;1.0;0.9991627;0.49121094;0.0033701854;-12.908271;-12.918765;-2.1723971;109.77942;1.1582062;1.8913516e-06;2.351127;-2.1687891;65.01414;0.999136;0.46191406;0.0033930533;-12.864651;-12.875069;-2.2064915;32.412525;0.9393814;7.208085e-06;315.4643;-0.7424474;-20.169842;0.08306016;1.0;0.99900436;0.31835938;0.004778574;-12.838125;-12.847214;-3.541241;297.6156;0.8263166;1.16565964e-07;0.9989805;0.2783203;0.0047950465;-12.786513;-12.795445;-3.6495802;18.71039;0.47604257;1.7335918e-08;0.009200205955138359;3074.300347805023;222223
306.96997;-0.73852503;-20.063534;0.07293567;1.0;0.9991913;0.5498047;0.0031030886;-13.171337;-13.182391;-1.8626878;83.1031;1.3856673;1.4563516e-08;2.8798378;-2.7274513;73.78224;0.99917126;0.5058594;0.0031213183;-13.145893;-13.15689;-1.8958265;371.3092;1.7379829;2.0344778e-08;310.18774;-0.8971598;-20.140476;0.08026335;1.0;0.99901295;0.31347656;0.0048815515;-13.038896;-13.048126;-3.595529;185.60388;0.9373289;4.1912635e-08;0.99895954;0.27148438;0.004918706;-13.015101;-13.02417;-3.7388387;344.7588;0.93034124;1.3020117e-07;0.008528382402808291;4021.89745426178;333334
285.52515;-0.8170486;-20.102419;0.07663894;1.0;0.99921227;0.56933594;0.0029810765;-13.318461;-13.329771;-1.7493021;241.31958;1.5827963;1.5112541e-06;3.4179716;-3.2148;79.066345;0.99918556;0.5439453;0.0029919522;-13.254389;-13.265598;-1.7874857;135.08185;1.449951;4.310281e-06;320.47543;-0.7268283;-20.13897;0.08011996;1.0;0.99902153;0.31640625;0.004949118;-13.147991;-13.157316;-3.60951;105.39406;0.7428204;5.65625e-08;0.99897003;0.2861328;0.0049932953;-13.131622;-13.1407995;-3.7420864;41.382248;0.6706093;2.996104e-08;0.008433328083978108;4958.932979345322;444445
284.28812;-0.9107077;-20.086632;0.07513551;1.0;0.99919796;0.5566406;0.0031333177;-13.595547;-13.606893;-1.9871796;74.00463;1.2035671;4.709259e-10;2.6225069;-2.78564;74.31711;0.99916553;0.49902344;0.003186312;-13.548207;-13.559463;-2.0336862;125.75947;1.2453082;5.1000325e-07;296.64172;-1.096131;-20.126318;0.07891509;1.0;0.9989824;0.29003906;0.0051169153;-13.432508;-13.4419;-3.8245807;575.8446;1.6386586;5.7767934e-08;0.99895096;0.2705078;0.0050518354;-13.317235;-13.326603;-3.733171;550.428;1.6234889;7.3886035e-08;0.008620045461914817;5916.714856624603;555556
304.26746;-0.9245459;-20.056255;0.07224249;1.0;0.99921036;0.56152344;0.0030440954;-13.610233;-13.621812;-1.7653849;174.63213;1.6297958;2.8907653e-08;3.253096;-2.611206;80.821045;0.99919415;0.5234375;0.0030347686;-13.587065;-13.598624;-1.7620808;85.73855;1.4919573;6.3444e-07;350.37964;-0.8791831;-20.107952;0.07716601;1.0;0.99900913;0.3095703;0.005066935;-13.529102;-13.538616;-3.7965233;117.32859;0.8788086;6.253555e-09;0.9989834;0.2890625;0.0049802237;-13.467747;-13.477254;-3.742225;359.89944;1.292788;6.8200956e-09;0.008600067720484363;6872.276986837387;666667
268.35928;-0.85970116;-20.047783;0.071435824;1.0;0.99921227;0.56640625;0.0029950943;-13.609594;-13.621181;-1.7575412;63.214306;1.3942095;1.3206929e-07;2.6217124;-2.5554557;76.847046;0.9991722;0.5107422;0.0030141089;-13.49386;-13.505292;-1.7982442;48.872353;1.3034337;5.8352117e-07;320.29755;-0.973209;-20.126865;0.07896729;1.0;0.99903584;0.3095703;0.0049830456;-13.502552;-13.511968;-3.8710897;606.4006;1.2859588;1.0235812e-08;0.9989805;0.2705078;0.0049597137;-13.386879;-13.396231;-3.821374;77.191895;0.7964196;6.4135497e-09;0.00856379002407521;7823.808268785477;777778
358.06152;-0.68391526;-20.058117;0.072419755;1.0;0.9992409;0.58691406;0.0028942926;-13.771273;-13.783152;-1.619035;159.94653;1.6448497;4.7878515e-08;2.953734;-3.4424913;84.05544;0.99921036;0.53125;0.0029854458;-13.784111;-13.795842;-1.7832369;54.522507;1.4380165;4.7046025e-09;315.37814;-0.97492063;-20.12547;0.07883442;1.0;0.99895954;0.3232422;0.0049903253;-13.568084;-13.577892;-3.5350482;8167.595;5.507632;5.6391194e-09;0.99891853;0.29101562;0.0050147567;-13.505334;-13.515067;-3.5475342;78.547516;1.2089181;1.3707955e-08;0.008555674501204438;8774.437827825546;888889
300.57605;-0.8228148;-20.036572;0.070368;1.0;0.9992218;0.59277344;0.0029230444;-13.713387;-13.725158;-1.6704068;149.50316;1.650161;8.665464e-08;2.8529375;-2.504818;76.32928;0.9992008;0.54296875;0.0030034557;-13.594147;-13.605732;-1.7420486;113.69014;1.579061;1.818099e-08;311.6844;-1.11541;-20.100605;0.076466426;1.0;0.9989815;0.29589844;0.00510051;-13.599564;-13.609075;-3.8691235;2644.7317;2.0466022;3.2844043e-09;0.9989443;0.24804688;0.0050941845;-13.442453;-13.451882;-3.797097;794.4738;1.7715163;4.1778128e-09;0.008427790357521727;9710.858047485352;1000000
