training/actor/actor_loss;training/actor/adv;training/actor/bc_log_prob;training/actor/mse;training/actor/std;training/critic/binary_accuracy;training/critic/categorical_accuracy;training/critic/contrastive_loss;training/critic/logits;training/critic/logits_neg;training/critic/logits_pos;training/critic/v_max;training/critic/v_mean;training/critic/v_min;training/grad/max;training/grad/min;training/grad/norm;training/value/binary_accuracy;training/value/categorical_accuracy;training/value/contrastive_loss;training/value/logits;training/value/logits_neg;training/value/logits_pos;training/value/v_max;training/value/v_mean;training/value/v_min;validation/actor/actor_loss;validation/actor/adv;validation/actor/bc_log_prob;validation/actor/mse;validation/actor/std;validation/critic/binary_accuracy;validation/critic/categorical_accuracy;validation/critic/contrastive_loss;validation/critic/logits;validation/critic/logits_neg;validation/critic/logits_pos;validation/critic/v_max;validation/critic/v_mean;validation/critic/v_min;validation/value/binary_accuracy;validation/value/categorical_accuracy;validation/value/contrastive_loss;validation/value/logits;validation/value/logits_neg;validation/value/logits_pos;validation/value/v_max;validation/value/v_mean;validation/value/v_min;time/epoch_time;time/total_time;step
3.5898907;-0.6516287;-2.3477898;0.50991285;1.0;0.89341927;0.0009765625;0.3682363;-1.0350792;-1.0350424;-1.0727547;18.444563;0.59071934;0.053921416;0.79122454;-0.8590876;95.22437;0.8585987;0.0009765625;0.45140076;-0.644013;-0.6439829;-0.6747868;2.2617831;0.5656776;0.19554451;3.381867;-0.37945127;-2.326978;0.489101;1.0;0.9951792;0.0;0.016823525;-9.959384;-9.959341;-10.003775;8.3769865;0.014736563;4.195667e-06;0.9951172;0.0;0.020388816;-9.722766;-9.722683;-9.8078785;29.108877;0.03431742;7.3521587e-06;0.0003302504780699971;36.694464921951294;1
6.0606413;-0.07904816;-2.3298407;0.49196345;1.0;0.99902344;0.016601562;0.0067715496;-7.813565;-7.815398;-5.9384003;0.38010988;0.014854172;2.4857378e-05;0.61519355;-0.7163454;8.253604;0.99902344;0.026367188;0.006926068;-7.666151;-7.667702;-6.079197;0.36828008;0.014288934;1.9576106e-05;5.5599537;-0.08367579;-2.34737;0.5094928;1.0;0.99902344;0.0234375;0.006862888;-7.7245946;-7.7263074;-5.9723296;0.29045954;0.0131766675;3.4470428e-05;0.99902344;0.024414062;0.0070140823;-7.566169;-7.567584;-6.1179533;0.2947136;0.011943397;6.81741e-05;0.0052997498113541205;625.5549700260162;111112
5.7065163;-0.0976606;-2.3147638;0.4768868;1.0;0.99902344;0.036132812;0.0066652186;-7.7481813;-7.750062;-5.8241434;0.3817244;0.015613321;3.812306e-05;0.28084132;-0.3581555;3.616857;0.99902344;0.032226562;0.0068235546;-7.5868006;-7.5883765;-5.9742312;0.22153796;0.0144767575;7.763587e-05;5.909404;-0.079373926;-2.3465426;0.50866556;1.0;0.99902344;0.021484375;0.0068058833;-7.7035594;-7.705307;-5.915637;0.21816996;0.012836396;5.36136e-05;0.99902344;0.024414062;0.0069404272;-7.5651464;-7.5666237;-6.053192;0.2097727;0.012059381;5.4731496e-05;0.0040987984332100545;1080.9765646457672;222223
5.5795;-0.08447981;-2.3273084;0.48943156;1.0;0.99902344;0.03515625;0.006737133;-7.8028812;-7.804738;-5.903789;0.3498181;0.014305027;3.0020343e-05;0.24553475;-0.4513163;4.954307;0.99902344;0.022460938;0.006897203;-7.646675;-7.6482215;-6.06507;0.36844862;0.013204285;4.1476105e-05;5.520146;-0.1085815;-2.3449895;0.50711256;1.0;0.99902344;0.028320312;0.0068286248;-7.795246;-7.7970695;-5.9301677;0.36511973;0.015587516;5.1079136e-05;0.99902344;0.020507812;0.006952081;-7.6345887;-7.63614;-6.0481544;0.30261463;0.014373922;3.12788e-05;0.004033936035526764;1529.1912348270416;333334
5.7660017;-0.08675443;-2.3088076;0.47093052;1.0;0.99902344;0.034179688;0.006561445;-7.835215;-7.837292;-5.7106714;0.45034212;0.018012894;2.0026679e-05;0.22177434;-0.36710066;5.135647;0.99902344;0.029296875;0.006737632;-7.6707745;-7.67251;-5.894908;0.3018208;0.015794195;3.775103e-05;5.8811145;-0.080029115;-2.327334;0.48945677;1.0;0.99902344;0.028320312;0.0068237744;-7.773241;-7.7750707;-5.9012136;0.32634744;0.0151564665;1.4169224e-05;0.99902344;0.033203125;0.0069582793;-7.6017494;-7.603284;-6.03244;0.29530644;0.014416415;2.424775e-05;0.004046609307696725;1978.8140437602997;444445
6.3166723;-0.10279243;-2.3322377;0.49436086;1.0;0.99902344;0.0390625;0.006600459;-7.8647056;-7.8667517;-5.7710304;0.39400765;0.015981311;2.2115337e-05;0.30476326;-0.3482155;3.9037578;0.99902344;0.026367188;0.006786149;-7.6927323;-7.694434;-5.951722;0.23912857;0.014705907;3.132432e-05;5.210128;-0.110789455;-2.3615267;0.5236496;1.0;0.99902344;0.026367188;0.006846888;-7.8002625;-7.802037;-5.985223;0.25161508;0.012212575;2.5369265e-05;0.99902344;0.028320312;0.0069955206;-7.6386204;-7.6400895;-6.1357756;0.19660535;0.011154756;2.2396072e-05;0.0040773910364669645;2431.8570420742035;555556
4.9924316;-0.103985354;-2.3116012;0.4737241;1.0;0.99902344;0.032226562;0.0066731074;-7.8433695;-7.8453383;-5.829835;0.34286404;0.016427124;2.4486802e-05;0.36736813;-0.25683266;3.7077951;0.9990244;0.028320312;0.006824391;-7.695646;-7.697311;-5.9919868;3.2748432;0.017850805;7.401401e-05;5.999133;-0.09734294;-2.326685;0.4888079;1.0;0.99902344;0.026367188;0.0068145473;-7.8052096;-7.807097;-5.8737936;0.32448772;0.017542262;2.367844e-05;0.99902344;0.024414062;0.0069569964;-7.6371193;-7.6386824;-6.03814;0.32162106;0.015593289;5.911929e-05;0.004036534381974293;2880.3604176044464;666667
6.145652;-0.06253776;-2.3129866;0.47510958;1.0;0.99902344;0.046875;0.006638974;-7.8780365;-7.8800797;-5.787486;0.46079606;0.016600259;9.311406e-06;0.37012994;-0.6834551;6.6245055;0.99902344;0.041015625;0.0068146;-7.7510633;-7.75279;-5.9844;0.34014887;0.014846938;2.454338e-05;4.9261484;-0.10788732;-2.3280113;0.4901343;1.0;0.99902344;0.032226562;0.0068603484;-7.8275757;-7.8294063;-5.954816;0.33809832;0.01494466;2.4071285e-05;0.99902344;0.032226562;0.006956681;-7.687946;-7.6895356;-6.061428;0.32962885;0.014123328;7.794824e-06;0.004039310177110394;3329.172214269638;777778
5.2894335;-0.11355635;-2.3277392;0.48986235;1.0;0.99902344;0.04296875;0.006497893;-7.9148793;-7.917097;-5.64614;0.3051969;0.01824608;1.1499115e-05;0.6141094;-0.31432435;4.134366;0.99902344;0.026367188;0.0066715507;-7.7392073;-7.741085;-5.818389;0.2609158;0.017355744;3.4926983e-05;5.9561944;-0.11465781;-2.3579867;0.52010965;1.0;0.99902344;0.029296875;0.0069317366;-7.7433424;-7.745013;-6.033949;0.3673041;0.0128822485;2.357578e-05;0.99902344;0.021484375;0.007080604;-7.570404;-7.571761;-6.1818485;0.39589277;0.0119068725;3.525114e-05;0.004084478233705376;3783.002678155899;888889
6.9848413;-0.0880305;-2.3383365;0.5004593;1.0;0.99902344;0.044921875;0.006582941;-7.879094;-7.881182;-5.742687;4.191816;0.019468985;2.7242751e-05;0.38921997;-0.901949;7.212006;0.99902344;0.021484375;0.0067558247;-7.739996;-7.7417603;-5.934731;0.28938583;0.015157273;2.1780945e-05;4.9855523;-0.13934073;-2.3272727;0.48939562;1.0;0.99902344;0.034179688;0.0068033775;-7.7944317;-7.7962775;-5.9060984;0.43370277;0.014253507;1.7290837e-05;0.99902344;0.029296875;0.0069711786;-7.651432;-7.6529636;-6.0841665;0.27029887;0.012408641;1.6396383e-05;0.004076941517098454;4235.995730161667;1000000
