training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.778909,-9.778909,0.6068501,1.0,0.33018887,-0.16900593,4.709584,9.768553,-9.768553,0.6042613,1.0,0.001944305658340454,9.721529960632324,1
9.273,-9.273,0.4803729,1.0,0.0704954,-0.06946006,1.5346221,9.313902,-9.313902,0.49059838,1.0,0.20130577664375304,1016.2504141330719,5000
9.280552,-9.280552,0.48226094,1.0,0.08857534,-0.09509845,1.5154313,9.310088,-9.310088,0.48964515,1.0,0.200212105178833,2017.3109414577484,10000
9.266913,-9.266913,0.47885132,1.0,0.098200805,-0.13080299,1.5549407,9.25736,-9.25736,0.4764629,1.0,0.10522246465682983,2543.423266172409,15000
9.319429,-9.319429,0.4919802,1.0,0.07376771,-0.12257364,1.7865,9.287542,-9.287542,0.48400837,1.0,0.0015629821300506591,2551.238179922104,20000
9.252041,-9.252041,0.47513306,1.0,0.11632723,-0.070197225,1.4497296,9.284969,-9.284969,0.48336533,1.0,0.10672002058029174,3084.838283777237,25000
9.293165,-9.293165,0.48541418,1.0,0.09286599,-0.078614056,1.5800766,9.2856245,-9.2856245,0.4835291,1.0,0.0014600181102752685,3092.1383757591248,30000
9.288685,-9.288685,0.48429406,1.0,0.052839123,-0.06292368,1.2572006,9.255089,-9.255089,0.47589517,1.0,0.10626215782165527,3623.4491662979126,35000
9.232645,-9.232645,0.4702841,1.0,0.10489929,-0.07275416,1.4064585,9.259076,-9.259076,0.47689202,1.0,0.0015569718837738038,3631.2340292930603,40000
9.273308,-9.273308,0.4804499,1.0,0.0736012,-0.10796709,1.389065,9.265559,-9.265559,0.47851267,1.0,0.10440327219963073,4153.250392198563,45000
9.234707,-9.234707,0.47079977,1.0,0.075063705,-0.12172598,1.519125,9.269048,-9.269048,0.4793848,1.0,0.0015323552131652832,4160.9121696949005,50000
9.224476,-9.224476,0.46824175,1.0,0.10154639,-0.13492958,1.6239235,9.254934,-9.254934,0.47585657,1.0,0.10466431970596314,4684.233769416809,55000
9.246678,-9.246678,0.47379255,1.0,0.15081549,-0.1201268,1.5820303,9.258812,-9.258812,0.47682616,1.0,0.001481841230392456,4691.642977952957,60000
9.296239,-9.296239,0.48618257,1.0,0.07706408,-0.1070564,1.5217127,9.291281,-9.291281,0.48494315,1.0,0.0014691428661346435,4698.988693475723,65000
9.254499,-9.254499,0.47574782,1.0,0.0815068,-0.07409796,1.5591226,9.313681,-9.313681,0.49054295,1.0,0.0014690064430236817,4706.333726644516,70000
9.287207,-9.287207,0.48392475,1.0,0.07869137,-0.10551007,1.5012956,9.259462,-9.259462,0.47698864,1.0,0.0014796318054199219,4713.7318868637085,75000
9.27245,-9.27245,0.48023546,1.0,0.0871622,-0.060946293,1.4174429,9.279723,-9.279723,0.48205388,1.0,0.10543257560729981,5240.894765615463,80000
9.239164,-9.239164,0.47191417,1.0,0.10114094,-0.08763888,1.5051345,9.238331,-9.238331,0.4717058,1.0,0.001495317316055298,5248.3713545799255,85000
9.237997,-9.237997,0.4716221,1.0,0.073235966,-0.07731849,1.480203,9.265984,-9.265984,0.47861898,1.0,0.0014842235565185548,5255.792473077774,90000
9.288568,-9.288568,0.48426485,1.0,0.08607953,-0.11020276,1.6163316,9.264919,-9.264919,0.4783528,1.0,0.0014924779415130616,5263.254863977432,95000
9.224453,-9.224453,0.46823615,1.0,0.10670408,-0.10212327,1.6658087,9.292776,-9.292776,0.48531693,1.0,0.0014923992156982422,5270.716861248016,100000
9.235804,-9.235804,0.47107413,1.0,0.11525424,-0.08746867,1.6015589,9.237547,-9.237547,0.47150964,1.0,0.1068748761177063,5805.091243028641,105000
