training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.418623,-9.418623,0.5167788,1.0,0.839246,-1.151674,10.47882,9.268951,-9.268951,0.47936088,1.0,0.0029727034091949463,14.86351990699768,1
7.7104588,-7.7104588,0.08973768,1.0,0.064383976,-0.05978006,1.7087722,7.735602,-7.735602,0.09602346,1.0,0.19698614282608032,999.7942359447479,5000
7.638831,-7.638831,0.071830764,1.0,0.07832892,-0.11287196,1.6452966,7.688487,-7.688487,0.08424476,1.0,0.19404985284805298,1970.0435028076172,10000
7.6536083,-7.6536083,0.07552507,1.0,0.051996797,-0.058340866,1.4607445,7.6545463,-7.6545463,0.0757595,1.0,0.09870100002288819,2463.5485093593597,15000
7.6379447,-7.6379447,0.07160907,1.0,0.05731662,-0.050651748,1.3399327,7.6622963,-7.6622963,0.07769708,1.0,0.002244285249710083,2474.76993727684,20000
7.593049,-7.593049,0.060385115,1.0,0.04290023,-0.057058327,1.1964633,7.676134,-7.676134,0.08115651,1.0,0.09734559273719788,2961.497902870178,25000
7.6114645,-7.6114645,0.06498912,1.0,0.07126889,-0.08764926,1.3259755,7.6305437,-7.6305437,0.0697588,1.0,0.002288711214065552,2972.941460609436,30000
7.610112,-7.610112,0.06465097,1.0,0.070754625,-0.05300042,1.2365655,7.632231,-7.632231,0.07018079,1.0,0.09631567349433899,3454.519830226898,35000
7.6152625,-7.6152625,0.06593865,1.0,0.073362514,-0.050492156,1.1672575,7.63626,-7.63626,0.071188,1.0,0.002167870807647705,3465.359185695648,40000
7.5888023,-7.5888023,0.05932364,1.0,0.09528948,-0.055890474,1.2868102,7.638403,-7.638403,0.07172361,1.0,0.09452606248855591,3937.989500284195,45000
7.585593,-7.585593,0.058521263,1.0,0.067578994,-0.05083262,1.1887054,7.6485314,-7.6485314,0.074255854,1.0,0.00226688117980957,3949.32390832901,50000
7.586585,-7.586585,0.05876932,1.0,0.08210865,-0.056040376,1.2724879,7.6290793,-7.6290793,0.06939286,1.0,0.09526670145988464,4425.657419204712,55000
7.595731,-7.595731,0.06105557,1.0,0.045966625,-0.052734107,1.1192448,7.646583,-7.646583,0.073768765,1.0,0.0022432016372680662,4436.873429298401,60000
7.582569,-7.582569,0.057765324,1.0,0.07283598,-0.071723044,1.2696776,7.65757,-7.65757,0.07651557,1.0,0.002263644790649414,4448.191654682159,65000
7.586566,-7.586566,0.058764502,1.0,0.09253854,-0.081944555,1.3637505,7.62865,-7.62865,0.06928554,1.0,0.002291687488555908,4459.650093317032,70000
7.5721626,-7.5721626,0.05516354,1.0,0.0520596,-0.067855574,1.2024338,7.6400995,-7.6400995,0.07214786,1.0,0.002247338056564331,4470.886785507202,75000
7.5954876,-7.5954876,0.060994945,1.0,0.059675172,-0.06917495,1.231231,7.6326556,-7.6326556,0.07028691,1.0,0.09337756371498108,4937.774605751038,80000
7.5773945,-7.5773945,0.056471556,1.0,0.068516634,-0.07310946,1.1643239,7.61467,-7.61467,0.0657904,1.0,0.0022449798107147217,4948.999506235123,85000
7.56948,-7.56948,0.054492988,1.0,0.05666575,-0.106725164,1.2432443,7.618761,-7.618761,0.06681315,1.0,0.0022284326076507568,4960.1416709423065,90000
7.573086,-7.573086,0.055394456,1.0,0.062593125,-0.06530862,1.1823262,7.6393275,-7.6393275,0.07195489,1.0,0.0022432124614715577,4971.3577353954315,95000
7.5812416,-7.5812416,0.057433423,1.0,0.0882656,-0.08814,1.324383,7.616865,-7.616865,0.066339195,1.0,0.002049124336242676,4981.6033589839935,100000
7.588466,-7.588466,0.059239503,1.0,0.080529526,-0.06505742,1.2745743,7.643789,-7.643789,0.073070124,1.0,0.08744929900169372,5418.8498566150665,105000
7.5705314,-7.5705314,0.05475585,1.0,0.072454296,-0.07994126,1.2528999,7.635783,-7.635783,0.07106878,1.0,0.002346223974227905,5430.580978393555,110000
7.561928,-7.561928,0.052604906,1.0,0.05945484,-0.0445731,1.1267902,7.6483026,-7.6483026,0.0741986,1.0,0.0022238908290863036,5441.700434207916,115000
7.580668,-7.580668,0.05728994,1.0,0.08070631,-0.06273156,1.3085018,7.6317015,-7.6317015,0.07004839,1.0,0.0022422992706298828,5452.911932468414,120000
7.5424023,-7.5424023,0.04772342,1.0,0.08760698,-0.058705814,1.1838433,7.6400414,-7.6400414,0.07213336,1.0,0.0022340968132019043,5464.0824184417725,125000
7.5655003,-7.5655003,0.053498097,1.0,0.06805919,-0.060088728,1.17504,7.626786,-7.626786,0.06881958,1.0,0.0022874693393707276,5475.5197694301605,130000
7.556422,-7.556422,0.051228598,1.0,0.1616606,-0.08654815,1.2774527,7.6415663,-7.6415663,0.07251452,1.0,0.002292750597000122,5486.983524799347,135000
7.571806,-7.571806,0.05507441,1.0,0.099475905,-0.07946925,1.3411882,7.653901,-7.653901,0.07559838,1.0,0.0022644795894622804,5498.3059258461,140000
7.5638294,-7.5638294,0.053080212,1.0,0.07654809,-0.07997441,1.2958852,7.63639,-7.63639,0.071220495,1.0,0.0022243088722229006,5509.427471876144,145000
7.564694,-7.564694,0.053296458,1.0,0.13353792,-0.084395096,1.3614974,7.6401052,-7.6401052,0.07214923,1.0,0.0019964115142822266,5519.409531354904,150000
7.5550303,-7.5550303,0.050880544,1.0,0.071846366,-0.105254784,1.3508445,7.6301656,-7.6301656,0.06966439,1.0,0.08899411067962647,5964.380088090897,155000
7.5580473,-7.5580473,0.051634774,1.0,0.100015916,-0.11217727,1.2783155,7.647212,-7.647212,0.073926024,1.0,0.0022318772315979003,5975.539476156235,160000
7.552695,-7.552695,0.050296612,1.0,0.09227745,-0.11415465,1.2282028,7.640635,-7.640635,0.07228171,1.0,0.002222625255584717,5986.652604341507,165000
7.5440083,-7.5440083,0.048125103,1.0,0.06458774,-0.05311549,1.1964949,7.6358643,-7.6358643,0.071089104,1.0,0.0022437925338745115,5997.87156867981,170000
7.554432,-7.554432,0.050730914,1.0,0.09050786,-0.13120642,1.3386937,7.6412563,-7.6412563,0.07243702,1.0,0.0022266526222229003,6009.004834651947,175000
7.5474386,-7.5474386,0.048982628,1.0,0.065310836,-0.054906435,1.1440463,7.6423407,-7.6423407,0.072708085,1.0,0.002289444351196289,6020.4520580768585,180000
7.560629,-7.560629,0.052280217,1.0,0.06890756,-0.08192761,1.3576536,7.6424356,-7.6424356,0.07273184,1.0,0.002205414342880249,6031.479131937027,185000
