training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.37832,-9.37832,0.5067029,1.0,0.7648814,-0.8786437,11.978708,9.23699,-9.23699,0.47137058,1.0,0.002204321527481079,11.02160930633545,1
7.726177,-7.726177,0.09366725,1.0,0.10977291,-0.1354444,2.3519678,7.7466702,-7.7466702,0.09879048,1.0,0.19751486887931824,998.5959556102753,5000
7.7023907,-7.7023907,0.08772064,1.0,0.15275854,-0.1584671,2.4207282,7.684516,-7.684516,0.08325204,1.0,0.19753014993667603,1986.2467067241669,10000
7.6649094,-7.6649094,0.078350425,1.0,0.17525184,-0.13519713,2.3379207,7.6858253,-7.6858253,0.08357921,1.0,0.1024957721233368,2498.7255704402924,15000
7.662741,-7.662741,0.077808276,1.0,0.12174379,-0.12826629,1.7429425,7.6446466,-7.6446466,0.07328465,1.0,0.0016634364604949951,2507.042754173279,20000
7.6243067,-7.6243067,0.068199575,1.0,0.11392661,-0.1033105,1.6277295,7.6347027,-7.6347027,0.07079868,1.0,0.10145586624145508,3014.322086572647,25000
7.6250043,-7.6250043,0.068373986,1.0,0.186022,-0.21212153,2.2117405,7.6379375,-7.6379375,0.071607396,1.0,0.0014719327926635741,3021.681751728058,30000
7.6267653,-7.6267653,0.06881428,1.0,0.15402396,-0.12383272,2.0308058,7.630826,-7.630826,0.06982955,1.0,0.10247123832702637,3534.0379469394684,35000
7.6201105,-7.6201105,0.06715067,1.0,0.13622624,-0.22007473,2.3167458,7.6289663,-7.6289663,0.06936464,1.0,0.0016234525203704833,3542.155215740204,40000
7.604492,-7.604492,0.06324596,1.0,0.07989848,-0.08347254,1.5117443,7.6371574,-7.6371574,0.071412325,1.0,0.10273688292503357,4055.839631795883,45000
7.612486,-7.612486,0.06524439,1.0,0.18883769,-0.19829702,1.9191623,7.622634,-7.622634,0.06778142,1.0,0.001605180835723877,4063.8655371665955,50000
7.600811,-7.600811,0.062325645,1.0,0.14530785,-0.20743735,2.1071165,7.6339383,-7.6339383,0.07060753,1.0,0.10557532162666321,4591.742146968842,55000
7.6104393,-7.6104393,0.06473277,1.0,0.12675613,-0.17505184,1.9164618,7.627994,-7.627994,0.06912142,1.0,0.0016274940013885498,4599.879618167877,60000
7.591035,-7.591035,0.059881814,1.0,0.15773222,-0.1321456,1.9766927,7.620199,-7.620199,0.067172825,1.0,0.0015713871955871583,4607.736555337906,65000
7.599121,-7.599121,0.061903242,1.0,0.15524736,-0.25244504,2.058025,7.6186953,-7.6186953,0.06679686,1.0,0.0014898900032043457,4615.1860065460205,70000
7.591138,-7.591138,0.05990734,1.0,0.17922103,-0.31587413,2.3295188,7.64408,-7.64408,0.073143065,1.0,0.0014172279834747314,4622.272147655487,75000
7.603336,-7.603336,0.06295695,1.0,0.1385859,-0.15829855,1.6881876,7.6339192,-7.6339192,0.07060275,1.0,0.10615656995773315,5153.054998874664,80000
7.5877256,-7.5877256,0.059054483,1.0,0.13797662,-0.23134947,1.9465085,7.6185694,-7.6185694,0.066765234,1.0,0.0015643402576446532,5160.876701593399,85000
7.5801783,-7.5801783,0.057167497,1.0,0.09607897,-0.09754222,1.4264847,7.6161323,-7.6161323,0.066156104,1.0,0.0014167219638824462,5167.960312604904,90000
7.590989,-7.590989,0.059870195,1.0,0.14526837,-0.13533366,1.7788277,7.6208434,-7.6208434,0.06733377,1.0,0.0015988519668579102,5175.954574108124,95000
7.5893507,-7.5893507,0.059460603,1.0,0.08239472,-0.09527767,1.5642897,7.613593,-7.613593,0.06552132,1.0,0.001493290376663208,5183.421026945114,100000
7.586274,-7.586274,0.058691442,1.0,0.09612565,-0.10483624,1.5225744,7.6107044,-7.6107044,0.06479903,1.0,0.1098598388671875,5732.720225811005,105000
7.575361,-7.575361,0.055963207,1.0,0.1631583,-0.12121707,1.8103392,7.6070576,-7.6070576,0.063887335,1.0,0.0018574659347534179,5742.007556915283,110000
7.577813,-7.577813,0.056576207,1.0,0.08955204,-0.07927939,1.4581413,7.6128035,-7.6128035,0.065323874,1.0,0.0016981841087341308,5750.498478412628,115000
7.5669603,-7.5669603,0.053862955,1.0,0.15150005,-0.07712483,1.4467243,7.6402054,-7.6402054,0.07217428,1.0,0.0015793736934661866,5758.395348072052,120000
