training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.783062,-9.783062,0.6078886,1.0,0.3127641,-0.2024695,4.3443413,9.732835,-9.732835,0.59533167,1.0,0.002728556680679321,13.642784595489502,1
9.310678,-9.310678,0.48979238,1.0,0.055240236,-0.07889873,1.4445657,9.281168,-9.281168,0.48241478,1.0,0.1997418800830841,1012.3521864414215,5000
9.30506,-9.30506,0.488388,1.0,0.054689955,-0.065985575,1.5266355,9.296738,-9.296738,0.48630735,1.0,0.21223048462867736,2073.5046107769012,10000
9.273043,-9.273043,0.4803837,1.0,0.063263565,-0.059056703,1.293363,9.263857,-9.263857,0.47808725,1.0,0.10740524458885192,2610.5308368206024,15000
9.287426,-9.287426,0.48397952,1.0,0.0578806,-0.069704734,1.2810196,9.299175,-9.299175,0.48691672,1.0,0.001692816162109375,2618.9949193000793,20000
9.2822075,-9.2822075,0.4826747,1.0,0.06283166,-0.05908534,1.2687762,9.286469,-9.286469,0.4837402,1.0,0.10882640099525452,3163.1269257068634,25000
9.226797,-9.226797,0.46882224,1.0,0.06364864,-0.063629545,1.232238,9.301228,-9.301228,0.4874298,1.0,0.0017077432632446289,3171.6656470298767,30000
9.261248,-9.261248,0.4774349,1.0,0.053169265,-0.033508405,1.0721228,9.278015,-9.278015,0.4816267,1.0,0.10856578888893127,3714.494593143463,35000
9.259789,-9.259789,0.47707027,1.0,0.05667855,-0.060030393,1.3181448,9.302237,-9.302237,0.48768213,1.0,0.0016699345111846923,3722.8442668914795,40000
9.256771,-9.256771,0.4763157,1.0,0.043574367,-0.072906524,1.2750664,9.274132,-9.274132,0.48065603,1.0,0.10714841523170471,4258.586344003677,45000
9.255228,-9.255228,0.47592992,1.0,0.046627924,-0.040665902,1.159931,9.298565,-9.298565,0.48676407,1.0,0.001628012180328369,4266.7264058589935,50000
9.250477,-9.250477,0.47474226,1.0,0.05260155,-0.061722353,1.2013123,9.29047,-9.29047,0.48474064,1.0,0.10836298742294312,4808.541346549988,55000
9.262267,-9.262267,0.47768962,1.0,0.053842854,-0.05303199,1.193736,9.264187,-9.264187,0.47816974,1.0,0.0017161795616149902,4817.122246026993,60000
9.233822,-9.233822,0.4705785,1.0,0.06048049,-0.07465784,1.2685483,9.2209835,-9.2209835,0.46736896,1.0,0.0017179091453552247,4825.711794137955,65000
9.209511,-9.209511,0.4645007,1.0,0.053084925,-0.044619612,1.2469405,9.257595,-9.257595,0.4765216,1.0,0.001678062152862549,4834.1021065711975,70000
9.272324,-9.272324,0.4802037,1.0,0.05365491,-0.05368686,1.2442396,9.307508,-9.307508,0.48900014,1.0,0.001690377950668335,4842.553997755051,75000
9.274442,-9.274442,0.4807334,1.0,0.055304945,-0.045905568,1.3222474,9.276049,-9.276049,0.481135,1.0,0.10725491285324097,5378.828565597534,80000
9.208008,-9.208008,0.46412474,1.0,0.07395224,-0.05237244,1.3614388,9.223063,-9.223063,0.4678889,1.0,0.001647767686843872,5387.067405939102,85000
9.2353325,-9.2353325,0.4709561,1.0,0.08132836,-0.054461718,1.3097142,9.24467,-9.24467,0.47329053,1.0,0.001704806137084961,5395.591437578201,90000
9.260885,-9.260885,0.47734436,1.0,0.045903675,-0.06412356,1.3302615,9.282141,-9.282141,0.4826581,1.0,0.001756313705444336,5404.373007774353,95000
9.239897,-9.239897,0.47209704,1.0,0.052214872,-0.050146762,1.3111542,9.264002,-9.264002,0.47812355,1.0,0.0017107205867767333,5412.926612377167,100000
9.260185,-9.260185,0.47716922,1.0,0.07322398,-0.056320883,1.3662058,9.278729,-9.278729,0.48180526,1.0,0.10972797808647156,5961.566505432129,105000
9.216066,-9.216066,0.46613973,1.0,0.05309926,-0.07386145,1.3472666,9.27816,-9.27816,0.48166293,1.0,0.0016730019569396973,5969.931516647339,110000
9.233452,-9.233452,0.47048593,1.0,0.0721617,-0.07670838,1.5027359,9.298229,-9.298229,0.48668033,1.0,0.0016264914512634278,5978.063976764679,115000
9.224442,-9.224442,0.46823323,1.0,0.07492226,-0.09259049,1.3786364,9.277115,-9.277115,0.48140162,1.0,0.0016007726192474366,5986.06784081459,120000
9.2419195,-9.2419195,0.47260284,1.0,0.07401428,-0.04778006,1.2679385,9.265802,-9.265802,0.47857374,1.0,0.0016069133758544922,5994.102408885956,125000
9.221764,-9.221764,0.46756387,1.0,0.06597688,-0.06039024,1.3591094,9.299089,-9.299089,0.48689532,1.0,0.0016358935356140137,6002.2818784713745,130000
9.229522,-9.229522,0.46950343,1.0,0.06867691,-0.074719764,1.4157517,9.219323,-9.219323,0.46695364,1.0,0.0016259637355804442,6010.411698579788,135000
9.235784,-9.235784,0.47106886,1.0,0.07066679,-0.061772525,1.3803915,9.288869,-9.288869,0.48434013,1.0,0.001636313533782959,6018.593267440796,140000
9.241668,-9.241668,0.47254,1.0,0.067690626,-0.06524345,1.5319551,9.308065,-9.308065,0.4891392,1.0,0.0016431553840637208,6026.809047698975,145000
9.236162,-9.236162,0.47116345,1.0,0.065717384,-0.08088641,1.5183593,9.266151,-9.266151,0.47866088,1.0,0.001694283390045166,6035.280466079712,150000
9.236053,-9.236053,0.47113633,1.0,0.11262444,-0.088090524,1.5187311,9.283347,-9.283347,0.48295987,1.0,0.1105952781200409,6588.256858110428,155000
9.260527,-9.260527,0.47725478,1.0,0.05778241,-0.05967306,1.4263717,9.303347,-9.303347,0.48795968,1.0,0.0017116010665893554,6596.8148646354675,160000
9.237072,-9.237072,0.47139096,1.0,0.056928173,-0.059377268,1.4238877,9.310427,-9.310427,0.4897297,1.0,0.0017275583744049072,6605.452657699585,165000
9.215078,-9.215078,0.46589264,1.0,0.07738785,-0.07157812,1.4555917,9.255369,-9.255369,0.47596514,1.0,0.0016945287704467774,6613.925302743912,170000
