training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.4330635,-9.4330635,0.5203888,1.0,0.48923072,-0.32177535,6.375376,9.3480625,-9.3480625,0.49913862,1.0,0.0028246018409729,14.123010635375977,1
8.119115,-8.119115,0.19190164,1.0,0.049025334,-0.061346117,1.8431853,8.073597,-8.073597,0.18052205,1.0,0.2054320156097412,1041.283090353012,5000
8.033821,-8.033821,0.17057821,1.0,0.04255718,-0.050691135,1.3664695,8.054983,-8.054983,0.17586857,1.0,0.18182661080360413,1950.4161458015442,10000
7.9824553,-7.9824553,0.15773678,1.0,0.06609545,-0.08102473,1.6238455,8.030128,-8.030128,0.16965485,1.0,0.0927793240070343,2414.312769174576,15000
7.9846983,-7.9846983,0.15829757,1.0,0.061925158,-0.058855474,1.554007,8.006484,-8.006484,0.16374393,1.0,0.0019026151657104491,2423.825846195221,20000
8.032607,-8.032607,0.1702748,1.0,0.08732347,-0.0873311,1.9475286,8.009523,-8.009523,0.16450396,1.0,0.09162326383590698,2881.9421689510345,25000
7.9877963,-7.9877963,0.15907201,1.0,0.03873631,-0.041887257,1.2137871,8.003876,-8.003876,0.1630918,1.0,0.0017375610828399659,2890.629975795746,30000
7.9735565,-7.9735565,0.15551224,1.0,0.07685581,-0.09490856,1.680892,8.013474,-8.013474,0.16549167,1.0,0.0961791136264801,3371.5255451202393,35000
7.990563,-7.990563,0.1597636,1.0,0.07397383,-0.06485084,1.5755125,8.012408,-8.012408,0.16522506,1.0,0.0017904876708984374,3380.4779846668243,40000
7.9585524,-7.9585524,0.15176103,1.0,0.07361852,-0.066701695,1.4734237,7.9861193,-7.9861193,0.15865281,1.0,0.09494794363975526,3855.2177040576935,45000
7.9795923,-7.9795923,0.15702102,1.0,0.05303456,-0.056218393,1.3810892,7.9781957,-7.9781957,0.15667193,1.0,0.0018151630401611327,3864.293520450592,50000
7.957241,-7.957241,0.15143324,1.0,0.0798462,-0.06949908,1.4525118,7.961792,-7.961792,0.15257096,1.0,0.09674076924324036,4347.997369527817,55000
7.946329,-7.946329,0.1487053,1.0,0.057177443,-0.036358114,1.2104845,7.9818025,-7.9818025,0.15757354,1.0,0.0019085599899291992,4357.540171146393,60000
7.974824,-7.974824,0.15582895,1.0,0.043002307,-0.07410112,1.200199,7.9725146,-7.9725146,0.15525156,1.0,0.0019183747291564941,4367.132045984268,65000
7.9593334,-7.9593334,0.15195628,1.0,0.04893283,-0.04904192,1.2597035,7.99675,-7.99675,0.16131039,1.0,0.0019160816192626954,4376.712455749512,70000
7.959334,-7.959334,0.15195641,1.0,0.08069517,-0.060148306,1.474292,7.957638,-7.957638,0.15153241,1.0,0.001894099235534668,4386.182953834534,75000
7.941436,-7.941436,0.14748195,1.0,0.062440395,-0.06447359,1.4673935,7.9549236,-7.9549236,0.15085378,1.0,0.10050257210731506,4888.695816040039,80000
7.9594855,-7.9594855,0.15199432,1.0,0.107656464,-0.10463427,1.7168669,7.973609,-7.973609,0.1555253,1.0,0.0020342276096343994,4898.8669555187225,85000
7.9672318,-7.9672318,0.15393093,1.0,0.059767358,-0.08212295,1.4299908,7.9777365,-7.9777365,0.15655704,1.0,0.0021373195648193358,4909.553555011749,90000
7.9370203,-7.9370203,0.146378,1.0,0.05651106,-0.04704726,1.2586948,7.980422,-7.980422,0.15722844,1.0,0.00213825044631958,4920.244808673859,95000
7.9393816,-7.9393816,0.14696829,1.0,0.06717353,-0.07060213,1.280141,7.9552407,-7.9552407,0.15093315,1.0,0.0021505032539367677,4930.997326135635,100000
7.9517365,-7.9517365,0.15005699,1.0,0.058947027,-0.051683858,1.3158565,7.9558706,-7.9558706,0.15109062,1.0,0.1067679852962494,5464.837253808975,105000
7.9604616,-7.9604616,0.15223834,1.0,0.05103206,-0.06310383,1.2613903,7.9669533,-7.9669533,0.15386125,1.0,0.0018835713386535645,5474.255111694336,110000
7.9460993,-7.9460993,0.14864774,1.0,0.054650355,-0.071851596,1.276119,7.972031,-7.972031,0.15513085,1.0,0.0018949234008789062,5483.729731321335,115000
7.9379077,-7.9379077,0.14659995,1.0,0.069046736,-0.08271721,1.3342102,7.9752493,-7.9752493,0.15593538,1.0,0.0020923320293426513,5494.191392660141,120000
7.9302607,-7.9302607,0.14468816,1.0,0.09025924,-0.08118911,1.3605641,7.982756,-7.982756,0.15781206,1.0,0.0020933308601379396,5504.658048152924,125000
7.9475746,-7.9475746,0.1490166,1.0,0.05267063,-0.056620434,1.3004323,7.9588785,-7.9588785,0.15184268,1.0,0.002097467613220215,5515.145387649536,130000
7.9515076,-7.9515076,0.14999977,1.0,0.051365696,-0.059339356,1.3240159,7.9872856,-7.9872856,0.15894446,1.0,0.0020931383609771727,5525.611080646515,135000
7.93592,-7.93592,0.14610296,1.0,0.07617424,-0.106651954,1.5035725,7.9779005,-7.9779005,0.15659818,1.0,0.002092717218399048,5536.074668169022,140000
7.9457974,-7.9457974,0.14857233,1.0,0.06741302,-0.056828782,1.3531834,7.9582295,-7.9582295,0.1516803,1.0,0.0020933035373687744,5546.54118680954,145000
7.9491053,-7.9491053,0.14939931,1.0,0.060857758,-0.10029033,1.4501808,7.9642982,-7.9642982,0.15319741,1.0,0.002074203062057495,5556.912203788757,150000
7.9513845,-7.9513845,0.14996904,1.0,0.08140179,-0.12174651,1.3899778,8.000793,-8.000793,0.16232131,1.0,0.10967926845550537,6105.308547258377,155000
7.9414907,-7.9414907,0.14749552,1.0,0.06155128,-0.049145326,1.284647,7.976474,-7.976474,0.15624145,1.0,0.0020986166000366213,6115.801632165909,160000
7.927931,-7.927931,0.14410561,1.0,0.057464845,-0.050526947,1.2929856,7.9654922,-7.9654922,0.15349597,1.0,0.002097930335998535,6126.291287899017,165000
7.948262,-7.948262,0.14918831,1.0,0.12897493,-0.045467705,1.2955766,7.974743,-7.974743,0.15580875,1.0,0.002089749002456665,6136.740034103394,170000
7.9348903,-7.9348903,0.14584559,1.0,0.06386198,-0.055317912,1.3538135,7.9802313,-7.9802313,0.1571809,1.0,0.002083094549179077,6147.1555082798,175000
7.966041,-7.966041,0.1536333,1.0,0.053900797,-0.04811935,1.349836,7.9757795,-7.9757795,0.1560678,1.0,0.0020917151927947997,6157.6140859127045,180000
7.9455943,-7.9455943,0.14852151,1.0,0.14627914,-0.051632956,1.3810825,7.957637,-7.957637,0.15153214,1.0,0.00200322265625,6167.630200386047,185000
7.921839,-7.921839,0.14258274,1.0,0.07130306,-0.06729407,1.3459482,7.9648066,-7.9648066,0.1533246,1.0,0.0018329628944396973,6176.795018672943,190000
7.9211226,-7.9211226,0.14240351,1.0,0.056839272,-0.05015981,1.243202,7.974145,-7.974145,0.1556592,1.0,0.001818571662902832,6185.887878894806,195000
7.935303,-7.935303,0.14594872,1.0,0.050638035,-0.06589429,1.3315184,7.9663153,-7.9663153,0.15370181,1.0,0.002193511199951172,6196.85543680191,200000
7.9381127,-7.9381127,0.14665103,1.0,0.07202377,-0.08571227,1.3817153,7.969916,-7.969916,0.15460202,1.0,0.11341394801139831,6763.925178050995,205000
7.9453197,-7.9453197,0.14845288,1.0,0.06860842,-0.0849576,1.4592719,7.96008,-7.96008,0.15214293,1.0,0.0027097774505615234,6777.474067926407,210000
7.9256344,-7.9256344,0.14353153,1.0,0.044600736,-0.04906174,1.2772168,7.9664307,-7.9664307,0.15373075,1.0,0.002734283876419067,6791.145488500595,215000
7.9383755,-7.9383755,0.1467168,1.0,0.076950476,-0.063566245,1.4070671,7.9544525,-7.9544525,0.15073611,1.0,0.0026814413547515867,6804.552696466446,220000
7.9416084,-7.9416084,0.14752504,1.0,0.06163463,-0.05849807,1.364833,7.961747,-7.961747,0.1525598,1.0,0.0026790111541748047,6817.947753667831,225000
7.923724,-7.923724,0.1430541,1.0,0.1242615,-0.087974876,1.3195423,7.9641194,-7.9641194,0.1531528,1.0,0.0025582087993621825,6830.738799095154,230000
7.930232,-7.930232,0.14468092,1.0,0.09328893,-0.08898361,1.5339764,7.9397373,-7.9397373,0.14705727,1.0,0.002632451629638672,6843.901060819626,235000
7.917007,-7.917007,0.14137477,1.0,0.06052814,-0.068553135,1.2787197,7.97107,-7.97107,0.15489043,1.0,0.002678195333480835,6857.29203915596,240000
7.921548,-7.921548,0.14250992,1.0,0.051607948,-0.064085364,1.2486745,7.970622,-7.970622,0.15477839,1.0,0.002663847589492798,6870.611280202866,245000
7.924674,-7.924674,0.1432915,1.0,0.06728375,-0.06672679,1.3650596,7.949896,-7.949896,0.14959696,1.0,0.002673734712600708,6883.979955196381,250000
7.9357004,-7.9357004,0.146048,1.0,0.12373643,-0.14809039,1.6128904,7.959977,-7.959977,0.15211731,1.0,0.0026650758743286132,6897.305335998535,255000
7.9261403,-7.9261403,0.14365804,1.0,0.079876035,-0.07990985,1.3756133,7.9744034,-7.9744034,0.15572384,1.0,0.002677474212646484,6910.692710399628,260000
7.9363456,-7.9363456,0.14620928,1.0,0.07121687,-0.09157502,1.4875841,7.9510417,-7.9510417,0.14988333,1.0,0.002779261112213135,6924.589017152786,265000
7.928237,-7.928237,0.14418228,1.0,0.079173975,-0.090628475,1.3982562,7.9417586,-7.9417586,0.14756267,1.0,0.002676690340042114,6937.972472667694,270000
7.909446,-7.909446,0.13948432,1.0,0.06706925,-0.06464563,1.284307,7.963352,-7.963352,0.15296112,1.0,0.0026740039348602295,6951.34249329567,275000
