training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.661575,-9.661575,0.5775166,1.0,0.46023187,-0.61866057,5.470408,9.527658,-9.527658,0.5440377,1.0,0.0021745980262756347,10.872992515563965,1
8.715122,-8.715122,0.34090346,1.0,0.05514653,-0.068047225,1.7440196,8.785126,-8.785126,0.35840446,1.0,0.22034219508171082,1112.583969116211,5000
8.676353,-8.676353,0.3312111,1.0,0.07344658,-0.07483755,1.4233453,8.701111,-8.701111,0.3374008,1.0,0.2195702232837677,2210.435087442398,10000
8.664185,-8.664185,0.32816923,1.0,0.041532446,-0.062204223,1.3108075,8.701357,-8.701357,0.3374623,1.0,0.11102020082473756,2765.536093235016,15000
8.701104,-8.701104,0.3373992,1.0,0.04602017,-0.046113793,1.3148286,8.633978,-8.633978,0.32061765,1.0,0.0019794371128082277,2775.4332830905914,20000
8.662832,-8.662832,0.327831,1.0,0.04496845,-0.056262985,1.2698325,8.706034,-8.706034,0.33863145,1.0,0.1084167269706726,3317.516920566559,25000
8.606934,-8.606934,0.31385654,1.0,0.045727905,-0.056093562,1.20244,8.672328,-8.672328,0.33020493,1.0,0.0024236356258392332,3329.635102748871,30000
8.655325,-8.655325,0.32595432,1.0,0.05313035,-0.06743202,1.3486664,8.668183,-8.668183,0.32916874,1.0,0.10214771389961243,3840.373673915863,35000
8.676397,-8.676397,0.33122218,1.0,0.04406622,-0.055375744,1.2941802,8.62744,-8.62744,0.31898326,1.0,0.002030656862258911,3850.526959657669,40000
8.637007,-8.637007,0.32137462,1.0,0.043328863,-0.06176013,1.1372498,8.641836,-8.641836,0.32258207,1.0,0.10666656365394592,4383.859781265259,45000
8.641148,-8.641148,0.32240978,1.0,0.062438052,-0.07481341,1.3127551,8.626221,-8.626221,0.318678,1.0,0.0017803379535675048,4392.761471986771,50000
8.6489315,-8.6489315,0.32435566,1.0,0.04308357,-0.11948328,1.3026959,8.682381,-8.682381,0.332718,1.0,0.10746442236900329,4930.083585739136,55000
8.631344,-8.631344,0.31995875,1.0,0.06936312,-0.06444222,1.1690731,8.612706,-8.612706,0.3152995,1.0,0.0018847254753112793,4939.5072157382965,60000
8.667804,-8.667804,0.32907385,1.0,0.049143802,-0.067379504,1.2688649,8.634456,-8.634456,0.32073683,1.0,0.0021709407329559326,4950.361920833588,65000
8.586554,-8.586554,0.30876112,1.0,0.08199086,-0.060466357,1.2581724,8.6671,-8.6671,0.32889798,1.0,0.002519144058227539,4962.957642793655,70000
8.572897,-8.572897,0.30534738,1.0,0.057038613,-0.04228735,1.2069764,8.641546,-8.641546,0.3225094,1.0,0.0025200295925140383,4975.557792663574,75000
8.628012,-8.628012,0.31912583,1.0,0.04338537,-0.053801224,1.2447575,8.622957,-8.622957,0.3178625,1.0,0.10586569952964783,5504.886293172836,80000
8.615816,-8.615816,0.31607676,1.0,0.06987706,-0.052355282,1.2877519,8.615833,-8.615833,0.31608117,1.0,0.0017732605934143067,5513.752597570419,85000
8.60637,-8.60637,0.3137154,1.0,0.060132638,-0.06268181,1.3204613,8.639691,-8.639691,0.32204583,1.0,0.002390735387802124,5525.706275463104,90000
8.618281,-8.618281,0.31669334,1.0,0.066377215,-0.08607188,1.2960165,8.629297,-8.629297,0.31944734,1.0,0.002522440242767334,5538.318477630615,95000
8.631407,-8.631407,0.3199747,1.0,0.09373494,-0.059240405,1.4063843,8.644105,-8.644105,0.32314935,1.0,0.0025232426166534425,5550.9346923828125,100000
8.609266,-8.609266,0.31443954,1.0,0.051716857,-0.050718963,1.2129229,8.628916,-8.628916,0.31935185,1.0,0.10237718915939331,6062.8206396102905,105000
8.602643,-8.602643,0.31278378,1.0,0.089307435,-0.099420905,1.413586,8.610985,-8.610985,0.31486943,1.0,0.0019223342418670654,6072.432312488556,110000
8.632503,-8.632503,0.3202486,1.0,0.08530685,-0.06579963,1.3296005,8.629142,-8.629142,0.31940842,1.0,0.0019476763248443604,6082.170696020126,115000
8.618446,-8.618446,0.31673446,1.0,0.073489584,-0.06369795,1.3206954,8.602911,-8.602911,0.31285065,1.0,0.002071396160125732,6092.527678012848,120000
8.634543,-8.634543,0.32075888,1.0,0.06543293,-0.052538723,1.2346742,8.621514,-8.621514,0.3175015,1.0,0.002351146411895752,6104.28341126442,125000
8.649307,-8.649307,0.32444972,1.0,0.11313823,-0.0501014,1.3712249,8.590994,-8.590994,0.30987146,1.0,0.0025149625301361085,6116.858225345612,130000
8.620754,-8.620754,0.31731173,1.0,0.053125836,-0.058085375,1.3392649,8.634421,-8.634421,0.3207282,1.0,0.0025388004302978515,6129.552230358124,135000
8.584359,-8.584359,0.3082128,1.0,0.07026859,-0.051344514,1.3106384,8.671469,-8.671469,0.32999003,1.0,0.0025420904159545897,6142.26268362999,140000
8.585245,-8.585245,0.3084343,1.0,0.06815714,-0.07020615,1.3122153,8.61551,-8.61551,0.3160005,1.0,0.0025449093341827394,6154.987231731415,145000
8.6136,-8.6136,0.3155228,1.0,0.061801083,-0.07979354,1.4184964,8.588488,-8.588488,0.30924463,1.0,0.00254522123336792,6167.713340044022,150000
8.609236,-8.609236,0.3144318,1.0,0.05713708,-0.058468115,1.4089725,8.629965,-8.629965,0.31961402,1.0,0.10324161267280578,6683.921406030655,155000
8.624901,-8.624901,0.31834802,1.0,0.06505811,-0.06933369,1.3836753,8.650423,-8.650423,0.32472876,1.0,0.0017809716701507568,6692.826265335083,160000
8.612078,-8.612078,0.31514245,1.0,0.07468572,-0.056333926,1.2743481,8.6040535,-8.6040535,0.3131362,1.0,0.001765310573577881,6701.652819633484,165000
8.609966,-8.609966,0.3146147,1.0,0.088559106,-0.05833613,1.3271985,8.618973,-8.618973,0.31686625,1.0,0.0017762817859649659,6710.534230232239,170000
8.61204,-8.61204,0.31513286,1.0,0.07029089,-0.1142679,1.469614,8.636776,-8.636776,0.32131726,1.0,0.002025758409500122,6720.663023233414,175000
8.608393,-8.608393,0.31422126,1.0,0.055754308,-0.07889775,1.3525193,8.640301,-8.640301,0.3221982,1.0,0.0022148808002471925,6731.73742890358,180000
8.602203,-8.602203,0.31267366,1.0,0.07134654,-0.07216013,1.3350441,8.629591,-8.629591,0.31952065,1.0,0.002526110315322876,6744.367981672287,185000
8.610041,-8.610041,0.31463298,1.0,0.122594416,-0.056265056,1.4052618,8.63398,-8.63398,0.3206179,1.0,0.002518050956726074,6756.958237886429,190000
8.578229,-8.578229,0.3066802,1.0,0.093870446,-0.08432137,1.4044306,8.645585,-8.645585,0.3235192,1.0,0.0025201205253601072,6769.558841705322,195000
8.605865,-8.605865,0.31358907,1.0,0.118499964,-0.061638452,1.4050232,8.609098,-8.609098,0.3143974,1.0,0.002177193975448608,6780.444813013077,200000
8.607498,-8.607498,0.31399757,1.0,0.10462528,-0.05656159,1.4418356,8.59434,-8.59434,0.310708,1.0,0.10200125880241394,7290.451108217239,205000
8.6314125,-8.6314125,0.3199759,1.0,0.08293459,-0.074703775,1.4228866,8.62784,-8.62784,0.31908303,1.0,0.0017270381927490235,7299.086302757263,210000
8.596282,-8.596282,0.3111935,1.0,0.065393046,-0.087999985,1.3368641,8.598881,-8.598881,0.31184322,1.0,0.0017267752647399902,7307.720180034637,215000
8.654577,-8.654577,0.32576737,1.0,0.07257426,-0.095320724,1.385628,8.647926,-8.647926,0.3241046,1.0,0.0017287105083465576,7316.363733530045,220000
