training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.712837,-9.712837,0.59033227,1.0,0.31343523,-0.29114598,4.6921263,9.643904,-9.643904,0.5730988,1.0,0.0027262142658233644,13.631073713302612,1
8.998413,-8.998413,0.41172636,1.0,0.050953053,-0.047913127,1.3462019,9.0539,-9.0539,0.4255979,1.0,0.1958807318210602,993.0347340106964,5000
8.996204,-8.996204,0.41117424,1.0,0.057553433,-0.040775247,1.191586,8.993408,-8.993408,0.41047508,1.0,0.1921807580947876,1953.9385259151459,10000
8.96422,-8.96422,0.40317786,1.0,0.05556136,-0.054970507,1.2275583,8.988395,-8.988395,0.40922156,1.0,0.09858031101226807,2446.840085029602,15000
8.942317,-8.942317,0.3977022,1.0,0.04126879,-0.048302602,1.102442,9.021824,-9.021824,0.41757894,1.0,0.0023602666378021242,2458.64142203331,20000
8.975178,-8.975178,0.40591738,1.0,0.043726068,-0.04921158,1.1603916,8.957048,-8.957048,0.40138525,1.0,0.09804858794212341,2948.8843648433685,25000
8.932857,-8.932857,0.39533713,1.0,0.059843067,-0.04795896,1.3455433,8.990828,-8.990828,0.40982965,1.0,0.0017524322986602783,2957.646529197693,30000
8.984482,-8.984482,0.40824336,1.0,0.07077953,-0.06251475,1.4155838,8.982923,-8.982923,0.40785366,1.0,0.09754168639183045,3445.354962348938,35000
8.968828,-8.968828,0.40433013,1.0,0.04690086,-0.056672126,1.1843426,9.01267,-9.01267,0.41529027,1.0,0.0020191739559173583,3455.4508361816406,40000
8.936969,-8.936969,0.39636517,1.0,0.10606344,-0.069708645,1.4200673,8.947472,-8.947472,0.39899093,1.0,0.10190899305343627,3964.9958040714264,45000
8.9515085,-8.9515085,0.4000001,1.0,0.078035764,-0.0552884,1.3589665,9.021604,-9.021604,0.41752386,1.0,0.001857520341873169,3974.2834079265594,50000
8.943212,-8.943212,0.3979257,1.0,0.06939148,-0.08259284,1.3064322,8.945191,-8.945191,0.39842078,1.0,0.1033767741203308,4491.167280673981,55000
8.942133,-8.942133,0.39765608,1.0,0.05495122,-0.06087672,1.275905,8.9773655,-8.9773655,0.40646413,1.0,0.0022809525966644285,4502.572046756744,60000
8.980524,-8.980524,0.40725392,1.0,0.05523911,-0.055911057,1.2738273,8.98469,-8.98469,0.4082955,1.0,0.0018743157386779785,4511.943626880646,65000
8.9050665,-8.9050665,0.3883896,1.0,0.05941975,-0.044754352,1.2119415,8.969168,-8.969168,0.4044149,1.0,0.0018795776844024658,4521.34151673317,70000
8.943859,-8.943859,0.39808762,1.0,0.053706057,-0.046229526,1.310733,8.931696,-8.931696,0.39504716,1.0,0.0018994325160980226,4530.838680505753,75000
8.956929,-8.956929,0.40135533,1.0,0.07509038,-0.08340143,1.354758,8.980253,-8.980253,0.40718654,1.0,0.10716299157142639,5066.653639793396,80000
