training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.337692,-9.337692,0.49654585,1.0,0.38724306,-0.4875358,5.9423566,9.208386,-9.208386,0.4642195,1.0,0.002091232395172119,10.456164598464966,1
7.73942,-7.73942,0.096977994,1.0,0.05603358,-0.067004085,1.8780743,7.7820253,-7.7820253,0.107629225,1.0,0.21384696841239928,1079.6910083293915,5000
7.7076807,-7.7076807,0.089043155,1.0,0.04570399,-0.04903668,1.5423716,7.704216,-7.704216,0.08817699,1.0,0.20439296970367432,2101.655858516693,10000
7.6935687,-7.6935687,0.08551509,1.0,0.036275525,-0.047944337,1.2095385,7.7191296,-7.7191296,0.09190533,1.0,0.10416745643615723,2622.493141889572,15000
7.6780605,-7.6780605,0.08163799,1.0,0.0453754,-0.054055095,1.3231286,7.702853,-7.702853,0.08783621,1.0,0.0016734652042388917,2630.860469341278,20000
7.6562786,-7.6562786,0.076192565,1.0,0.05065195,-0.041456796,1.1572357,7.685139,-7.685139,0.083407745,1.0,0.10312141842842103,3146.467562675476,25000
7.6664085,-7.6664085,0.078724995,1.0,0.072486386,-0.060716245,1.3896037,7.7194676,-7.7194676,0.09198995,1.0,0.0014738639354705812,3153.836883544922,30000
7.645192,-7.645192,0.07342098,1.0,0.06947261,-0.05862221,1.1567464,7.6633883,-7.6633883,0.07797009,1.0,0.09762739491462707,3641.9738595485687,35000
7.648035,-7.648035,0.07413176,1.0,0.053275593,-0.058505286,1.1844422,7.6613855,-7.6613855,0.07746928,1.0,0.0014878454208374023,3649.413088083267,40000
7.627331,-7.627331,0.0689556,1.0,0.044522777,-0.052829474,1.1474264,7.673592,-7.673592,0.080520935,1.0,0.09595519194602967,4129.189049243927,45000
