training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.867311,-9.867311,0.62895066,1.0,0.7300433,-1.0802057,11.362285,9.735674,-9.735674,0.59604144,1.0,0.002308781719207764,11.543910026550293,1
9.322992,-9.322992,0.49287093,1.0,0.123417005,-0.09590614,1.9671378,9.288643,-9.288643,0.48428357,1.0,0.2275414535999298,1149.2511789798737,5000
9.268621,-9.268621,0.4792784,1.0,0.116489604,-0.11289811,1.7426167,9.292162,-9.292162,0.48516345,1.0,0.22748491506576538,2286.6757555007935,10000
9.280066,-9.280066,0.4821394,1.0,0.085433334,-0.09454497,1.4591477,9.24468,-9.24468,0.47329304,1.0,0.11747924542427063,2874.0719861984253,15000
9.295538,-9.295538,0.48600733,1.0,0.07734759,-0.06566763,1.4310005,9.269379,-9.269379,0.47946766,1.0,0.0015992597579956055,2882.0682859420776,20000
9.267584,-9.267584,0.47901917,1.0,0.07234071,-0.09886885,1.4829733,9.26227,-9.26227,0.47769046,1.0,0.11200529718399048,3442.0947732925415,25000
9.27387,-9.27387,0.48059076,1.0,0.112660035,-0.07724321,1.4380928,9.247557,-9.247557,0.474012,1.0,0.0017054351329803467,3450.621954202652,30000
9.245032,-9.245032,0.47338107,1.0,0.071527876,-0.06040769,1.2599417,9.214157,-9.214157,0.46566218,1.0,0.11698446683883668,4035.5442905426025,35000
9.255484,-9.255484,0.475994,1.0,0.1075934,-0.08787511,1.4216198,9.24035,-9.24035,0.4722106,1.0,0.0017451556205749512,4044.2700695991516,40000
9.260088,-9.260088,0.47714502,1.0,0.106361896,-0.07445729,1.4582313,9.274872,-9.274872,0.4808409,1.0,0.11923004117012025,4640.420276880264,45000
9.29987,-9.29987,0.48709047,1.0,0.12802638,-0.11593979,1.8291761,9.277701,-9.277701,0.48154843,1.0,0.001698511552810669,4648.912836790085,50000
9.279585,-9.279585,0.48201913,1.0,0.07529434,-0.08457011,1.595013,9.281606,-9.281606,0.48252434,1.0,0.1239767761707306,5268.796720504761,55000
9.253354,-9.253354,0.47546142,1.0,0.09563752,-0.109749034,1.4514717,9.2507105,-9.2507105,0.47480053,1.0,0.0017415904998779297,5277.50467467308,60000
9.29904,-9.29904,0.48688298,1.0,0.086127624,-0.08212636,1.5823917,9.26378,-9.26378,0.47806776,1.0,0.001719065761566162,5286.10000872612,65000
9.279264,-9.279264,0.48193896,1.0,0.08638595,-0.080089405,1.4429228,9.235256,-9.235256,0.47093722,1.0,0.0018704530239105224,5295.4522750377655,70000
9.233604,-9.233604,0.47052425,1.0,0.07266891,-0.10105713,1.5234704,9.281173,-9.281173,0.48241618,1.0,0.0017448940753936769,5304.176746845245,75000
9.2431345,-9.2431345,0.47290656,1.0,0.0798242,-0.13168049,1.4947984,9.299494,-9.299494,0.48699635,1.0,0.11778094396591186,5893.081471204758,80000
9.246265,-9.246265,0.47368938,1.0,0.10660988,-0.1340552,1.5299932,9.255848,-9.255848,0.47608498,1.0,0.0017660302639007567,5901.9116241931915,85000
9.249187,-9.249187,0.47441995,1.0,0.16042736,-0.08386615,1.5969844,9.257013,-9.257013,0.4763764,1.0,0.0017056131362915038,5910.4396913051605,90000
9.2305565,-9.2305565,0.46976203,1.0,0.07336427,-0.081509225,1.4706236,9.270161,-9.270161,0.47966337,1.0,0.0017057275772094727,5918.968330383301,95000
9.2087965,-9.2087965,0.46432215,1.0,0.10646491,-0.069205865,1.6039119,9.258416,-9.258416,0.47672698,1.0,0.001713817310333252,5927.537418842316,100000
9.236053,-9.236053,0.47113615,1.0,0.08553031,-0.093293265,1.5331855,9.291288,-9.291288,0.48494512,1.0,0.12423218641281128,6548.698353528976,105000
9.280334,-9.280334,0.48220658,1.0,0.13236046,-0.09432469,1.7340643,9.283541,-9.283541,0.4830079,1.0,0.0017247216701507567,6557.321963310242,110000
9.222256,-9.222256,0.46768665,1.0,0.068278775,-0.10897573,1.5250709,9.290009,-9.290009,0.48462486,1.0,0.0017057131767272949,6565.8505301475525,115000
9.235563,-9.235563,0.47101375,1.0,0.105800584,-0.06999386,1.5632036,9.270016,-9.270016,0.47962677,1.0,0.0017105374336242676,6574.403218984604,120000
9.209436,-9.209436,0.46448213,1.0,0.077576794,-0.09168261,1.489366,9.287466,-9.287466,0.48398936,1.0,0.0017319607257843019,6583.063023805618,125000
9.23147,-9.23147,0.46999055,1.0,0.087322935,-0.107581444,1.6007624,9.3067875,-9.3067875,0.48882,1.0,0.0017072669982910156,6591.599359989166,130000
9.254392,-9.254392,0.47572082,1.0,0.112328164,-0.15907522,1.6769083,9.234211,-9.234211,0.4706757,1.0,0.001716392755508423,6600.18132519722,135000
9.2513075,-9.2513075,0.4749498,1.0,0.08648762,-0.10279333,1.653741,9.231253,-9.231253,0.4699361,1.0,0.001705691146850586,6608.709782123566,140000
9.267128,-9.267128,0.47890493,1.0,0.084257215,-0.11092058,1.584041,9.258641,-9.258641,0.47678328,1.0,0.001725697660446167,6617.338271617889,145000
9.205885,-9.205885,0.46359432,1.0,0.0921099,-0.09550852,1.5612578,9.273672,-9.273672,0.48054117,1.0,0.0018232291221618653,6626.454420566559,150000
9.2634735,-9.2634735,0.47799134,1.0,0.11898062,-0.099109545,1.7269057,9.29044,-9.29044,0.48473293,1.0,0.1311055637359619,7281.98224067688,155000
9.225722,-9.225722,0.4685535,1.0,0.08310241,-0.08478173,1.592206,9.293824,-9.293824,0.4855791,1.0,0.002335915231704712,7293.661818265915,160000
