training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
9.303957,-9.303957,0.48811233,1.0,0.7573837,-0.8647287,11.014499,9.163254,-9.163254,0.45293656,1.0,0.001705000638961792,8.525004863739014,1
7.7410045,-7.7410045,0.09737405,1.0,0.10313672,-0.1124383,2.4550664,7.743452,-7.743452,0.09798596,1.0,0.15594283237457277,788.2391681671143,5000
7.7035427,-7.7035427,0.08800869,1.0,0.15949062,-0.1293902,2.443949,7.684346,-7.684346,0.083209515,1.0,0.14948365144729614,1535.6574275493622,10000
7.675742,-7.675742,0.08105855,1.0,0.20397243,-0.21615468,2.7759042,7.648355,-7.648355,0.074211724,1.0,0.07079336285591126,1889.62424826622,15000
7.6533375,-7.6533375,0.07545732,1.0,0.12365252,-0.09516482,1.6516877,7.653503,-7.653503,0.07549865,1.0,0.001738092041015625,1898.3147101402283,20000
7.6550913,-7.6550913,0.07589571,1.0,0.11516519,-0.13845058,1.9243731,7.6609626,-7.6609626,0.07736361,1.0,0.07280724692344666,2262.3509464263916,25000
7.617427,-7.617427,0.06647968,1.0,0.18636103,-0.14665136,2.1023352,7.6439466,-7.6439466,0.073109545,1.0,0.001724747610092163,2270.9746856689453,30000
7.618685,-7.618685,0.06679416,1.0,0.1407328,-0.112277195,1.7896547,7.627989,-7.627989,0.06912017,1.0,0.0682477358341217,2612.213366985321,35000
7.6107435,-7.6107435,0.06480892,1.0,0.094406866,-0.1276891,1.4576651,7.639701,-7.639701,0.07204828,1.0,0.001683335781097412,2620.630048751831,40000
7.6183915,-7.6183915,0.066720776,1.0,0.18186137,-0.19781508,2.1628356,7.616476,-7.616476,0.06624211,1.0,0.0729108389377594,2985.1842448711395,45000
7.6139183,-7.6139183,0.06560252,1.0,0.14630957,-0.12803721,1.7720356,7.634413,-7.634413,0.070726186,1.0,0.001770003843307495,2994.03426527977,50000
7.5844846,-7.5844846,0.05824405,1.0,0.09255965,-0.06610989,1.3391496,7.628043,-7.628043,0.06913378,1.0,0.0707315664768219,3347.6920993328094,55000
7.59893,-7.59893,0.061855514,1.0,0.17186052,-0.15545353,1.955131,7.6228676,-7.6228676,0.0678398,1.0,0.0018181106567382813,3356.782655239105,60000
7.6007504,-7.6007504,0.06231048,1.0,0.20872979,-0.2567502,2.3202684,7.622115,-7.622115,0.067651846,1.0,0.001824085569381714,3365.903085708618,65000
7.5975814,-7.5975814,0.06151824,1.0,0.07401043,-0.08729909,1.5983337,7.62163,-7.62163,0.06753044,1.0,0.0018256313800811767,3375.031244277954,70000
7.579385,-7.579385,0.056969143,1.0,0.17754102,-0.12609082,1.9061031,7.6180563,-7.6180563,0.06663697,1.0,0.001841193675994873,3384.23721408844,75000
7.59636,-7.59636,0.061213113,1.0,0.25298387,-0.26162675,2.5761151,7.6149564,-7.6149564,0.06586209,1.0,0.07432872786521912,3755.880858182907,80000
7.5952606,-7.5952606,0.060938157,1.0,0.16642705,-0.19057031,1.9425921,7.61501,-7.61501,0.06587539,1.0,0.0017979297637939454,3764.8705084323883,85000
7.6002126,-7.6002126,0.062176082,1.0,0.12466463,-0.13019553,1.9316659,7.622858,-7.622858,0.06783755,1.0,0.0017787802219390869,3773.764410972595,90000
7.58576,-7.58576,0.05856309,1.0,0.09493135,-0.15470234,1.6768968,7.618171,-7.618171,0.06666576,1.0,0.0017737542629241944,3782.6331839561462,95000
7.582593,-7.582593,0.057771273,1.0,0.15925786,-0.099415295,1.6309592,7.609521,-7.609521,0.06450321,1.0,0.0017731218814849854,3791.498794555664,100000
7.5805483,-7.5805483,0.057259977,1.0,0.2017214,-0.17733784,1.9585062,7.6272917,-7.6272917,0.068945855,1.0,0.07272754163742065,4155.136506080627,105000
7.5893993,-7.5893993,0.05947273,1.0,0.07311311,-0.1290242,1.5949854,7.629342,-7.629342,0.06945853,1.0,0.001802334976196289,4164.14818239212,110000
7.577022,-7.577022,0.056378417,1.0,0.14134169,-0.1524416,1.766301,7.6231966,-7.6231966,0.06792215,1.0,0.0017784368038177491,4173.040367603302,115000
7.5748124,-7.5748124,0.055826075,1.0,0.15347691,-0.1316905,1.6945233,7.604026,-7.604026,0.06312932,1.0,0.0017740126132965088,4181.910432338715,120000
7.569531,-7.569531,0.054505676,1.0,0.14332129,-0.16631922,1.7046659,7.633958,-7.633958,0.07061241,1.0,0.0017769486904144287,4190.79517698288,125000
7.5733633,-7.5733633,0.055463724,1.0,0.2850005,-0.23377523,2.3899503,7.6152306,-7.6152306,0.065930575,1.0,0.0017690606594085692,4199.640481710434,130000
7.5758743,-7.5758743,0.056091517,1.0,0.088636465,-0.1826517,1.409686,7.611659,-7.611659,0.06503761,1.0,0.0017764009952545166,4208.522488117218,135000
7.5725427,-7.5725427,0.055258557,1.0,0.08159724,-0.11561003,1.495545,7.613473,-7.613473,0.06549116,1.0,0.0017687071800231934,4217.366025209427,140000
7.5793495,-7.5793495,0.056960303,1.0,0.23892882,-0.27773765,2.3880792,7.608133,-7.608133,0.06415623,1.0,0.0017838385105133057,4226.285219192505,145000
7.5689325,-7.5689325,0.054356076,1.0,0.12118129,-0.093474604,1.4907221,7.618146,-7.618146,0.06665937,1.0,0.001785600233078003,4235.213222026825,150000
7.5770063,-7.5770063,0.0563745,1.0,0.15607716,-0.1462275,1.7800268,7.620366,-7.620366,0.06721443,1.0,0.066738676404953,4568.906605958939,155000
7.5743184,-7.5743184,0.055702575,1.0,0.15248054,-0.16374685,1.6174544,7.6069093,-7.6069093,0.06385029,1.0,0.0017932047843933106,4577.872631311417,160000
7.57334,-7.57334,0.05545792,1.0,0.15719278,-0.12009273,1.776334,7.619541,-7.619541,0.06700827,1.0,0.00179998517036438,4586.872558832169,165000
7.565646,-7.565646,0.053534538,1.0,0.37935635,-0.32907403,2.591265,7.6150565,-7.6150565,0.06588713,1.0,0.001780026340484619,4595.772691965103,170000
7.563839,-7.563839,0.053082574,1.0,0.20085038,-0.19081132,1.844146,7.6150694,-7.6150694,0.06589026,1.0,0.0017850730419158936,4604.698061704636,175000
7.5742664,-7.5742664,0.05568953,1.0,0.18086605,-0.21208936,1.8171494,7.6131353,-7.6131353,0.065406725,1.0,0.001787053394317627,4613.633330345154,180000
7.5691776,-7.5691776,0.05441747,1.0,0.10969737,-0.115369715,1.5892583,7.6223254,-7.6223254,0.067704335,1.0,0.0017916770458221436,4622.591727018356,185000
7.5660753,-7.5660753,0.0536417,1.0,0.14456882,-0.22891629,1.9232059,7.616461,-7.616461,0.066238105,1.0,0.0017999495506286621,4631.59147644043,190000
7.5713134,-7.5713134,0.054951325,1.0,0.16651343,-0.13595706,1.7565619,7.6134424,-7.6134424,0.065483555,1.0,0.0018073423862457274,4640.628190279007,195000
7.5612526,-7.5612526,0.052436143,1.0,0.13930635,-0.114296,1.5970658,7.622035,-7.622035,0.06763176,1.0,0.0017847404479980468,4649.551895141602,200000
7.57229,-7.57229,0.055195495,1.0,0.27462366,-0.2414711,2.3530943,7.6217613,-7.6217613,0.06756334,1.0,0.07311118264198303,5015.107812166214,205000
7.5700507,-7.5700507,0.054635618,1.0,0.10485343,-0.13452072,1.6366003,7.618289,-7.618289,0.06669526,1.0,0.0017233469486236572,5023.724548816681,210000
7.560975,-7.560975,0.052366678,1.0,0.104503594,-0.21720979,1.7845933,7.636217,-7.636217,0.07117721,1.0,0.0017395074367523194,5032.422087430954,215000
7.56389,-7.56389,0.053095475,1.0,0.23956871,-0.3468434,2.323955,7.6493807,-7.6493807,0.074468195,1.0,0.0017480786800384521,5041.162482261658,220000
7.5801454,-7.5801454,0.057159305,1.0,0.10432377,-0.17289716,1.8428637,7.593858,-7.593858,0.060587447,1.0,0.0017493221282958984,5049.909095525742,225000
7.562613,-7.562613,0.052776277,1.0,0.11948136,-0.06608951,1.5729105,7.6374598,-7.6374598,0.07148789,1.0,0.0017421943664550782,5058.62006855011,230000
7.566454,-7.566454,0.053736493,1.0,0.21899469,-0.19950905,1.8786207,7.6211295,-7.6211295,0.06740536,1.0,0.0017375263214111328,5067.307702064514,235000
7.5769396,-7.5769396,0.05635789,1.0,0.16775322,-0.2682882,2.2647488,7.620344,-7.620344,0.06720905,1.0,0.0017388422966003417,5076.001914978027,240000
7.5548525,-7.5548525,0.05083604,1.0,0.15991312,-0.14473434,1.6304266,7.6084943,-7.6084943,0.064246476,1.0,0.0017465721607208252,5084.734777212143,245000
7.554741,-7.554741,0.050808117,1.0,0.121864066,-0.118687525,1.592819,7.61269,-7.61269,0.06529549,1.0,0.0017588260650634765,5093.5289096832275,250000
7.5675106,-7.5675106,0.05400064,1.0,0.11094166,-0.08926679,1.5999078,7.6589146,-7.6589146,0.076851666,1.0,0.0017494834899902344,5102.276329994202,255000
7.5684423,-7.5684423,0.05423352,1.0,0.14919056,-0.13554232,1.5158249,7.5949874,-7.5949874,0.06086976,1.0,0.0017393734455108643,5110.973198413849,260000
7.5649233,-7.5649233,0.0533537,1.0,0.23641524,-0.17212363,1.9998409,7.622061,-7.622061,0.067638166,1.0,0.001745051383972168,5119.69845700264,265000
7.561063,-7.561063,0.05238872,1.0,0.2972946,-0.13316856,1.8584684,7.630546,-7.630546,0.06975952,1.0,0.0017432411670684814,5128.414664506912,270000
7.5621395,-7.5621395,0.052657742,1.0,0.18558876,-0.16711473,1.8114827,7.630275,-7.630275,0.06969166,1.0,0.0017425565719604492,5137.127448797226,275000
7.55708,-7.55708,0.051392972,1.0,0.10253173,-0.16040365,1.4662819,7.6169233,-7.6169233,0.06635375,1.0,0.0017334642887115478,5145.794771432877,280000
7.5710425,-7.5710425,0.05488357,1.0,0.20487626,-0.22682208,1.9480083,7.618992,-7.618992,0.066870846,1.0,0.0017615008354187013,5154.602280139923,285000
7.5552964,-7.5552964,0.050947107,1.0,0.18183295,-0.14886664,1.6700795,7.610927,-7.610927,0.064854786,1.0,0.001759376573562622,5163.399164199829,290000
7.5586348,-7.5586348,0.05178167,1.0,0.23700824,-0.16347161,1.7690487,7.615657,-7.615657,0.06603703,1.0,0.0017658567428588867,5172.228449344635,295000
7.5671306,-7.5671306,0.05390557,1.0,0.14685059,-0.25698903,1.9059621,7.6029625,-7.6029625,0.06286364,1.0,0.0017496503353118897,5180.976702213287,300000
7.5510416,-7.5510416,0.049883343,1.0,0.14491084,-0.20053764,1.7590941,7.626856,-7.626856,0.06883694,1.0,0.07452164154052734,5553.584912776947,305000
7.558066,-7.558066,0.051639423,1.0,0.086157605,-0.1452286,1.5518672,7.603424,-7.603424,0.06297898,1.0,0.0018132583141326904,5562.651206970215,310000
7.563296,-7.563296,0.05294691,1.0,0.15214542,-0.15077531,1.7354633,7.605647,-7.605647,0.063534796,1.0,0.0018104323387145996,5571.703370332718,315000
7.558847,-7.558847,0.05183472,1.0,0.19068539,-0.11021147,1.9258063,7.621465,-7.621465,0.06748925,1.0,0.0018207990646362305,5580.807366847992,320000
7.5563984,-7.5563984,0.051222682,1.0,0.11953326,-0.13101657,1.5590281,7.609065,-7.609065,0.064389266,1.0,0.0018225543022155762,5589.920140028,325000
7.561817,-7.561817,0.052577347,1.0,0.13683991,-0.1541567,1.6774282,7.6211233,-7.6211233,0.067403734,1.0,0.0018001562118530273,5598.920922756195,330000
7.556106,-7.556106,0.051149525,1.0,0.19256136,-0.18872468,1.8353372,7.6158476,-7.6158476,0.06608496,1.0,0.0017968453884124756,5607.905151844025,335000
7.547227,-7.547227,0.04892961,1.0,0.103832975,-0.084824435,1.4896302,7.621746,-7.621746,0.067559466,1.0,0.00181881742477417,5616.999240875244,340000
7.5596457,-7.5596457,0.052034363,1.0,0.30413762,-0.32400152,2.5475123,7.6273737,-7.6273737,0.068966426,1.0,0.0018285662174224854,5626.142073392868,345000
7.5646973,-7.5646973,0.0532972,1.0,0.2688862,-0.2157608,1.9140172,7.608547,-7.608547,0.06425986,1.0,0.0018183789730072022,5635.233970165253,350000
