training/actor/actor_loss,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,time/epoch_time,time/total_time,step
5.072217,-5.072217,0.19100967,1.0,0.023252325,-0.17369129,0.60953957,5.074609,-5.074609,0.1919664,1.0,0.002026818609237671,10.134094715118408,1
4.6424828,-4.6424828,0.019115957,1.0,0.021810208,-0.026599085,0.26858935,4.645153,-4.645153,0.020184193,1.0,0.07003788809776307,360.3235366344452,5000
4.6365566,-4.6365566,0.016745657,1.0,0.009900516,-0.028327445,0.21246901,4.638913,-4.638913,0.01768829,1.0,0.0660638605594635,690.6428427696228,10000
4.640776,-4.640776,0.018433461,1.0,0.02228293,-0.02901153,0.24458773,4.637152,-4.637152,0.01698368,1.0,0.03808309903144837,881.0583407878876,15000
4.6332464,-4.6332464,0.015421559,1.0,0.011882776,-0.023323348,0.2421987,4.6360893,-4.6360893,0.016558642,1.0,0.0018977526187896729,890.5471057891846,20000
4.6341324,-4.6341324,0.01577609,1.0,0.018240258,-0.021787938,0.23254454,4.6357555,-4.6357555,0.016425325,1.0,0.035296717405319214,1067.0306940078735,25000
4.6356177,-4.6356177,0.016370079,1.0,0.030637076,-0.022312704,0.2908961,4.6346745,-4.6346745,0.015992789,1.0,0.0018592743396759032,1076.3270683288574,30000
4.6371956,-4.6371956,0.017001133,1.0,0.014999286,-0.022264425,0.21058452,4.637994,-4.637994,0.01732033,1.0,0.03695196032524109,1261.086871623993,35000
4.63074,-4.63074,0.014418972,1.0,0.020319585,-0.018280115,0.17056452,4.633692,-4.633692,0.015599579,1.0,0.0019132294654846192,1270.653020143509,40000
4.6365814,-4.6365814,0.016755566,1.0,0.01955981,-0.021485856,0.20517243,4.640217,-4.640217,0.018209705,1.0,0.03691886148452759,1455.2473289966583,45000
4.634948,-4.634948,0.016102016,1.0,0.0070465384,-0.032672703,0.25211272,4.6378756,-4.6378756,0.017273119,1.0,0.001958574342727661,1465.0402038097382,50000
4.638053,-4.638053,0.017344302,1.0,0.028175408,-0.008989109,0.24174052,4.6428385,-4.6428385,0.019258404,1.0,0.037632303714752194,1653.2017238140106,55000
4.6327,-4.6327,0.015202939,1.0,0.030341221,-0.024444845,0.21625857,4.635889,-4.635889,0.01647873,1.0,0.00249154896736145,1665.6594700813293,60000
4.632038,-4.632038,0.014938274,1.0,0.026269225,-0.031308282,0.24268413,4.6395416,-4.6395416,0.017939502,1.0,0.0024929535865783692,1678.1242406368256,65000
4.633094,-4.633094,0.0153603945,1.0,0.029207839,-0.017043922,0.22000349,4.642946,-4.642946,0.019301211,1.0,0.00226431131362915,1689.4457983970642,70000
4.629656,-4.629656,0.013985336,1.0,0.019253477,-0.016543128,0.20288083,4.640399,-4.640399,0.018282546,1.0,0.0017614786624908447,1698.25319314003,75000
4.630754,-4.630754,0.014424654,1.0,0.017537827,-0.045026682,0.24791783,4.6415377,-4.6415377,0.018737976,1.0,0.03823333687782288,1889.4198784828186,80000
4.6303577,-4.6303577,0.0142661305,1.0,0.01835724,-0.022527138,0.20003884,4.6350355,-4.6350355,0.016137108,1.0,0.0024956925868988037,1901.898344039917,85000
4.6302266,-4.6302266,0.01421358,1.0,0.015984518,-0.023170825,0.18302724,4.6400213,-4.6400213,0.018131504,1.0,0.002347699975967407,1913.6368448734283,90000
4.631816,-4.631816,0.014849468,1.0,0.017681936,-0.02645566,0.21378836,4.643658,-4.643658,0.019586323,1.0,0.0020035450458526613,1923.6545712947845,95000
4.627548,-4.627548,0.013142245,1.0,0.017044747,-0.024874587,0.22803095,4.6453533,-4.6453533,0.02026417,1.0,0.0017086717128753663,1932.1979308128357,100000
4.6294174,-4.6294174,0.013889915,1.0,0.012249869,-0.01785392,0.21382038,4.6447945,-4.6447945,0.02004081,1.0,0.0378110312461853,2121.253088235855,105000
4.628545,-4.628545,0.013540968,1.0,0.010645984,-0.023186266,0.22798069,4.6360273,-4.6360273,0.016533894,1.0,0.002511087942123413,2133.808529853821,110000
4.6269407,-4.6269407,0.012899284,1.0,0.01388386,-0.030956302,0.22666988,4.644946,-4.644946,0.020101542,1.0,0.0025040508270263674,2146.328785419464,115000
4.62876,-4.62876,0.013626943,1.0,0.018166991,-0.02159686,0.19843844,4.6422887,-4.6422887,0.019038469,1.0,0.0025119415760040285,2158.8884947299957,120000
4.628804,-4.628804,0.01364467,1.0,0.023030803,-0.02894089,0.30199978,4.6405234,-4.6405234,0.018332371,1.0,0.002515546703338623,2171.4662301540375,125000
4.6261396,-4.6261396,0.012578741,1.0,0.020010725,-0.013633714,0.19355482,4.654045,-4.654045,0.023740891,1.0,0.0025081223487854005,2184.006843805313,130000
4.6274223,-4.6274223,0.013091728,1.0,0.02157522,-0.031453256,0.24125087,4.644699,-4.644699,0.020002518,1.0,0.002507540225982666,2196.5445473194122,135000
4.627255,-4.627255,0.013024916,1.0,0.011450814,-0.027485022,0.24755813,4.640103,-4.640103,0.018164175,1.0,0.002510590648651123,2209.097502231598,140000
4.6282535,-4.6282535,0.013424332,1.0,0.032009516,-0.013110345,0.2206701,4.635764,-4.635764,0.0164285,1.0,0.0021732322216033934,2219.9636647701263,145000
4.627475,-4.627475,0.013112825,1.0,0.024679989,-0.023694566,0.27714354,4.639484,-4.639484,0.017916486,1.0,0.0017960163593292236,2228.943747997284,150000
4.624808,-4.624808,0.012046122,1.0,0.008848997,-0.024880702,0.2095838,4.6465936,-4.6465936,0.020760337,1.0,0.037844877338409424,2418.1681361198425,155000
4.62667,-4.62667,0.012790809,1.0,0.01660262,-0.019879552,0.21469447,4.6443224,-4.6443224,0.019851955,1.0,0.0024847586154937745,2430.5919318199158,160000
4.624095,-4.624095,0.011761005,1.0,0.020050002,-0.031108595,0.23817952,4.644434,-4.644434,0.019896453,1.0,0.0024840104103088377,2443.0119853019714,165000
4.622809,-4.622809,0.011246598,1.0,0.0099802,-0.027651673,0.18883722,4.6432657,-4.6432657,0.01942939,1.0,0.002486241102218628,2455.4431924819946,170000
4.6246257,-4.6246257,0.011973082,1.0,0.035704948,-0.010089739,0.19561386,4.655672,-4.655672,0.024391914,1.0,0.0024919641971588133,2467.9030148983,175000
4.624521,-4.624521,0.011931251,1.0,0.019809619,-0.035216004,0.22082466,4.6469803,-4.6469803,0.020914964,1.0,0.0024876444339752197,2480.341238260269,180000
4.626853,-4.626853,0.012864179,1.0,0.015649289,-0.017142177,0.21125463,4.6432047,-4.6432047,0.019404916,1.0,0.002487828731536865,2492.7803835868835,185000
