training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
30.382845,-1.2830591,-9.778909,0.6068501,1.0,2.9982827,2.5637975,-0.6195648,-5.213118,3.1745532,-3.3113842,143.70322,3.5997078,0.20413248,-3.8358738,0.41353214,84.00411,-0.26753378,-9.779109,0.6069003,1.0,59.686142,1.3601172,-3.6062167,-7.2228284,1.9333634,-3.6367111,-6.3370905,8.198339,0.009292123365402222,46.4606192111969,1
19.869854,-1.2882802,-9.827595,0.61902153,1.0,2.729797,0.0,-13.393197,-22.973372,13.036215,-10.430612,200.70593,0.84708846,-12.802491,-22.134651,0.15655778,26.700968,-1.0618781,-9.875187,0.6309199,1.0,2.1648974,0.8336929,-13.34947,-23.072947,2.5482872,-12.747506,-22.328402,0.18930855,0.23384494814872742,1215.685361623764,5000
38.865814,-0.6552316,-9.654024,0.575629,1.0,2.2305176,0.0,-19.086548,-38.671913,18.161085,-16.163727,238.80145,0.5373585,-18.557518,-38.052986,0.1342676,50.65608,-0.57897395,-9.693114,0.5854015,1.0,3.116427,0.0,-18.816921,-38.587803,0.5047186,-18.285086,-37.96123,0.13752279,0.2387497275352478,2409.434000968933,10000
19.56985,-1.0828001,-9.679327,0.58195484,1.0,1.94825,0.0,-23.955885,-51.187695,12.499194,-13.695258,210.0994,0.63362074,-23.373705,-50.6752,0.11189713,14.257105,-1.105236,-9.649637,0.5745322,1.0,1.9528342,0.0,-23.370768,-51.170773,0.6491146,-22.87359,-50.66712,0.13065112,0.12303218021392823,3024.594905614853,15000
25.458162,-0.8058459,-9.73457,0.5957652,1.0,2.2923076,0.0,-25.979012,-61.296753,4.7304907,-4.6606855,132.21068,0.4530761,-25.570576,-60.90616,0.12590683,33.03539,-0.72500086,-9.67771,0.5815506,1.0,1.9696654,0.0,-26.493208,-61.271698,0.4626943,-26.041767,-60.900307,0.123572774,0.007593106412887574,3062.5604405403137,20000
22.811874,-0.8356674,-9.737669,0.59654033,1.0,1.6893971,0.0,-26.426003,-69.10002,5.996422,-6.857011,142.23145,0.50286895,-25.975674,-68.789085,0.14389937,26.793715,-0.8296788,-9.705699,0.5885476,1.0,1.919329,0.0,-28.068686,-69.15047,0.6152729,-27.642292,-68.81654,0.12976691,0.13577204875946045,3741.4206862449646,25000
33.198452,-0.7246478,-9.736877,0.5963423,1.0,1.6725204,0.0,-30.434565,-75.3666,12.572114,-9.270623,151.80635,0.39934608,-30.013954,-75.11941,0.101121426,29.755875,-0.71609956,-9.778131,0.6066556,1.0,1.5044196,0.0,-30.164873,-75.30758,0.38201818,-29.720724,-75.073875,0.099910006,0.007723595523834228,3780.038670539856,30000
85.88354,-0.68651974,-9.734108,0.59564996,1.0,2.7447538,0.0,-30.939304,-80.100204,31.886267,-25.877602,410.5636,0.62033874,-30.525372,-79.923294,0.12761319,45.500027,-0.72970724,-9.65946,0.57698786,1.0,1.760154,0.0,-30.601221,-80.192604,0.5385451,-30.235971,-79.98259,0.08752608,0.13614761581420898,4460.776752710342,35000
17.496304,-0.80028886,-9.675378,0.58096755,1.0,1.538503,0.0,-30.869135,-83.95663,4.067887,-5.2682014,99.02219,0.43243033,-30.48518,-83.776726,0.105505936,23.405642,-0.8136826,-9.631592,0.57002103,1.0,1.692719,0.0,-33.38742,-83.95889,0.33317402,-33.016266,-83.79717,0.10763176,0.006222631072998047,4491.8899092674255,40000
38.37835,-0.7927028,-9.739923,0.5971035,1.0,1.8139496,0.0,-31.291681,-86.72254,12.504285,-12.373725,221.78773,0.54279464,-30.940601,-86.619,0.118108496,18.33355,-0.950314,-9.688132,0.58415586,1.0,1.7559566,0.0,-30.37837,-86.84405,0.69356257,-30.01698,-86.72353,0.12550703,0.1372258957386017,5178.019391536713,45000
23.012259,-0.7056012,-9.732518,0.5952524,1.0,1.5793124,0.0,-32.686466,-88.95718,8.683495,-9.779671,145.18246,0.5234637,-32.282013,-88.838486,0.093524255,46.934067,-0.7166079,-9.687191,0.5839208,1.0,2.0894914,0.0,-32.849876,-89.120926,0.60908556,-32.431572,-89.02437,0.1372092,0.005982332897186279,5207.931056976318,50000
81.00131,-0.6353063,-9.627548,0.56900996,1.0,2.6335816,0.0,-34.582966,-90.87818,26.44011,-28.19579,365.23,0.38427418,-34.12657,-90.786385,0.15030673,33.144176,-0.70190704,-9.621033,0.56738114,1.0,1.4714224,0.0,-33.321896,-90.9387,0.4913662,-32.943203,-90.88059,0.1244875,0.1381477527141571,5898.669823646545,55000
26.791414,-0.67181754,-9.649303,0.57444876,1.0,1.4730816,0.0,-32.055183,-92.28954,6.05527,-5.891888,92.43072,0.40843058,-31.714087,-92.20867,0.12354171,28.698143,-0.5603347,-9.64179,0.5725706,1.0,1.3835444,0.0,-34.385323,-92.27885,0.34840056,-34.02112,-92.20388,0.10481399,0.00487210636138916,5923.030356884003,60000
