training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
308.55865,0.3742433,-9.416962,0.51636314,1.0,11.250319,1.366015,-1.7231393,-4.7597966,29.240887,-30.889236,1106.2472,1.9642324,-1.1037354,-3.5403252,1.2951342,7.783326e-05,-8.743383,-9.277088,0.4813949,1.0,98.39349,4.449046,1.8953408,-1.54273,5.4877944,3.403375,-1.9654466,1.9019132,0.006928617286682129,34.643089294433594,1
6.195557,-0.8871799,-8.213476,0.2154922,1.0,0.87735164,0.0,-14.753496,-24.09718,1.8346401,-2.7529356,44.828564,0.7204509,-14.118816,-23.3282,0.034584865,8.297481,-0.8863469,-8.207316,0.21395212,1.0,0.8718556,0.0,-14.630714,-24.101488,0.85118896,-14.038481,-23.351439,0.038081832,0.1848758047103882,959.0221145153046,5000
14.942624,-0.8648437,-8.016861,0.16633832,1.0,1.6765339,0.0,-22.46697,-40.034344,9.837229,-6.913635,136.05818,1.043365,-22.01565,-39.418552,0.067857504,25.325417,-1.0023015,-7.987414,0.15897647,1.0,2.607276,0.0,-22.767122,-40.00366,0.8553547,-22.335236,-39.403942,0.07868355,0.19066647157669067,1912.3544745445251,10000
18.410557,-0.6220972,-7.915048,0.14088506,1.0,1.6346879,0.0,-26.49041,-52.63982,6.3954782,-8.943476,115.790665,0.79032457,-26.13658,-52.1435,0.06276973,20.4828,-0.5664529,-7.8997374,0.1370574,1.0,2.1252627,0.0,-26.608547,-52.661247,1.4093435,-26.214201,-52.16878,0.083783835,0.09857306094169617,2405.2197835445404,15000
22.430223,-0.49612558,-7.883191,0.13292077,1.0,1.5163338,0.5076231,-29.833858,-62.04849,2.590695,-3.2469585,77.29293,0.63971084,-29.425255,-61.66346,0.07767174,9.885258,-0.66188425,-7.84842,0.12422801,1.0,1.6114439,0.05530119,-29.619122,-61.925953,0.8300763,-29.251102,-61.550766,0.08833209,0.0040234525680541994,2425.337047815323,20000
19.969036,-0.4672069,-7.8786936,0.13179642,1.0,1.5328718,0.0,-31.22115,-69.1232,5.427252,-4.331743,96.82312,1.1689821,-30.875523,-68.80536,0.10635529,13.260704,-0.67561615,-7.871594,0.13002147,1.0,1.5582323,0.0,-30.842764,-69.02952,1.0879501,-30.537472,-68.754845,0.08347763,0.10186071124076844,2934.6406071186066,25000
11.7993,-0.82296896,-7.824158,0.11816253,1.0,1.6599073,0.0,-31.717176,-74.25163,3.5264642,-5.6700487,115.65252,0.6202365,-31.37319,-73.9845,0.15321079,19.862953,-0.63547426,-7.8866253,0.13377923,1.0,1.7259895,0.0,-31.95233,-74.3865,0.93069255,-31.614098,-74.12791,0.10489173,0.003962493228912354,2954.4530761241913,30000
25.155773,-0.45102495,-7.854252,0.12568599,1.0,1.4469917,0.0,-31.8424,-77.0125,6.66089,-5.9843936,110.29442,0.8609137,-31.502026,-76.83888,0.08601089,36.02732,-0.28146356,-7.8911905,0.13492061,1.0,1.6453211,0.0,-32.80633,-77.28795,0.5602923,-32.50815,-77.05817,0.11116385,0.10304686317443848,3469.6873939037323,35000
20.843895,-0.44536182,-7.857147,0.12640971,1.0,1.5301466,0.0,-31.719955,-79.47276,7.3701453,-5.9296393,102.909935,0.881311,-31.297745,-79.23352,0.09707026,14.717882,-0.6009238,-7.8580422,0.12663352,1.0,1.3938115,0.0,-33.53252,-79.35823,0.59529597,-33.145363,-79.10898,0.09975778,0.004021437358856201,3489.794583082199,40000
20.760578,-0.6263628,-7.814146,0.11565942,1.0,1.4815118,0.0,-31.178524,-80.890625,3.7742138,-4.792301,92.49368,0.83804005,-30.756706,-80.69843,0.13669465,13.493876,-0.6285708,-7.837805,0.12157413,1.0,1.6653278,0.0,-32.86325,-81.93641,0.940504,-32.52779,-81.746544,0.11469393,0.1035612500667572,4007.600835800171,45000
