training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
41.7826,-1.2541182,-9.281726,0.48255447,1.0,2.9847965,2.340125,-0.59787804,-4.194893,3.4478214,-3.6188555,162.09285,2.9024363,0.2034159,-3.0335474,0.42436302,72.90104,-0.04291227,-9.229292,0.46944577,1.0,61.645782,0.7947924,-3.6816406,-7.1240783,1.5569566,-3.7764988,-6.310391,8.32406,0.008258165454864502,41.29082894325256,1
20.89787,-0.930914,-8.269247,0.22943479,1.0,1.7047578,0.0,-13.747927,-23.256918,3.7529547,-3.944311,86.3286,0.8757039,-13.064068,-22.395502,0.12098034,35.54779,-0.74473006,-8.257443,0.22648382,1.0,1.4938796,0.0,-13.53617,-23.249681,0.9095755,-12.989315,-22.497984,0.10956937,0.22740638465881347,1178.3227536678314,5000
19.650578,-0.9493079,-7.977007,0.15637478,1.0,1.974994,0.0,-20.046343,-38.84156,10.772008,-9.815528,165.07678,0.7580949,-19.550278,-38.263218,0.09339788,19.429768,-0.6621481,-7.936205,0.14617428,1.0,1.4876175,0.0,-19.404537,-38.916237,0.884572,-18.9259,-38.328228,0.07971164,0.23295841450691224,2343.1148273944855,10000
17.215935,-0.88075674,-7.833212,0.12042594,1.0,1.9618043,0.0,-23.440044,-51.205513,8.440819,-10.199262,142.79367,0.9595012,-22.980896,-50.753548,0.12716201,24.496729,-0.8716243,-7.8536325,0.12553105,1.0,1.8523767,0.0,-24.925625,-51.348225,0.79375833,-24.502052,-50.827362,0.19898151,0.12968735508918763,2991.551606655121,15000
18.666447,-0.84731114,-7.823599,0.118022576,1.0,1.9006371,0.0,-24.943136,-60.77446,12.168496,-10.876985,197.22609,0.56106687,-24.52391,-60.372166,0.165142,23.676401,-0.7917219,-7.823964,0.11811404,1.0,2.2453434,0.0,-24.86967,-60.68304,0.7447072,-24.485012,-60.2666,0.14577022,0.007366736602783203,3028.3852910995483,20000
16.136448,-0.889631,-7.7370386,0.096382655,1.0,2.0843549,0.0,-27.076374,-67.86437,11.229816,-12.008877,183.01506,0.7288097,-26.658234,-67.57006,0.15038092,13.235838,-0.870497,-7.768763,0.10431372,1.0,2.3199549,0.0,-26.504288,-67.53222,0.6519431,-26.156693,-67.22699,0.13491467,0.13533615608215332,3705.066072702408,25000
19.415762,-0.6661304,-7.7571335,0.10140622,1.0,1.9399261,0.0,-26.99501,-73.104996,6.312752,-6.2162547,96.37417,0.68890154,-26.6181,-72.91202,0.12402087,17.323246,-0.7038344,-7.784035,0.10813176,1.0,1.4907109,0.0,-26.536577,-73.43593,0.6883868,-26.163383,-73.125435,0.11151311,0.005231724786758423,3731.224701166153,30000
15.969293,-0.6702329,-7.762517,0.10275221,1.0,1.3971728,0.0,-28.327225,-76.89306,4.3260283,-4.1937976,94.76166,0.90026456,-28.05637,-76.82402,0.08568972,13.84869,-0.7575264,-7.7512755,0.099941865,1.0,2.0303154,0.0,-26.688805,-77.13229,0.5698276,-26.348068,-76.866844,0.13722658,0.13148264198303222,4388.637912034988,35000
23.46149,-0.7991924,-7.775567,0.10601478,1.0,2.2822952,0.0,-27.243116,-80.23539,15.818745,-15.888421,196.35098,0.9872014,-26.863928,-80.0089,0.1105956,32.33039,-0.6476867,-7.7645755,0.103266865,1.0,2.3213139,0.0,-28.627342,-80.36236,0.7745139,-28.298693,-80.23278,0.16780154,0.007808062410354614,4427.678225517273,40000
23.651966,-0.5276594,-7.7420597,0.09763789,1.0,1.7669592,0.0,-27.45395,-81.891174,5.565515,-6.276435,110.25475,0.7389706,-27.098427,-81.722755,0.11025918,28.593887,-0.601737,-7.7644114,0.10322578,1.0,1.9483242,0.0,-25.968885,-81.27229,0.750399,-25.617462,-80.942314,0.11665206,0.1359902865409851,5107.6296598911285,45000
