training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
273.72107,0.2622228,-9.811755,0.6150619,1.0,10.74291,2.3181884,-1.6022587,-4.3042746,9.69471,-8.783801,712.5366,2.5095928,-1.0045898,-3.5513375,1.2613266,2.3144422,-7.9030023,-9.743632,0.598031,1.0,78.87297,4.709147,1.5857712,-2.7283478,5.290503,3.0015483,-2.285417,1.5658627,0.008955578994750977,44.77789640426636,1
39.20521,-0.77620614,-9.862476,0.62774223,1.0,1.6561804,0.0,-13.205191,-23.091555,2.689064,-2.575578,80.70104,0.85724664,-12.594169,-22.291258,0.20868476,43.309677,-0.7242956,-9.804056,0.6131371,1.0,1.7761316,0.0,-13.484556,-23.083836,0.9405091,-12.868591,-22.304155,0.13953319,0.23244247341156005,1206.9902653694153,5000
15.787829,-0.7963559,-9.647433,0.5739813,1.0,2.0488405,0.0,-19.791058,-38.459576,4.3118663,-5.2322516,100.00562,0.5220879,-19.285751,-37.83951,0.10994728,29.921394,-0.6657139,-9.663902,0.5780988,1.0,2.0365653,0.0,-20.259987,-38.555702,0.4981999,-19.718552,-37.95586,0.107820034,0.2530402822971344,2472.19167804718,10000
39.391113,-0.6321506,-9.733642,0.5955335,1.0,2.1547213,0.0,-24.507362,-51.096085,4.665017,-4.8640466,111.99488,0.32066804,-24.016184,-50.591377,0.13127929,42.259636,-0.7084722,-9.67753,0.5815056,1.0,2.0985398,0.0,-23.753574,-51.105705,0.83365846,-23.340185,-50.601295,0.1171145,0.12954534311294555,3119.918397426605,15000
32.34659,-0.82355076,-9.762429,0.60273015,1.0,1.7735538,0.0,-24.7723,-61.191048,6.3828998,-7.6765385,138.38194,0.5998112,-24.35007,-60.792213,0.10891655,42.444942,-0.7443377,-9.731073,0.5948911,1.0,1.820374,0.0,-25.928715,-61.11035,0.42226094,-25.50225,-60.717995,0.13703081,0.0080132755279541,3159.984776496887,20000
39.771297,-0.7548815,-9.768117,0.6041522,1.0,2.112852,0.0,-27.640154,-68.97347,13.361756,-15.131778,231.8442,0.48965785,-27.188496,-68.618095,0.13173059,43.259987,-0.6788883,-9.811831,0.6150809,1.0,2.094061,0.0,-27.570278,-69.00803,0.3211692,-27.174063,-68.68339,0.13338193,0.14774989461898805,3898.7342507839203,25000
17.990198,-0.8286749,-9.771688,0.6050452,1.0,1.7121676,0.0,-30.6577,-75.18603,2.5324745,-2.743418,70.04562,0.4259286,-30.240366,-74.89583,0.122295424,14.260154,-1.049561,-9.834192,0.62067103,1.0,1.709785,0.0,-28.140406,-75.16102,0.6344964,-27.583622,-74.92229,0.11593647,0.009465757608413696,3946.063039779663,30000
18.634655,-0.9223199,-9.715758,0.59106255,1.0,1.8242767,0.0,-28.166058,-79.90966,8.185108,-9.107348,163.33945,0.57597053,-27.754234,-79.68818,0.13049123,16.451683,-0.9545002,-9.726725,0.593804,1.0,1.5848695,0.0,-29.26133,-79.9575,0.3640067,-28.8032,-79.7582,0.13149486,0.1477861626148224,4684.9938542842865,35000
33.43474,-0.5842186,-9.722643,0.5927837,1.0,1.5837874,0.0,-30.800026,-83.64886,3.1630204,-2.7712991,88.75974,0.41529638,-30.398699,-83.45356,0.12911153,24.030914,-0.82150245,-9.78442,0.6082278,1.0,1.666174,0.0,-30.283165,-83.639015,0.39241457,-29.857841,-83.496925,0.13617697,0.01019301505088806,4735.958930969238,40000
40.65854,-0.5877818,-9.732435,0.5952317,1.0,1.8176832,0.0,-32.87786,-86.53751,5.014963,-4.5114837,129.94168,0.52814347,-32.510475,-86.42378,0.10545839,43.708237,-0.56121695,-9.74841,0.5992255,1.0,1.8426898,0.0,-30.520811,-86.4473,0.48834342,-30.10859,-86.332405,0.12710482,0.14856519827842712,5478.784924030304,45000
