training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
44.050613,-1.1419811,-9.356758,0.5013126,1.0,3.5960088,1.9920244,-0.5699467,-3.8320436,2.591477,-1.520052,129.13937,2.6242394,0.26115686,-3.4051018,0.41758573,19.687555,-1.3935926,-9.251644,0.47503394,1.0,29.861645,0.6896571,-2.6396506,-6.0278153,2.3074064,-2.3257446,-5.3212132,3.4492917,0.00903231225013733,45.1615629196167,1
53.01224,-0.43707925,-8.348066,0.24913955,1.0,1.8133234,0.0,-13.954504,-23.094675,7.108366,-4.502381,128.4192,0.8349339,-13.35389,-22.362986,0.085492924,30.86051,-0.6802973,-8.34603,0.24863046,1.0,1.4858338,0.0,-13.850634,-23.037848,1.3439724,-13.2193775,-22.318218,0.08016682,0.2339802649974823,1215.0628895759583,5000
32.107746,-0.5943707,-8.1229,0.19284788,1.0,2.521335,0.0,-20.166998,-38.94898,4.500077,-4.770001,127.75992,0.5501911,-19.674948,-38.35239,0.13362989,24.996723,-0.70714223,-8.139735,0.19705674,1.0,1.8860766,0.0,-19.903294,-38.981197,0.6382269,-19.408512,-38.401417,0.13625509,0.23790343503952027,2404.5800659656525,10000
28.570337,-0.7450208,-8.071315,0.1799515,1.0,2.3033233,0.0,-23.272385,-50.98616,3.4380393,-3.0410943,97.965454,1.6715732,-22.772346,-50.542458,0.14624602,22.972918,-0.8490896,-8.044978,0.17336744,1.0,2.1039748,0.0,-23.084045,-51.00737,1.6687679,-22.650064,-50.41138,0.13580829,0.12662806968688964,3037.7204184532166,15000
38.525963,-0.7465781,-8.063742,0.17805816,1.0,3.2386634,0.1316514,-23.205427,-58.985577,10.133204,-10.139223,217.31352,0.76209044,-22.796421,-58.65657,0.18046355,36.548023,-0.72343117,-8.016714,0.1663015,1.0,2.8197901,0.0,-23.426893,-58.894634,0.79081166,-23.010925,-58.43195,0.18179563,0.009942952251434326,3087.4351811408997,20000
27.061573,-0.737137,-8.029825,0.16957922,1.0,2.2042804,0.0,-23.43441,-65.34287,6.4840503,-7.704834,149.4871,0.54098034,-22.9824,-64.999245,0.17348956,31.375605,-0.65030843,-8.035614,0.17102665,1.0,3.3087816,0.0,-23.714838,-65.13533,0.5745402,-23.343628,-64.8474,0.117591694,0.131705135345459,3745.9608612060547,25000
37.692513,-0.57825774,-7.9753838,0.1559689,1.0,2.1839771,0.0,-25.229103,-67.5796,6.6522183,-5.583655,161.40826,0.89467585,-24.84719,-67.13027,0.1583059,26.28245,-0.6252594,-7.987323,0.15895377,1.0,2.07428,0.0,-24.751492,-67.66487,0.8044514,-24.283257,-67.31352,0.14984591,0.008710759496688843,3789.5146601200104,30000
12.427982,-0.7743722,-8.005824,0.16357902,1.0,2.0148165,0.0,-25.486248,-70.99069,3.7751343,-3.5719094,81.9969,0.65467113,-25.08246,-70.8856,0.15403971,23.27174,-0.60831344,-8.014726,0.16580431,1.0,1.9986763,0.0,-23.546268,-71.51605,0.47413287,-23.125225,-71.24529,0.1412904,0.13138576102256774,4446.443468809128,35000
23.33216,-0.5884831,-7.993259,0.16043779,1.0,2.2527747,0.0,-24.186901,-72.00649,3.3322344,-3.1155505,83.25061,0.6194095,-23.731441,-71.55503,0.12801298,21.963614,-0.72948515,-7.9717684,0.15506501,1.0,1.5873297,0.0,-24.221031,-72.134155,0.5068212,-23.78173,-71.9315,0.157029,0.007761896991729736,4485.252955198288,40000
34.698185,-0.7659812,-7.9834614,0.15798828,1.0,2.2729797,0.0,-24.613548,-74.46459,5.5950036,-7.0486803,116.776436,0.772142,-24.187933,-74.088844,0.18108927,28.008802,-0.8748089,-7.981367,0.15746471,1.0,2.7589917,0.0,-26.06677,-72.45519,1.0025741,-25.671967,-72.30185,0.13966295,0.13474988598823548,5159.002386569977,45000
34.323914,-0.5202097,-7.9894924,0.15949604,1.0,2.0015235,0.0,-23.610779,-73.92586,4.8848677,-4.3113885,104.611496,0.33323577,-23.239826,-73.65198,0.12911579,31.370157,-0.63024616,-8.020314,0.16720152,1.0,2.3362856,0.0,-24.05692,-73.401665,0.482187,-23.653181,-73.31323,0.14868565,0.00466413779258728,5182.323078632355,50000
22.480293,-0.55997646,-7.9934845,0.16049416,1.0,1.5748265,0.0,-24.849327,-75.144,2.0493736,-3.2977507,64.58905,0.6005719,-24.484003,-74.819405,0.13393709,27.356129,-0.46888763,-8.004801,0.16332313,1.0,1.8084835,0.0,-25.034191,-74.35229,0.46059477,-24.639267,-74.08295,0.15228723,0.1417205295085907,5890.925730466843,55000
31.47827,-0.52474356,-7.9853177,0.1584524,1.0,1.9750218,0.0,-24.970947,-74.72385,4.5054765,-4.9834027,109.06243,0.5482198,-24.556786,-74.41911,0.11887197,27.489876,-0.6086939,-8.020801,0.16732308,1.0,2.2168102,0.0,-24.024918,-75.04654,0.6273238,-23.572285,-74.586334,0.14437741,0.007619103908538818,5929.021251678467,60000
18.782959,-0.643101,-7.998817,0.16182733,1.0,1.7937008,0.0,-24.349403,-76.730286,1.62499,-1.8761449,57.618496,0.6124415,-24.003195,-76.48129,0.14718714,15.989109,-0.7788422,-7.990001,0.15962318,1.0,1.7663879,0.0,-24.192982,-75.284706,0.60354507,-23.796581,-74.5839,0.12472591,0.007943995332717895,5968.741229534149,65000
22.45521,-0.75501466,-7.9765534,0.15626128,1.0,2.3506227,0.0,-24.906507,-75.985695,3.5305185,-4.0436068,92.04482,0.53195393,-24.537304,-75.743706,0.15064815,30.01134,-0.6123942,-7.9732037,0.15542391,1.0,2.0690694,0.0,-25.154877,-75.97479,0.6060022,-24.833431,-75.80896,0.18701148,0.010563181734085082,6021.557139158249,70000
15.917194,-0.67471707,-7.9971786,0.16141765,1.0,1.6701622,0.0,-25.930866,-77.91809,5.22846,-3.6053925,83.46481,0.43038672,-25.598534,-77.655266,0.12683754,23.211542,-0.6653172,-7.9613132,0.15245134,1.0,2.3147085,0.0,-24.964798,-77.00859,0.3866561,-24.517315,-76.930305,0.21279472,0.007656450176239013,6059.839391946793,75000
25.099308,-0.5658159,-7.978364,0.15671395,1.0,1.988426,0.0,-25.925537,-77.35783,3.8935494,-4.3105354,106.44991,0.37432045,-25.545677,-76.85508,0.17964397,23.162708,-0.5641711,-8.004846,0.16333428,1.0,1.6097789,0.0,-24.934565,-76.7092,0.5473747,-24.50798,-76.55235,0.1285234,0.1487445828437805,6803.562307596207,80000
32.314713,-0.71313643,-7.976095,0.15614687,1.0,1.8221558,0.0,-25.740364,-76.17081,5.7950544,-3.073188,89.121284,0.9752175,-25.364687,-76.16764,0.14555906,21.67057,-0.6999188,-7.992978,0.16036749,1.0,1.6325893,0.0,-25.11593,-76.429474,0.56161374,-24.75624,-76.33346,0.14812495,0.00762182354927063,6841.671426773071,85000
15.7454405,-0.73794,-7.979004,0.1568739,1.0,1.7593576,0.0,-25.3041,-78.16273,2.647556,-3.1404161,74.76215,0.72909576,-24.921215,-77.85854,0.13846806,21.913408,-0.6440615,-7.975985,0.15611923,1.0,1.9577466,0.0,-24.512772,-75.80597,0.64805204,-24.101631,-75.604256,0.15346348,0.007621665334701538,6879.779755115509,90000
20.863472,-0.56666756,-7.962673,0.1527913,1.0,1.7532868,0.0,-24.837677,-76.29033,3.97185,-4.2886114,86.012474,0.66198504,-24.507092,-75.97656,0.13103862,17.0074,-0.6656534,-7.983134,0.15790635,1.0,1.8013422,0.0,-24.971577,-77.81366,0.5519678,-24.601086,-77.6219,0.14294313,0.008841705799102784,6923.98828625679,95000
41.72914,-0.6028901,-7.984754,0.15831143,1.0,2.1736875,0.0,-24.151323,-76.49136,9.395754,-8.366698,151.63753,0.58619547,-23.750343,-76.45633,0.1681638,38.122314,-0.5144218,-7.9821606,0.157663,1.0,2.1281176,0.0,-24.997717,-78.17402,0.83898795,-24.614727,-77.9435,0.17964269,0.008670253086090087,6967.339553356171,100000
18.160744,-0.73512644,-7.939104,0.14689907,1.0,1.9495271,0.0,-25.28882,-78.138954,4.465902,-4.1692843,69.28447,0.44459757,-24.958988,-78.03054,0.12935257,26.311222,-0.6844695,-7.9801064,0.15714957,1.0,2.6220727,0.0,-25.147776,-78.274704,0.41570032,-24.713543,-77.97379,0.18451387,0.15479163150787353,7741.297714471817,105000
19.759441,-0.6254963,-7.967222,0.15392856,1.0,1.2570106,0.0,-24.26756,-77.744026,4.6838307,-3.0616443,74.79759,0.44378847,-23.880878,-77.62252,0.14881818,18.705757,-0.6789833,-7.95598,0.15111783,1.0,1.4466242,0.0,-25.037275,-77.91096,0.4799353,-24.64515,-77.61028,0.14329031,0.010651258993148803,7794.5540108680725,110000
26.84876,-0.68050826,-7.954667,0.15078981,1.0,1.8473184,0.0,-24.640062,-78.30171,2.865588,-4.4275823,83.87111,0.7762165,-24.34009,-78.18368,0.108953714,17.81546,-0.75029266,-7.9667044,0.153799,1.0,2.0457277,0.0,-24.584911,-78.506905,0.41755828,-24.19035,-78.25243,0.1290319,0.010648831844329834,7847.798173904419,115000
18.97239,-0.64774424,-7.9779663,0.15661448,1.0,1.3311455,0.0,-25.829647,-77.35129,5.0002723,-4.151106,75.093056,0.5947477,-25.443794,-76.95435,0.12827967,18.123451,-0.6344366,-7.992696,0.16029698,1.0,1.9063854,0.0,-25.962418,-76.4757,0.37420762,-25.533936,-76.40971,0.18139452,0.011542466306686401,7905.5105073452,120000
20.14313,-0.7506213,-7.95703,0.1513804,1.0,1.7278814,0.0,-24.760899,-79.118286,1.9573745,-2.2499292,60.35356,1.0732052,-24.423786,-78.9077,0.14226416,18.426186,-0.7241245,-7.9694786,0.15449256,1.0,1.5780226,0.0,-24.60864,-79.44026,0.4839059,-24.24844,-79.06487,0.129159,0.010623877000808716,7958.629894018173,125000
22.625713,-0.61020434,-7.993896,0.16059707,1.0,1.5865225,0.0,-26.032272,-77.10668,2.029163,-2.1611316,62.277405,0.4116026,-25.629416,-76.88956,0.13232024,17.980999,-0.7466035,-7.971867,0.15508962,1.0,1.6732225,0.0,-25.120071,-77.61111,0.4922205,-24.794613,-77.45542,0.21545348,0.0105609055519104,8011.434423208237,130000
40.314716,-0.5502473,-7.9659038,0.15359876,1.0,1.7767483,0.0,-24.739412,-80.18252,5.609254,-4.1645527,111.63756,0.6196634,-24.39972,-80.08836,0.15981254,35.661247,-0.51268744,-7.948676,0.14929199,1.0,1.9380176,0.0,-25.196247,-77.78032,1.5359439,-24.807951,-77.875305,0.2223965,0.010559961652755738,8064.234233140945,135000
22.75916,-0.62207067,-7.9589906,0.15187058,1.0,1.425273,0.0,-25.660105,-78.59992,2.2708142,-2.624708,66.02539,0.37658226,-25.283796,-78.39995,0.118858956,21.388033,-0.59772396,-7.96925,0.15443558,1.0,1.579902,0.0,-24.660362,-77.92928,0.51842093,-24.284254,-77.70533,0.18538207,0.010602435874938965,8117.246413707733,140000
20.997395,-0.6978116,-7.931384,0.14496899,1.0,1.4149444,0.0,-26.120403,-79.189095,3.9042962,-4.0870557,75.825905,1.0943649,-25.74408,-78.980354,0.13191992,25.086681,-0.65692264,-7.9402094,0.14717531,1.0,1.7944529,0.0,-24.37626,-78.734116,0.69062316,-23.971191,-78.16379,0.20079,0.010562275886535645,8170.057797431946,145000
7.1046515,-1.0117447,-7.9719296,0.15510544,1.0,1.51458,0.0,-25.852638,-77.39127,5.0466943,-5.5198236,104.01496,0.545098,-25.478138,-76.74217,0.13413522,20.218225,-0.7308786,-7.9661827,0.15366873,1.0,2.098938,0.0,-25.43084,-78.20565,0.51869756,-25.107676,-78.37994,0.17747793,0.010371908617019653,8221.917341947556,150000
