training/actor/actor_loss,training/actor/adv,training/actor/bc_log_prob,training/actor/mse,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/adv,validation/actor/bc_log_prob,validation/actor/mse,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
13.596472,-2.5567954,-9.627083,0.56889373,1.0,9.526816,2.3463116,-0.95777184,-4.5618763,10.74773,-11.398056,488.22913,4.182762,-0.20561588,-3.6976438,0.9882739,146.23784,0.13613191,-9.628135,0.5691565,1.0,44.69323,1.4423063,-4.164155,-7.659098,3.1073234,-4.235572,-7.3563313,3.295521,0.010111264038085937,50.55632281303406,1
23.180988,-0.8182019,-9.279324,0.48195404,1.0,1.8213449,0.0,-14.131463,-24.44604,5.34574,-5.699141,121.55465,2.3216147,-13.543184,-23.644398,0.0935283,23.347239,-0.98027956,-9.253042,0.4753836,1.0,1.7991989,0.0,-14.411861,-24.321037,3.3254955,-13.8289795,-23.553669,0.107390024,0.2397227795600891,1249.1702229976654,5000
19.52173,-0.6656415,-9.248139,0.4741578,1.0,1.6685135,0.0,-21.838064,-40.196945,2.225677,-2.1485732,64.253395,0.6156666,-21.354828,-39.603012,0.08085385,18.635899,-0.80913603,-9.235514,0.4710015,1.0,2.095634,0.18604088,-21.240398,-40.0501,0.5864367,-20.736853,-39.41838,0.099455066,0.24414548683166504,2469.8976590633392,10000
39.271988,-0.6777131,-9.297325,0.48645413,1.0,2.3691497,0.0,-23.68195,-52.602978,6.1477265,-6.0963163,114.71678,0.76381063,-23.150013,-52.11185,0.13073452,44.52791,-0.80797565,-9.34343,0.49798048,1.0,2.4405086,0.0,-23.266369,-52.678543,0.652242,-22.834072,-52.13906,0.119056836,0.1340482361793518,3140.1388413906097,15000
23.126488,-0.77357805,-9.291494,0.4849963,1.0,1.8988261,0.0,-26.499443,-62.353687,5.201795,-5.0750637,126.08139,0.8552388,-26.073286,-61.901848,0.14946252,36.470074,-0.6738291,-9.357662,0.5015385,1.0,2.0292406,0.0,-25.578201,-62.308365,0.55640775,-25.14645,-61.961266,0.13650846,0.004820068740844727,3164.2391862869263,20000
31.446709,-0.61771333,-9.27327,0.48044044,1.0,1.9964085,0.0,-26.953232,-69.4806,5.588015,-5.171271,111.889725,0.8999214,-26.572105,-69.1571,0.15375826,36.91513,-0.68177485,-9.285732,0.48355582,1.0,2.2832685,0.0,-26.292122,-69.284386,0.7393577,-25.855783,-68.88789,0.16686083,0.1398203181743622,3863.3407802581787,25000
39.37536,-0.85294867,-9.297837,0.48658237,1.0,2.3972266,0.0,-28.41188,-74.175545,10.661257,-10.025794,203.36543,0.77001405,-27.937231,-73.97862,0.14785485,49.42067,-0.7979099,-9.29999,0.4871202,1.0,2.1756227,0.0,-26.863426,-74.002304,0.4877171,-26.414705,-73.63559,0.13438043,0.004803085899353027,3887.356211423874,30000
28.08007,-0.7036142,-9.250902,0.4748484,1.0,1.9952168,0.0,-27.682022,-77.67555,4.4758425,-3.6264307,103.141174,0.49760258,-27.280777,-77.40885,0.12388858,38.206585,-0.57599616,-9.244977,0.47336727,1.0,2.306995,0.0,-27.832586,-77.74212,0.8390299,-27.409939,-77.84123,0.12919202,0.13744055881500244,4574.559007167816,35000
21.907145,-0.8316493,-9.264576,0.4782672,1.0,1.4003775,0.0,-27.570522,-81.28406,3.2475278,-2.2141309,68.33371,0.8690267,-27.163013,-81.09062,0.11374123,27.816473,-0.7763136,-9.281856,0.48258686,1.0,1.820881,0.0,-27.1119,-80.14528,0.7696126,-26.705097,-79.73292,0.14452356,0.004795858860015869,4598.538304567337,40000
29.796656,-0.5933651,-9.2480955,0.47414678,1.0,1.8545943,0.0,-27.236206,-80.323814,3.653157,-5.230855,104.028336,0.56094,-26.858257,-80.32622,0.14320442,31.068653,-0.7124382,-9.209302,0.4644484,1.0,1.675914,0.0,-27.834084,-81.245445,0.7394174,-27.352472,-80.99343,0.14743508,0.13772934002876283,5287.185007095337,45000
